model,n_test,rmse_log,mae_log,r2_log,wape_raw
XGBoost,3508,2.3876636934103077,1.9140285741080416,0.2913557653105201,0.6723624359979888
Ridge,3508,2.3886036208971624,1.9486167979265796,0.2907977258347094,0.7307906458669586
Lasso,3508,2.3894072936409376,1.949121234497565,0.2903204072721554,0.730757847684247
ExtraTrees,3508,2.389921813311333,1.913743831498893,0.290014738644621,0.659045389851132
XGBoost-Knockoff-selected,3508,2.391052192414485,1.914061570769714,0.2893429657915296,0.6715064653631891
MLP,3508,2.428693305601114,1.9465772965005024,0.2667918252314639,0.7448970245372619
Naive-current-GMV,3508,2.8953836758115243,1.981393653300068,-0.042063513631773,0.7922690837650077
PyTorch-Residual-MLP,3508,2.4136142746682463,1.9274061918258667,0.27586811780929565,0.7183059453964233
