method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh,median_threshold
deep_knockoff_calibrated_lasso,0.1,0.05,avg_price,平均商品价格,0.3937896490097046,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_freight,平均运费,0.12682880461215973,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_weight_g,平均商品重量,-0.006986712105572224,0.4,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_length_cm,平均商品长度,0.00572256650775671,0.7,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_height_cm,平均商品高度,0.06403131783008575,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_width_cm,平均商品宽度,-0.013856740668416023,0.3,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_photos_qty,平均商品图片数,-0.009912315756082535,0.13333333333333333,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_name_length,平均商品标题长度,0.07078535854816437,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_description_length,平均商品描述长度,0.034914735704660416,0.9333333333333333,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_payment_installments,平均支付分期期数,-0.0015539438463747501,0.5666666666666667,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_payment_sequential,平均支付序列数,-0.00219362392090261,0.6,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,credit_card_ratio,信用卡支付占比,-0.010005553252995014,0.2,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,boleto_ratio,Boleto支付占比,-0.009164044633507729,0.16666666666666666,0.0,0.0,False,inf
