epoch,train_loss,train_swap_mmd,train_marginal_mmd,train_covariance,train_cross,train_symmetry,train_reconstructability,validation_mean_marginal_ks,validation_max_marginal_ks,validation_covariance_relative_error,validation_cross_covariance_asymmetry,validation_mean_real_knockoff_correlation,validation_score,learning_rate
1,0.5149775876299195,0.005662530837783,0.0390960016571309,0.041337925940752,0.0207982405858195,0.0110389779311726,0.0153852783335858,0.2189505141953062,0.5146457765667575,0.5137562491645553,0.4715442434331139,0.5194613231851118,0.9879402082615304,0.0008
3,0.1489162869427515,0.0038665946795726,0.0076457220737053,0.0133320243178826,0.0103486487439469,0.0070509661353476,0.0029581890077046,0.2289048079458557,0.6205722070844687,0.3189495446307119,0.2614036176481434,0.5091076617017966,0.6876638231024359,0.0008
5,0.1322692164584346,0.0036814058523463,0.0070874975670291,0.0106959430824803,0.0095653914360572,0.006094421573874,0.0029879883361939,0.2222136767161817,0.4982970027247956,0.2656399558030476,0.2373438116619819,0.5113659747830929,0.6178915131333133,0.0008
7,0.1266414793613164,0.0036464678174208,0.0069663002985813,0.0092170737967219,0.0089806793460055,0.0058172842305477,0.0032011374714784,0.2128966335589347,0.5091961852861036,0.2058598523022785,0.2187831509826502,0.5164411991562384,0.5445892605087769,0.0008
9,0.123666096964608,0.0036159940924414,0.0068768791287489,0.0090778863826847,0.0091407273531607,0.0057347547566599,0.0029092952026985,0.2161268348422255,0.4969346049046321,0.2034761704496798,0.2060266891570154,0.5171243340958247,0.5397406839662379,0.0008
11,0.1221914260607698,0.0036478796214594,0.0067871813358658,0.0084366556965624,0.0088019803794019,0.0058569156504033,0.0031694063572617,0.2148193724180363,0.5354223433242506,0.1914358063447732,0.2093672276921713,0.5066502867927654,0.5175890794016607,0.0008
13,0.119562906253597,0.003560014170311,0.0066799551005596,0.0082820056755419,0.0086311741590337,0.0058178682001712,0.0028907714978508,0.2141161993495648,0.491825613079019,0.1943468767119215,0.1948341406236175,0.511784018023464,0.5176641643967591,0.0008
15,0.1182129553154758,0.0035213820798241,0.006662372874258,0.0081368629193014,0.0085169245671156,0.0056483664185456,0.0029645976914173,0.215017139843544,0.5286103542234333,0.185495400314969,0.2027734303330288,0.512531157489623,0.5144304128146504,0.0008
17,0.1168264885959417,0.0035297397635472,0.0066831677483961,0.008144900901243,0.0084768006800795,0.0055657718938006,0.0028646839782595,0.2102157862353871,0.5350817438692098,0.1692814608772509,0.2094281139113313,0.5130378129581958,0.4972491170264996,0.0008
19,0.1171301812257455,0.0034037406009662,0.0063469279658697,0.0082357318606227,0.0084055946613459,0.0056054575125808,0.0031133470727819,0.2126878790542322,0.5412125340599455,0.1571106744047449,0.1617368046003011,0.5177391432262965,0.4684060989854242,0.0008
21,0.1148630780694277,0.0034762022449918,0.0065515734579252,0.0077156601372458,0.008280962968812,0.0058721714885905,0.0029793393180665,0.2177639096422607,0.5183923705722071,0.1767737327037165,0.1814610143694622,0.5021312455609235,0.4873993950916318,0.0008
23,0.1171704708882,0.0035135322604733,0.0065210339329812,0.0079050535619582,0.0082713215227198,0.005732781395478,0.0030911608254941,0.2145666695965544,0.5306539509536785,0.18436880718414,0.1791015941194491,0.5196330529657054,0.5081193268061245,0.0008
25,0.1139608028790225,0.0035104179532145,0.0065948081445758,0.0076451491281066,0.0082418171122022,0.0056790471704595,0.002993367840131,0.2219719609738947,0.5217983651226158,0.1827008270088623,0.1992904949210656,0.5171744732420441,0.521492508685334,0.0008
27,0.1126442399361859,0.003373358560645,0.0062963708364607,0.007846423515888,0.0083345567665832,0.0057093681281675,0.0028617379316331,0.2156653775160411,0.4982970027247956,0.1559461442746657,0.1979195809282916,0.5103992191819974,0.48097053143685,0.0008
29,0.1109575634093388,0.0032683585355382,0.0061879905203924,0.0077780337052662,0.0081002341542878,0.0056475384019153,0.0028716026496587,0.2103696053441152,0.5047683923705722,0.1642900538743373,0.2085454692848635,0.5096291650352548,0.4885615588961391,0.0008
31,0.1151478676044422,0.0033956778276225,0.0063859353692311,0.0077831552708116,0.0081026685707595,0.0055745351533203,0.0030951047513593,0.2150501010811286,0.5207765667574932,0.1760183339711408,0.1941782748736538,0.5091781053910525,0.4973356778801488,0.00052
33,0.1078904300280239,0.0032504364929121,0.0061343389097601,0.0072423640699328,0.0079916212302835,0.0052655809558928,0.0030417720706242,0.2116770677683044,0.4942098092643052,0.1540540895497034,0.1684319065318718,0.5171940732502255,0.4671411838341692,0.00052
35,0.1085043253134126,0.0033277345051907,0.0061182528936668,0.0072191375530446,0.007994955709285,0.0055238700917233,0.0028245355503674,0.2117320031642788,0.489441416893733,0.1490836891788438,0.178941519517579,0.5095443970781899,0.4598308491801021,0.00052
37,0.1090871568607247,0.0033171879097252,0.0061325886003349,0.0073532309160446,0.0079143050977069,0.005297016909184,0.0028768525529733,0.217247516920102,0.5231607629427792,0.1470849773201816,0.1700395521559118,0.5165935512694503,0.4659458215876898,0.00052
39,0.1092521464047224,0.0033091698044344,0.0061675762231259,0.007166131561541,0.0078085415854888,0.0053117581359718,0.002945655632926,0.2126878790542322,0.5183923705722071,0.1484811856500792,0.1599647778031495,0.5175162493958376,0.4586677030017238,0.00052
41,0.1059192142084888,0.0031862512797765,0.0059329363335247,0.0071124547140915,0.0079539896940569,0.0055371583236948,0.0027105717631259,0.2092159620286543,0.4979564032697547,0.142473521619031,0.1770005558486786,0.5071936437521433,0.447383405324168,0.00052
43,0.1069394230194713,0.0031900643016738,0.0058932729551325,0.0071103715378305,0.0078639362979194,0.0055429230889548,0.0028662660877908,0.2089193108903929,0.5085149863760218,0.1361955835423939,0.1649585137540667,0.5092267359905127,0.4368208873003328,0.00052
45,0.1056042423714762,0.003240840256457,0.0059512504174009,0.007016334551103,0.0078130970688779,0.0054300405267302,0.0027980092513051,0.2147973982596466,0.5248637602179836,0.1296869929768087,0.1544484410512085,0.5131890100005602,0.4348976217626198,0.00052
47,0.1082129974080168,0.0032793520899165,0.0060472323903409,0.0073400750634786,0.007893686203043,0.00541721045485,0.0027635685249191,0.2076008613870089,0.4860354223433242,0.1404528287917817,0.1817237200141248,0.5091440858258909,0.4480596360117439,0.00052
49,0.1099750192269035,0.0031830546263929,0.0059943299578583,0.0073933858707871,0.0077539447229355,0.0053408863933999,0.0032700418049226,0.2107981014327151,0.4996594005449591,0.1557917369893693,0.1577305187180493,0.5107807190034886,0.4562358167845977,0.00052
51,0.1058556435872679,0.0032148746034616,0.0059459857318712,0.006965005831064,0.0077178220608798,0.005221224643047,0.0028186024890443,0.2117759514810582,0.4976158038147139,0.1182636718071015,0.169245045327687,0.506959432268098,0.4216215782201014,0.00052
53,0.1069156440055888,0.0032463987590745,0.0060573266009273,0.0071717810047709,0.0077060242993352,0.005321793531513,0.0029012486439846,0.2139953414784213,0.4935286103542234,0.1417933377033204,0.1675311492223445,0.5082572870103004,0.4478115408032144,0.00052
55,0.106239330995342,0.0032457708198901,0.0059097351951767,0.0070784559230441,0.0078092125629115,0.0054714728005068,0.0027945270184832,0.21080908851191,0.5074931880108992,0.1387807257115226,0.1805208158827359,0.5086822488440512,0.4485324710088518,0.00052
57,0.1081606909308744,0.0033181602206162,0.0060380119526677,0.0071311580199424,0.0076421017697809,0.005373518600169,0.0028338360185127,0.2062384635668454,0.5156675749318801,0.131743152327712,0.1560807665352253,0.5128917091192681,0.4289137082814381,0.00052
59,0.1079658726635186,0.0032170734358141,0.0058767023273622,0.0072832276295546,0.0077966943727401,0.0054900821996852,0.0030795125032613,0.2075679001494242,0.4969346049046321,0.1441360808444541,0.179779708666762,0.5088342428687167,0.4504280781959762,0.00052
61,0.1046753407496473,0.0032195343949791,0.0059344180070025,0.0070365657827452,0.0075558996253201,0.0052627317263218,0.0027917030510371,0.2057000966862969,0.4976158038147139,0.1383717539373283,0.1633929403983542,0.5048306714516294,0.4305989922744317,0.00052
63,0.107462726695382,0.0032671667362117,0.0060886735622973,0.0074173312067337,0.0079122676473596,0.0055941685973464,0.0026252794879205,0.2183572119187835,0.5555177111716622,0.1568841639943551,0.1776261114329998,0.5155028892529645,0.4795573208826031,0.000338
65,0.102470008575398,0.0032177875527059,0.0058324618427001,0.0067986135634229,0.0075903728341116,0.0053749221943966,0.0027602226017852,0.2095675485628901,0.4979564032697547,0.110580275019436,0.1519761491159156,0.510145036516107,0.406280934656391,0.000338
67,0.1071588976875595,0.0031752453651279,0.0057984082959592,0.0072209715600246,0.007650513495521,0.0053005139039748,0.0029476475977824,0.2090951041575108,0.5051089918256131,0.1269027956834308,0.1498475815401013,0.5128905652710818,0.4238122558820741,0.000338
69,0.1053693589308987,0.0031919242085322,0.0058562882528032,0.0069152817190827,0.0076828875133524,0.0054165450856089,0.0029367893230696,0.2084029181682341,0.5020435967302452,0.1173759337258291,0.1507216877331031,0.5115910417377262,0.4127307374983411,0.000338
71,0.1058730126722999,0.0031915079883259,0.0057662324777439,0.0069413501668073,0.0076631080642666,0.0053990700828802,0.0029198964070731,0.2095785356420849,0.5095367847411444,0.1172705361531108,0.156743935694739,0.5115296353568772,0.4167506749994424,0.000338
73,0.1053155597461306,0.0031900203675436,0.0056467975246841,0.0068402387930647,0.0075077059698979,0.005255096733732,0.0031038707453737,0.2099960446514898,0.5098773841961853,0.1243178295640883,0.156459838578544,0.5147397959451182,0.4272835894499684,0.000338
75,0.1046775728464126,0.0031619916781378,0.0058399560942274,0.0069122807143013,0.0076407378478704,0.0055702401821137,0.0029825998126002,0.2051067944097741,0.4799046321525885,0.1189902101675985,0.1666679097315859,0.5080029381547371,0.4154338975979027,0.000338
77,0.1037686352172623,0.0030998395877363,0.0056644032567577,0.0066699152711131,0.0074666814939321,0.005431672507573,0.0030221384823443,0.2113584424716533,0.4880790190735695,0.1346619260554581,0.148205115307133,0.5140799879213158,0.4342029141019937,0.0002197
79,0.1005464865137701,0.0030184627014576,0.0054887351478733,0.0067716585775918,0.0075051597137328,0.0052237643951388,0.002726705456355,0.2059198382701942,0.483991825613079,0.1184269973081758,0.1577225195409491,0.5159319714161951,0.4191400667650397,0.0002197
81,0.0997300015195556,0.0030552542555834,0.0056380463622348,0.0066019867587348,0.0074257879801418,0.0053160067080803,0.0026011031675253,0.2088533884152237,0.4792234332425068,0.1045257124061334,0.1531645021892717,0.5093407412125112,0.3993020931285042,0.0002197
83,0.0981905084589253,0.0030294109601527,0.0055192438379416,0.0064012258637534,0.0074222759424668,0.0053022566109733,0.0027530526529754,0.2109299463830535,0.4965940054495912,0.1139167988680616,0.1553286687184103,0.5103919094757675,0.4129029890860878,0.0002197
85,0.1041699756422768,0.0030968136093376,0.0056355763327978,0.0068379546130966,0.0074938325332882,0.0052935260084822,0.002877015838116,0.2101059154434384,0.5282697547683923,0.1109747276144811,0.1620340791168962,0.5069980868591749,0.4090957694755427,0.0002197
87,0.1054377293457155,0.0032129271269735,0.0055929324387208,0.0068391717909632,0.0074376390396576,0.0053028815081747,0.0031460024512615,0.2069965720312911,0.4891008174386921,0.1049265341348955,0.1517210546855609,0.5116433851956939,0.3994270187046611,0.0002197
89,0.1004303272651589,0.0030827037230862,0.0055177675600609,0.0066073917905273,0.0073964343426506,0.0053012583344041,0.0027037770158368,0.2089962204447569,0.5207765667574932,0.1144914947396938,0.1382647672220388,0.51205196607499,0.4046720648704602,0.0002197
90,0.0996864966076353,0.0030809714276667,0.0055066520631637,0.0064362910393949,0.0073555374680005,0.0051346907554113,0.0027659139595925,0.2138415223696932,0.5378065395095368,0.1026539913709318,0.1448560008327812,0.5048947344033268,0.3938182485603425,0.0002197
