comparison,paired_repetitions,mean_difference,std_difference,ci95_lower,ci95_upper,knockoff_higher_rate,tie_rate,knockoff_lower_rate
去随机化Knockoff - Elastic Net,30,-0.018315018315018312,0.1304819569430419,-0.06500738694289794,0.028377350312861316,0.23333333333333334,0.5,0.26666666666666666
去随机化Knockoff - 稳定性选择,30,0.04102564102564102,0.10559760866291597,0.0032380220672300966,0.07881325998405195,0.4,0.4666666666666667,0.13333333333333333
去随机化Knockoff - 影子变量树模型,30,0.022710622710622706,0.11317313894573257,-0.01778786494415014,0.06320911036539556,0.4,0.36666666666666664,0.23333333333333334
去随机化Knockoff - XGBoost-SHAP,30,0.16941391941391942,0.1370970022169849,0.12035438723594154,0.2184734515918973,0.8333333333333334,0.1,0.06666666666666667
