method,outer_repetitions,seller_fraction,matched_budget,mean_overlap,mean_jaccard,std_jaccard,ci95_lower,ci95_upper,minimum_jaccard,maximum_jaccard,exact_match_rate,mean_native_count
去随机化Knockoff,30,0.7,12,11.033333333333333,0.854945054945055,0.08840332626975832,0.8233103309201837,0.8865797789699263,0.7142857142857143,1.0,0.2,9.9
Elastic Net,30,0.7,12,11.166666666666666,0.8732600732600735,0.07843654482084322,0.8451919161717282,0.9013282303484188,0.7142857142857143,1.0,0.23333333333333334,16.6
稳定性选择,30,0.7,12,10.733333333333333,0.8139194139194141,0.09687767758211521,0.7792521822235285,0.8485866456152997,0.7142857142857143,1.0,0.13333333333333333,10.433333333333334
影子变量树模型,30,0.7,12,10.866666666666667,0.8322344322344324,0.09631727931989116,0.797767736481226,0.8667011279876388,0.7142857142857143,1.0,0.16666666666666666,8.0
XGBoost-SHAP,30,0.7,12,9.7,0.6855311355311358,0.11223236400508307,0.6453692998652953,0.7256929711969762,0.5,0.8461538461538461,0.0,12.0
