method,scene,rep,neural_winner,decoder_gain
vtfs_cardinality,linear_sparse,95,True,0.0068069073785734235
vtfs_cardinality,linear_sparse,96,True,0.07092361074740311
vtfs_cardinality,linear_sparse,97,True,0.013723001426202974
vtfs_cardinality,linear_sparse,98,True,0.056166273671636735
vtfs_cardinality,linear_sparse,99,False,0.0
vtfs_cardinality,linear_medium,0,True,0.0025676176998770117
vtfs_cardinality,linear_medium,1,True,0.01048913862141343
vtfs_cardinality,linear_medium,2,True,0.05039106237862412
vtfs_cardinality,linear_medium,3,True,0.024077312124114236
vtfs_cardinality,linear_medium,4,True,0.017582006001683803
vtfs_cardinality,linear_medium,5,True,0.04998651789901243
vtfs_cardinality,linear_medium,6,True,0.02751008791077636
vtfs_cardinality,linear_medium,7,True,0.01432009188609884
vtfs_cardinality,linear_medium,8,True,0.004223621256706611
vtfs_cardinality,linear_medium,9,False,0.0
vtfs_cardinality,linear_medium,10,False,0.0
vtfs_cardinality,linear_medium,11,True,0.012052149071037688
vtfs_cardinality,linear_medium,12,True,0.006541835054640011
vtfs_cardinality,linear_medium,13,True,0.0438723746228018
vtfs_cardinality,linear_medium,14,True,0.0698962527767466
vtfs_cardinality,linear_medium,15,True,0.04155160506277511
vtfs_cardinality,linear_medium,16,False,0.0
vtfs_cardinality,linear_medium,17,False,0.0
vtfs_cardinality,linear_medium,18,True,0.01244031221610431
vtfs_cardinality,linear_medium,19,False,0.0
vtfs_cardinality,linear_medium,20,True,0.04668251139194379
vtfs_cardinality,linear_medium,21,True,0.05549637794960227
vtfs_cardinality,linear_medium,22,True,0.06151769943029772
vtfs_cardinality,linear_medium,23,True,0.050757648070631545
vtfs_cardinality,linear_medium,24,True,0.00563638708805847
vtfs_cardinality,linear_medium,25,True,0.007449796732422076
vtfs_cardinality,linear_medium,26,True,0.03110599596067054
vtfs_cardinality,linear_medium,27,True,0.05303866603506879
vtfs_cardinality,linear_medium,28,True,0.04894187473869249
vtfs_cardinality,linear_medium,29,True,0.02446769094019796
vtfs_cardinality,linear_medium,30,True,0.042562360339882144
vtfs_cardinality,linear_medium,31,False,0.0
vtfs_cardinality,linear_medium,32,True,0.01912024993549144
vtfs_cardinality,linear_medium,33,True,0.047197003399299664
vtfs_cardinality,linear_medium,34,True,0.007333728246498916
vtfs_cardinality,linear_medium,35,True,0.06753165153482499
vtfs_cardinality,linear_medium,36,True,0.036759450780603053
vtfs_cardinality,linear_medium,37,True,0.04218067568018258
vtfs_cardinality,linear_medium,38,True,0.0637974633283962
vtfs_cardinality,linear_medium,39,False,0.0
vtfs_cardinality,linear_medium,40,True,0.03074844007508637
vtfs_cardinality,linear_medium,41,False,0.0
vtfs_cardinality,linear_medium,42,False,0.0
vtfs_cardinality,linear_medium,43,True,0.03484056126858537
vtfs_cardinality,linear_medium,44,True,0.060123042745878985
vtfs_cardinality,linear_medium,45,True,0.0023435649552252524
vtfs_cardinality,linear_medium,46,True,0.011254316206714465
vtfs_cardinality,linear_medium,47,True,0.014536161094378164
vtfs_cardinality,linear_medium,48,False,0.0
vtfs_cardinality,linear_medium,49,True,0.03575239224935389
vtfs_cardinality,linear_medium,50,True,0.07464902120373895
vtfs_cardinality,linear_medium,51,False,0.0
vtfs_cardinality,linear_medium,52,True,0.030735151276953143
vtfs_cardinality,linear_medium,53,True,0.014472475422120379
vtfs_cardinality,linear_medium,54,True,0.07068425840467407
vtfs_cardinality,linear_medium,55,False,0.0
vtfs_cardinality,linear_medium,56,True,0.0512590799330479
vtfs_cardinality,linear_medium,57,True,0.005435633101805282
vtfs_cardinality,linear_medium,58,True,0.03524422600509047
vtfs_cardinality,linear_medium,59,False,0.0
vtfs_cardinality,linear_medium,60,True,0.019021663487640783
vtfs_cardinality,linear_medium,61,False,0.0
vtfs_cardinality,linear_medium,62,True,0.061720837297425835
vtfs_cardinality,linear_medium,63,True,0.013838474488702568
vtfs_cardinality,linear_medium,64,True,0.03512481603117035
vtfs_cardinality,linear_medium,65,False,0.0
vtfs_cardinality,linear_medium,66,True,0.013511244107215381
vtfs_cardinality,linear_medium,67,True,0.005069333333112436
vtfs_cardinality,linear_medium,68,False,0.0
vtfs_cardinality,linear_medium,69,True,0.02883526728832675
vtfs_cardinality,linear_medium,70,True,0.11562363733265624
vtfs_cardinality,linear_medium,71,True,0.029384971783571467
vtfs_cardinality,linear_medium,72,True,0.03564565789980212
vtfs_cardinality,linear_medium,73,False,0.0
vtfs_cardinality,linear_medium,74,True,0.005503750176522271
vtfs_cardinality,linear_medium,75,True,0.029962869137409864
vtfs_cardinality,linear_medium,76,True,0.03173073319954667
vtfs_cardinality,linear_medium,77,True,0.04027273634022022
vtfs_cardinality,linear_medium,78,False,0.0
vtfs_cardinality,linear_medium,79,True,0.020710253584325322
vtfs_cardinality,linear_medium,80,True,0.048802523927613306
vtfs_cardinality,linear_medium,81,True,0.020487538125583793
vtfs_cardinality,linear_medium,82,False,0.0
vtfs_cardinality,linear_medium,83,True,0.030728756423597625
vtfs_cardinality,linear_medium,84,True,0.03100101824201551
vtfs_cardinality,linear_medium,85,False,0.0
vtfs_cardinality,linear_medium,86,True,0.02836756184045819
vtfs_cardinality,linear_medium,87,True,0.020488899411220673
vtfs_cardinality,linear_medium,88,False,0.0
vtfs_cardinality,linear_medium,89,True,0.008005191257238975
vtfs_cardinality,linear_medium,90,True,0.06304831125504062
vtfs_cardinality,linear_medium,91,True,0.02462193455772632
vtfs_cardinality,linear_medium,92,False,0.0
vtfs_cardinality,linear_medium,93,True,0.021508204046791102
vtfs_cardinality,linear_medium,94,True,0.02694410720305518
vtfs_cardinality,linear_medium,95,True,0.005608233010589325
vtfs_cardinality,linear_medium,96,True,0.047106491054742294
vtfs_cardinality,linear_medium,97,False,0.0
vtfs_cardinality,linear_medium,98,True,0.0029485517165084296
vtfs_cardinality,linear_medium,99,True,0.06977370519107029
vtfs_cardinality,linear_weak,0,False,0.0
vtfs_cardinality,linear_weak,1,True,0.0060683925701954244
vtfs_cardinality,linear_weak,2,True,0.006199977608615015
vtfs_cardinality,linear_weak,3,True,0.02311026670329186
vtfs_cardinality,linear_weak,4,True,0.042454897193403784
vtfs_cardinality,linear_weak,5,True,0.06307372129024769
vtfs_cardinality,linear_weak,6,True,0.0045914574898877625
vtfs_cardinality,linear_weak,7,True,0.09435128891746913
vtfs_cardinality,linear_weak,8,False,0.0
vtfs_cardinality,linear_weak,9,True,0.0007590933702794622
vtfs_cardinality,linear_weak,10,True,0.09961250854739623
vtfs_cardinality,linear_weak,11,False,0.0
vtfs_cardinality,linear_weak,12,True,0.074352088743598
