method,scene,rep,FDP,power,rmse
copula_mvr,linear_sparse,0,0.5833333333333334,1.0,0.6318360978592015
copula_mvr,linear_sparse,1,0.5833333333333334,1.0,0.6326344550066859
copula_mvr,linear_sparse,2,0.5833333333333334,1.0,0.6455492161043461
copula_mvr,linear_sparse,3,0.5833333333333334,1.0,0.5900479431998542
copula_mvr,linear_sparse,4,0.5833333333333334,1.0,0.6156503439380469
copula_mvr,linear_sparse,5,0.5833333333333334,1.0,0.6813170604504211
copula_mvr,linear_sparse,6,0.5833333333333334,1.0,0.6041402613854546
copula_mvr,linear_sparse,7,0.5833333333333334,1.0,0.6647978434338249
copula_mvr,linear_sparse,8,0.5833333333333334,1.0,0.6060913983868974
copula_mvr,linear_sparse,9,0.5833333333333334,1.0,0.6521630601892462
copula_mvr,linear_sparse,10,0.5833333333333334,1.0,0.6617867184081461
copula_mvr,linear_sparse,11,0.5833333333333334,1.0,0.5737285414627491
copula_mvr,linear_sparse,12,0.5833333333333334,1.0,0.6503919078685204
copula_mvr,linear_sparse,13,0.5833333333333334,1.0,0.6490452291080877
copula_mvr,linear_sparse,14,0.5833333333333334,1.0,0.6409000690122837
copula_mvr,linear_sparse,15,0.5833333333333334,1.0,0.64777521653634
copula_mvr,linear_sparse,16,0.5833333333333334,1.0,0.6377588649777441
copula_mvr,linear_sparse,17,0.5833333333333334,1.0,0.6660540826617132
copula_mvr,linear_sparse,18,0.5833333333333334,1.0,0.617555775387093
copula_mvr,linear_sparse,19,0.5833333333333334,1.0,0.5726798712867986
copula_mvr,linear_sparse,20,0.5833333333333334,1.0,0.5941160271721777
copula_mvr,linear_sparse,21,0.5833333333333334,1.0,0.6035758018845752
copula_mvr,linear_sparse,22,0.5833333333333334,1.0,0.6118667327326591
copula_mvr,linear_sparse,23,0.5833333333333334,1.0,0.6530498038757306
copula_mvr,linear_sparse,24,0.5833333333333334,1.0,0.6347915036876864
copula_mvr,linear_sparse,25,0.5833333333333334,1.0,0.671005120863759
copula_mvr,linear_sparse,26,0.5833333333333334,1.0,0.6267255733902394
copula_mvr,linear_sparse,27,0.5833333333333334,1.0,0.6884441077249016
copula_mvr,linear_sparse,28,0.5833333333333334,1.0,0.614810600691388
copula_mvr,linear_sparse,29,0.5833333333333334,1.0,0.6638760415446447
copula_mvr,linear_sparse,30,0.5833333333333334,1.0,0.6768366555638403
copula_mvr,linear_sparse,31,0.5833333333333334,1.0,0.654130695032709
copula_mvr,linear_sparse,32,0.5833333333333334,1.0,0.6720658741929812
copula_mvr,linear_sparse,33,0.5833333333333334,1.0,0.6123320409733752
copula_mvr,linear_sparse,34,0.5833333333333334,1.0,0.680570576190757
copula_mvr,linear_sparse,35,0.5833333333333334,1.0,0.5857646260835341
copula_mvr,linear_sparse,36,0.5833333333333334,1.0,0.6683442690633371
copula_mvr,linear_sparse,37,0.5833333333333334,1.0,0.5813068608145567
copula_mvr,linear_sparse,38,0.5833333333333334,1.0,0.6381994571337564
copula_mvr,linear_sparse,39,0.5833333333333334,1.0,0.7098868418687954
copula_mvr,linear_sparse,40,0.5833333333333334,1.0,0.6394587513934284
copula_mvr,linear_sparse,41,0.5833333333333334,1.0,0.6661852578454129
copula_mvr,linear_sparse,42,0.5833333333333334,1.0,0.6311394505389224
copula_mvr,linear_sparse,43,0.5833333333333334,1.0,0.647942417677842
copula_mvr,linear_sparse,44,0.5833333333333334,1.0,0.6239375279077685
copula_mvr,linear_sparse,45,0.5833333333333334,1.0,0.6541738874293769
copula_mvr,linear_sparse,46,0.5833333333333334,1.0,0.607425622771204
copula_mvr,linear_sparse,47,0.5833333333333334,1.0,0.6084183500066471
copula_mvr,linear_sparse,48,0.5833333333333334,1.0,0.6106700324558078
copula_mvr,linear_sparse,49,0.5833333333333334,1.0,0.6142892660621588
copula_mvr,linear_sparse,50,0.5833333333333334,1.0,0.6399953398972473
copula_mvr,linear_sparse,51,0.5833333333333334,1.0,0.6430774796968558
copula_mvr,linear_sparse,52,0.5833333333333334,1.0,0.589549069790793
copula_mvr,linear_sparse,53,0.5833333333333334,1.0,0.6332582924642022
copula_mvr,linear_sparse,54,0.5833333333333334,1.0,0.68660157646977
copula_mvr,linear_sparse,55,0.5833333333333334,1.0,0.6790704254492124
copula_mvr,linear_sparse,56,0.5833333333333334,1.0,0.6491984369224201
copula_mvr,linear_sparse,57,0.5833333333333334,1.0,0.5897047579988571
copula_mvr,linear_sparse,58,0.5833333333333334,1.0,0.6204460940310694
copula_mvr,linear_sparse,59,0.5833333333333334,1.0,0.6442476536948759
copula_mvr,linear_sparse,60,0.5833333333333334,1.0,0.7483108780187845
copula_mvr,linear_sparse,61,0.5833333333333334,1.0,0.6414135438569585
copula_mvr,linear_sparse,62,0.5833333333333334,1.0,0.6306963173750898
copula_mvr,linear_sparse,63,0.5833333333333334,1.0,0.7161624266232259
copula_mvr,linear_sparse,64,0.5833333333333334,1.0,0.6710953008090644
copula_mvr,linear_sparse,65,0.5833333333333334,1.0,0.6071665841565265
copula_mvr,linear_sparse,66,0.5833333333333334,1.0,0.6424648854495574
copula_mvr,linear_sparse,67,0.5833333333333334,1.0,0.6359324843162282
copula_mvr,linear_sparse,68,0.5833333333333334,1.0,0.6412645947707004
copula_mvr,linear_sparse,69,0.5833333333333334,1.0,0.6695563743922877
copula_mvr,linear_sparse,70,0.5833333333333334,1.0,0.7182356748798213
copula_mvr,linear_sparse,71,0.5833333333333334,1.0,0.6452373037562804
copula_mvr,linear_sparse,72,0.5833333333333334,1.0,0.6392178236460687
copula_mvr,linear_sparse,73,0.5833333333333334,1.0,0.6601403596949017
copula_mvr,linear_sparse,74,0.5833333333333334,1.0,0.5984363126549573
copula_mvr,linear_sparse,75,0.5833333333333334,1.0,0.6065166191427231
copula_mvr,linear_sparse,76,0.5833333333333334,1.0,0.6195261558613949
copula_mvr,linear_sparse,77,0.5833333333333334,1.0,0.6141765001213396
copula_mvr,linear_sparse,78,0.5833333333333334,1.0,0.6670838757525529
copula_mvr,linear_sparse,79,0.5833333333333334,1.0,0.6249880776505454
copula_mvr,linear_sparse,80,0.5833333333333334,1.0,0.5974930799507476
copula_mvr,linear_sparse,81,0.5833333333333334,1.0,0.66269300194491
copula_mvr,linear_sparse,82,0.5833333333333334,1.0,0.6453867014280308
copula_mvr,linear_sparse,83,0.5833333333333334,1.0,0.6314922714140588
copula_mvr,linear_sparse,84,0.5833333333333334,1.0,0.6304912263406548
copula_mvr,linear_sparse,85,0.5833333333333334,1.0,0.6359724616173147
copula_mvr,linear_sparse,86,0.5833333333333334,1.0,0.6098908503711351
copula_mvr,linear_sparse,87,0.5833333333333334,1.0,0.6799274627987462
copula_mvr,linear_sparse,88,0.5833333333333334,1.0,0.6504710279645689
copula_mvr,linear_sparse,89,0.5833333333333334,1.0,0.5975900625107192
copula_mvr,linear_sparse,90,0.5833333333333334,1.0,0.6385729539286801
copula_mvr,linear_sparse,91,0.5833333333333334,1.0,0.6535482504030494
copula_mvr,linear_sparse,92,0.5833333333333334,1.0,0.6032803556122581
copula_mvr,linear_sparse,93,0.5833333333333334,1.0,0.5866234129567773
copula_mvr,linear_sparse,94,0.5833333333333334,1.0,0.6081494653711518
