method,feature,label_zh,full_selected,half_sample_frequency
shadow_trees,avg_product_photos_qty,平均商品图片数,False,0.0
shadow_trees,avg_product_name_length,平均商品标题长度,False,0.0
shadow_trees,avg_product_description_length,平均商品描述长度,False,0.016666666666666666
shadow_trees,avg_payment_installments,平均支付分期期数,True,1.0
shadow_trees,avg_payment_sequential,平均支付序列数,False,0.0
shadow_trees,credit_card_ratio,信用卡支付占比,False,0.0
shadow_trees,boleto_ratio,Boleto支付占比,False,0.0
shadow_trees,voucher_ratio,代金券支付占比,False,0.0
shadow_trees,debit_card_ratio,借记卡支付占比,False,0.0
shadow_trees,avg_review_score,月末可见平均评价,True,1.0
shadow_trees,avg_delivery_days,月末已送达平均天数,True,1.0
shadow_trees,avg_approval_days,月末已审核平均天数,False,0.0
shadow_trees,avg_ship_days,月末已承运平均准备天数,False,0.0
shadow_trees,avg_estimate_gap_days,月末已送达预计提前天数,True,1.0
shadow_trees,item_count,购买件数,True,1.0
shadow_trees,order_count,购买订单数,True,1.0
shadow_trees,category_count,活跃品类数,False,0.0
shadow_trees,unique_customer_count,独立顾客数,True,1.0
shadow_trees,buyer_state_diversity,买家州数量,True,1.0
shadow_trees,dominant_customer_state_share,第一大买家州占比,True,1.0
shadow_trees,interstate_ratio,跨州交易占比,False,0.36666666666666664
shadow_trees,avg_distance_km,平均买卖家距离,False,0.0
shadow_trees,seller_state_frequency,已观察卖家州频率,False,0.016666666666666666
shadow_trees,marketing_origin_frequency,已成交营销来源频率,False,0.0
shadow_trees,has_marketing_deal,月末已匹配营销成交,False,0.0
xgboost_shap,avg_price,平均商品价格,True,1.0
xgboost_shap,avg_freight,平均运费,True,0.45
xgboost_shap,avg_product_weight_g,平均商品重量,True,0.5
xgboost_shap,avg_product_length_cm,平均商品长度,False,0.0
xgboost_shap,avg_product_height_cm,平均商品高度,False,0.06666666666666667
xgboost_shap,avg_product_width_cm,平均商品宽度,False,0.0
xgboost_shap,avg_product_photos_qty,平均商品图片数,False,0.016666666666666666
xgboost_shap,avg_product_name_length,平均商品标题长度,True,0.55
xgboost_shap,avg_product_description_length,平均商品描述长度,False,0.08333333333333333
xgboost_shap,avg_payment_installments,平均支付分期期数,False,0.1
xgboost_shap,avg_payment_sequential,平均支付序列数,False,0.0
xgboost_shap,credit_card_ratio,信用卡支付占比,False,0.0
xgboost_shap,boleto_ratio,Boleto支付占比,False,0.0
xgboost_shap,voucher_ratio,代金券支付占比,False,0.0
xgboost_shap,debit_card_ratio,借记卡支付占比,False,0.0
xgboost_shap,avg_review_score,月末可见平均评价,True,1.0
xgboost_shap,avg_delivery_days,月末已送达平均天数,True,1.0
xgboost_shap,avg_approval_days,月末已审核平均天数,False,0.26666666666666666
xgboost_shap,avg_ship_days,月末已承运平均准备天数,True,0.9666666666666667
xgboost_shap,avg_estimate_gap_days,月末已送达预计提前天数,True,1.0
xgboost_shap,item_count,购买件数,True,0.9166666666666666
xgboost_shap,order_count,购买订单数,True,1.0
xgboost_shap,category_count,活跃品类数,False,0.0
xgboost_shap,unique_customer_count,独立顾客数,True,1.0
xgboost_shap,buyer_state_diversity,买家州数量,True,1.0
xgboost_shap,dominant_customer_state_share,第一大买家州占比,False,0.6666666666666666
xgboost_shap,interstate_ratio,跨州交易占比,False,0.016666666666666666
xgboost_shap,avg_distance_km,平均买卖家距离,False,0.21666666666666667
xgboost_shap,seller_state_frequency,已观察卖家州频率,False,0.18333333333333332
xgboost_shap,marketing_origin_frequency,已成交营销来源频率,False,0.0
xgboost_shap,has_marketing_deal,月末已匹配营销成交,False,0.0
deep_lasso,avg_price,平均商品价格,True,1.0
deep_lasso,avg_freight,平均运费,False,0.05
deep_lasso,avg_product_weight_g,平均商品重量,True,0.4166666666666667
deep_lasso,avg_product_length_cm,平均商品长度,False,0.016666666666666666
deep_lasso,avg_product_height_cm,平均商品高度,False,0.016666666666666666
deep_lasso,avg_product_width_cm,平均商品宽度,False,0.0
deep_lasso,avg_product_photos_qty,平均商品图片数,False,0.0
deep_lasso,avg_product_name_length,平均商品标题长度,False,0.2833333333333333
deep_lasso,avg_product_description_length,平均商品描述长度,False,0.08333333333333333
deep_lasso,avg_payment_installments,平均支付分期期数,False,0.21666666666666667
deep_lasso,avg_payment_sequential,平均支付序列数,False,0.0
deep_lasso,credit_card_ratio,信用卡支付占比,False,0.0
deep_lasso,boleto_ratio,Boleto支付占比,False,0.0
deep_lasso,voucher_ratio,代金券支付占比,False,0.0
deep_lasso,debit_card_ratio,借记卡支付占比,False,0.0
deep_lasso,avg_review_score,月末可见平均评价,True,0.95
deep_lasso,avg_delivery_days,月末已送达平均天数,True,0.95
deep_lasso,avg_approval_days,月末已审核平均天数,False,0.03333333333333333
deep_lasso,avg_ship_days,月末已承运平均准备天数,True,0.5833333333333334
deep_lasso,avg_estimate_gap_days,月末已送达预计提前天数,True,0.9333333333333333
deep_lasso,item_count,购买件数,True,1.0
deep_lasso,order_count,购买订单数,True,1.0
deep_lasso,category_count,活跃品类数,False,0.18333333333333332
deep_lasso,unique_customer_count,独立顾客数,True,1.0
deep_lasso,buyer_state_diversity,买家州数量,True,1.0
deep_lasso,dominant_customer_state_share,第一大买家州占比,True,1.0
