model,n_test,rmse_log,mae_log,r2_log,wape_raw
ExtraTrees,7515,2.416023606812565,2.1463865831463784,0.2541918815438151,0.7804224240683172
XGBoost,7515,2.4203890589265713,2.1598193070647995,0.25149428287777076,0.7960974242731542
XGBoost-weekly-FDR-set,7515,2.420783431130472,2.1573315573885172,0.2512503436672898,0.7918777093389207
Lasso,7515,2.4329488351650856,2.189432758973093,0.24370590184879848,0.8267960647526306
Ridge,7515,2.433906172986802,2.1849431140734206,0.2431105984189601,0.827882968108955
MLP,7515,2.4428884708583207,2.1666981278859003,0.23751370958377738,0.8100615727763315
Naive-current-GMV,7515,3.4012427500516558,2.600002499844552,-0.47808706969649784,1.107663718306642
