feature,label_zh,coefficient,cluster_se,t_value,p_value,ci95_low,ci95_high
avg_price,平均商品价格,0.048712811581583554,0.056239879290189136,0.8661613822147969,0.3864016676495685,-0.061515326322067215,0.15894094948523432
avg_freight,平均运费,-0.06725756207257755,0.04776894473755173,-1.4079767188096493,0.15913796390553625,-0.16088297333766308,0.02636784919250798
avg_product_weight_g,平均商品重量,-0.022983882526930788,0.0668950902082437,-0.34358100804382213,0.7311614095231036,-0.15409585007764648,0.1081280850237849
avg_product_length_cm,平均商品长度,0.0166358355305583,0.05432182933202,0.30624586349768435,0.7594174547720147,-0.08983299353453239,0.123104664595649
avg_product_height_cm,平均商品高度,0.0063693732918677255,0.056633709236635264,0.11246611563537674,0.9104538350602683,-0.10463065712285079,0.11736940370658623
avg_product_width_cm,平均商品宽度,-0.014950868923475202,0.053946446282140126,-0.2771427953804797,0.7816704623302693,-0.12068396073039456,0.09078222288344415
avg_product_photos_qty,平均商品图片数,0.04443699383363582,0.043427714496175635,1.0232404433244828,0.3061941751281717,-0.04067976250975644,0.12955375017702808
avg_product_name_length,平均商品标题长度,-0.03002155461956183,0.03979114625352992,-0.7544782557476234,0.45056209723912566,-0.10801076818004637,0.04796765894092272
avg_product_description_length,平均商品描述长度,0.046994534137738624,0.04238525668950638,1.1087471873061323,0.2675392593271523,-0.036079042449179276,0.13006811072465652
avg_payment_installments,平均支付分期期数,-0.006573868066331732,0.032165492641320154,-0.20437641480071309,0.8380593594649823,-0.06961707518830737,0.05646933905564391
avg_payment_sequential,平均支付序列数,0.026187655401043612,0.02452427262899749,1.0678259778469164,0.28559901757014816,-0.021879035698832892,0.07425434650092011
credit_card_ratio,信用卡支付占比,0.3416046549948032,0.1729812216468536,1.974807737756642,0.048289970613094965,0.0025676905652297632,0.6806416194243766
boleto_ratio,Boleto支付占比,0.3701570857925838,0.16561168588366584,2.2350903791451113,0.025411415871023035,0.04556414604163822,0.6947500255435293
voucher_ratio,代金券支付占比,0.11330634787042648,0.07071687612466494,1.6022532962383924,0.10909960883313811,-0.025296182433097225,0.2519088781739502
debit_card_ratio,借记卡支付占比,0.10648427258372836,0.04929355986665851,2.1602065842226352,0.030756680683949423,0.00987067057530866,0.20309787459214806
avg_review_score,平均评价得分,0.011331539413464833,0.025417110948011933,0.44582326593460303,0.6557249143165278,-0.03848508263569726,0.06114816146262693
avg_delivery_days,平均下单至送达天数,0.017785571935955972,0.043835029262799065,0.40573879463677776,0.6849345342269486,-0.06812950668038956,0.10370065055230149
avg_approval_days,平均下单至审核天数,-0.03200229883043751,0.029020734710575556,-1.1027390984272851,0.270140482384328,-0.08888189366805703,0.024877296007182012
avg_ship_days,平均审核至承运天数,-0.18525545569809282,0.033516069873955806,-5.527362139856634,3.250814911390956e-08,-0.2509457455543741,-0.11956516584181152
avg_estimate_gap_days,平均预计提前送达天数,0.04611351428300573,0.03838929397183764,1.2012076678678845,0.2296706557307029,-0.02912811929371665,0.12135514785972812
item_count,成交件数,-0.2138118757959763,0.12208331201605967,-1.7513603805887084,0.07988385301749851,-0.45309077046081925,0.025467018868866653
order_count,成交订单数,0.47973317636092405,0.7636535001364183,0.6282079192660349,0.5298677431446635,-1.017000180574409,1.9764665332962572
category_count,活跃品类数,0.03426493274741185,0.031090808443330262,1.1020920478754073,0.27042165619665837,-0.02667193205174928,0.09520179754657299
unique_customer_count,独立顾客数,0.29791550010429374,0.7523605593980793,0.3959743721050967,0.6921239343696886,-1.17668409970435,1.7725150999129373
buyer_state_diversity,买家州数量,0.12827691490646537,0.08061767097196218,1.5911761448811697,0.11156993988415954,-0.029730816716080688,0.2862846465290114
dominant_customer_state_share,第一大买家州占比,0.04364086389104062,0.0434236742100798,1.0050016421896975,0.31489605911123164,-0.04146797363711657,0.1287497014191978
interstate_ratio,跨州交易占比,0.032722618201226544,0.03819169745564953,0.856799262175398,0.3915558335360282,-0.042131733320296544,0.10757696972274963
avg_distance_km,平均卖家-买家距离,-0.04787593441748203,0.041991206577832015,-1.1401419087289737,0.2542271845203047,-0.1301771869774142,0.03442531814245013
