,count,mean,std,min,1%,25%,50%,75%,99%,max
gmv,14677.0,840.9382360155344,1907.367933170948,2.29,15.9,119.0,299.9,789.95,9088.5376,62507.57
gmv_next_month,14677.0,758.0877556721401,1900.9310078348562,0.0,0.0,0.0,208.3,699.99,9094.8444,62507.57
log_gmv,14677.0,5.742448980545189,1.3790367848642866,1.1908875647772803,2.827313621929028,4.787491742782046,5.706777983635999,6.6732347546445885,9.114879305204363,11.043058946324406
log_gmv_next_month,14677.0,4.440163487217383,2.8719932744287173,0.0,0.0,0.0,5.343768629451954,6.552493621597604,9.115572922982064,11.043058946324406
aov_next_month,14677.0,115.82319446157123,197.895954860885,0.0,0.0,0.0,68.87249999999999,137.66666666666666,959.5599999999986,3733.2
