target,generator,stat_model,q,alpha_kn,feature,label_zh,mean_w,median_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
log_gmv_next_month,copula,lasso,0.2,0.1,avg_product_description_length,平均商品描述长度,0.008667126708221657,0.010529886323486136,0.95,0.5,14.725,True
log_gmv_next_month,copula,lasso,0.2,0.1,avg_payment_installments,平均支付分期期数,-0.0015964484449519218,0.0,0.0,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.2,0.1,avg_payment_sequential,平均支付序列数,0.005021924401413407,0.006397768292043474,0.9,0.26666666666666666,7.491666666666666,False
log_gmv_next_month,copula,lasso,0.2,0.1,credit_card_ratio,信用卡支付占比,0.0006199386233951481,0.0025352363569554944,0.6666666666666666,0.13333333333333333,3.3583333333333334,False
log_gmv_next_month,copula,lasso,0.2,0.1,boleto_ratio,Boleto支付占比,0.00020658454689614567,0.0,0.35,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.2,0.1,voucher_ratio,代金券支付占比,-0.0016263435637831984,0.00015383812837553015,0.5166666666666667,0.03333333333333333,0.775,False
log_gmv_next_month,copula,lasso,0.2,0.1,debit_card_ratio,借记卡支付占比,0.004142518878184024,0.0061127408185730515,0.8166666666666667,0.21666666666666667,5.941666666666666,False
log_gmv_next_month,copula,lasso,0.2,0.1,avg_review_score,平均评价得分,0.0005908899530210995,0.0017191358422318933,0.7333333333333333,0.06666666666666667,1.2916666666666667,False
log_gmv_next_month,copula,lasso,0.2,0.1,avg_delivery_days,平均下单至送达天数,0.006594568675170516,0.007589838804613441,0.9333333333333333,0.4166666666666667,12.141666666666667,True
log_gmv_next_month,copula,lasso,0.2,0.1,avg_approval_days,平均下单至审核天数,-0.0029245692580425436,0.0,0.0,0.0,0.0,False
log_gmv_next_month,copula,lasso,0.2,0.1,avg_ship_days,平均审核至承运天数,0.0531214196105862,0.0541523839277553,1.0,0.95,28.675,True
log_gmv_next_month,copula,lasso,0.2,0.1,avg_estimate_gap_days,平均预计提前送达天数,0.02106289760949115,0.021806065345498803,1.0,0.95,28.675,True
log_gmv_next_month,copula,lasso,0.2,0.1,item_count,成交件数,0.11677187872922822,0.11999697082895243,1.0,0.95,28.675,True
log_gmv_next_month,copula,lasso,0.2,0.1,order_count,成交订单数,0.14430545714271312,0.1481888693572589,1.0,0.95,28.675,True
log_gmv_next_month,copula,lasso,0.2,0.1,category_count,活跃品类数,0.02316636724987183,0.024648953607595104,1.0,0.95,28.675,True
log_gmv_next_month,copula,lasso,0.2,0.1,unique_customer_count,独立顾客数,0.14012807887828446,0.14241288629739543,1.0,0.95,28.675,True
log_gmv_next_month,copula,lasso,0.2,0.1,buyer_state_diversity,买家州数量,0.09715734261332577,0.10010824705626525,1.0,0.95,28.675,True
