method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh,median_threshold
deep_knockoff_calibrated_lasso,0.1,0.05,avg_price,平均商品价格,0.2647763788700104,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_freight,平均运费,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_weight_g,平均商品重量,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_length_cm,平均商品长度,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_height_cm,平均商品高度,0.0495690293610096,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_width_cm,平均商品宽度,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_photos_qty,平均商品图片数,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_name_length,平均商品标题长度,0.012889236211776733,0.6666666666666666,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_product_description_length,平均商品描述长度,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_payment_installments,平均支付分期期数,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_payment_sequential,平均支付序列数,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,credit_card_ratio,信用卡支付占比,-0.011456186883151531,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,boleto_ratio,Boleto支付占比,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,voucher_ratio,代金券支付占比,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,debit_card_ratio,借记卡支付占比,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_review_score,平均评价得分,0.007734373211860657,0.6666666666666666,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.0,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_approval_days,平均下单至审核天数,-0.007811057846993208,0.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_ship_days,平均审核至承运天数,0.09122874587774277,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.026639318093657494,0.6666666666666666,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,item_count,成交件数,0.03765815868973732,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,order_count,成交订单数,0.7128982543945312,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,category_count,活跃品类数,0.0914120301604271,1.0,0.0,0.0,False,inf
deep_knockoff_calibrated_lasso,0.1,0.05,unique_customer_count,独立顾客数,0.6303427219390869,1.0,0.0,0.0,False,inf
