method,scene,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n
copula_mvr,linear_dense,0.0,0.0,0.0,0.0,0.0,100,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,100,1.098380731216432,0.0478588072340994,0.004785880723409941,1.0888845055571434,1.1078769568757205,100
copula_mvr,linear_medium,0.1666666666666667,5.579080615598709e-17,5.579080615598709e-18,0.1666666666666667,0.1666666666666667,100,1.0,0.0,0.0,1.0,1.0,100,1.0726835276520863,0.0406761766316204,0.00406761766316204,1.064612491732584,1.0807545635715885,100
copula_mvr,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6370894628984808,0.032721599678105805,0.0032721599678105806,0.630596787622303,0.6435821381746586,100
copula_mvr,linear_weak,0.1866666666666667,0.04123513914535394,0.004123513914535394,0.17848472045766364,0.19484861287566976,100,0.9760000000000001,0.0494821669744247,0.00494821669744247,0.9661816645491964,0.9858183354508038,100,1.8831333566258452,0.06951051560243024,0.006951051560243024,1.8693409622892,1.8969257509624904,100
copula_mvr,nonlinear,0.5125,0.10618829494952499,0.010618829494952499,0.4914299385109348,0.533570061489065,100,0.5849999999999999,0.12742595393943001,0.012742595393943002,0.5597159262131217,0.610284073786878,100,1.2440415834818008,0.10802813570852152,0.010802813570852152,1.222606457670528,1.2654767092930737,100
copula_mvr,nonlinear_panel,0.4816666666666667,0.1043256362733455,0.01043256362733455,0.46096619706961656,0.5023671362637168,100,0.622,0.12519076352801461,0.012519076352801462,0.5971594364835399,0.6468405635164601,100,1.2159759492467588,0.10396054375628722,0.010396054375628721,1.1953479219258303,1.2366039765676873,100
deep_lasso,linear_dense,0.008333333333333333,0.0251259453814803,0.00251259453814803,0.0033478006584718827,0.013318866008194784,100,0.7933333333333331,0.02010075630518427,0.002010075630518427,0.789344907193444,0.7973217594732223,100,1.0942230685529653,0.045104248667262425,0.004510424866726243,1.0852734070739007,1.1031727300320298,100
deep_lasso,linear_medium,0.17000000000000007,0.016412198797244364,0.0016412198797244363,0.1667434636934978,0.17325653630650234,100,0.996,0.019694638556693234,0.0019694638556693234,0.9920921564321973,0.9999078435678027,100,1.0723280862565165,0.04026895800774503,0.004026895800774503,1.0643378513466606,1.0803183211663725,100
deep_lasso,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6381338921262677,0.03301109572388048,0.003301109572388048,0.6315837745539478,0.6446840096985876,100
deep_lasso,linear_weak,0.24833333333333335,0.06802076001847128,0.006802076001847128,0.23483653882501787,0.26183012784164883,100,0.9020000000000005,0.08162491202216553,0.008162491202216553,0.8858038465900219,0.9181961534099791,100,1.8882416709425258,0.06786634365956286,0.006786634365956286,1.874775515989904,1.9017078258951476,100
deep_lasso,nonlinear,0.30750000000000005,0.07918549306539031,0.00791854930653903,0.291787880234608,0.3232121197653921,100,0.8310000000000002,0.0950225916784684,0.00950225916784684,0.8121454562815297,0.8498545437184707,100,1.1751141499476043,0.10525299077697331,0.010525299077697331,1.1542296730979387,1.19599862679727,100
deep_lasso,nonlinear_panel,0.295,0.07530335209843916,0.0075303352098439165,0.280058181226085,0.30994181877391497,100,0.8460000000000001,0.09036402251812703,0.009036402251812703,0.828069817471302,0.8639301825286981,100,1.1452754292482554,0.09973667193231324,0.009973667193231324,1.1254855097347398,1.165065348761771,100
dl_jacobian,linear_dense,0.0,0.0,0.0,0.0,0.0,100,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,100,1.0981348531109463,0.04844094854332585,0.004844094854332585,1.0885231179862636,1.107746588235629,100
dl_jacobian,linear_medium,0.1666666666666667,5.579080615598709e-17,5.579080615598709e-18,0.1666666666666667,0.1666666666666667,100,1.0,0.0,0.0,1.0,1.0,100,1.0724403532539464,0.03979741942182265,0.003979741942182265,1.0645436818296383,1.0803370246782544,100
