candidate,comparator,xgboost_rmse_diff,xgboost_ratio_ci_high,xgboost_pointwise_within_1pct,tabm_rmse_diff,tabm_ratio_ci_high,tabm_pointwise_within_1pct,reference_J_diff,reference_J_ci_low,reference_J_bonf_low,complementary_J_diff,complementary_J_ci_low,complementary_J_bonf_low,mean_scene_FDP_diff,mean_scene_FDP_ci_low,mean_scene_FDP_ci_high,mean_scene_power_diff,mean_scene_power_ci_low,mean_scene_power_ci_high
dl_jacobian,deep_lasso,0.0010321862274069,0.0016264937322257,True,0.0006103966598711,0.0019234795239891,True,0.0388095238095238,0.011423709565347,-0.0064564492192832,0.0154945054945055,-0.0318048922958185,-0.0626866011750138,-0.0030555555555555505,-0.007312552832239227,0.0012014417211281257,0.003111111111111083,-0.0019442595148772188,0.008166481737099385
dl_jacobian_lossrank,deep_lasso,0.0,0.0,True,0.0,0.0,True,-0.0508424908424908,-0.0822177892486711,-0.1027026765124102,-0.0232600732600732,-0.0719462093796702,-0.1037333177222173,-0.00013888888888888228,-0.004573722598417994,0.00429594482064023,-0.0003888888888889334,-0.005659810538779137,0.00488203276100127
dl_score_only,deep_lasso,0.0,0.0,True,0.0,0.0,True,-0.0082967032967033,-0.0283342239017389,-0.0414166923240361,0.0103663003663003,-0.0263387343180889,-0.0503033987425471,-0.0031944444444444164,-0.005145034619922678,-0.001243854268966155,0.003833333333333317,0.0014926251227594,0.006174041543907234
tabm_budget_gate,tabm,-0.0007956294442217,0.0022994125883218,True,0.0007707289859637,0.0024667958882716,True,0.0566171083818142,0.0277693218334369,0.0089346434312861,-0.0447633412339294,-0.0924214026341518,-0.1235372824690861,0.013749999999999984,0.008460012204016373,0.019039987795983596,-0.015499999999999984,-0.021758875070392106,-0.009241124929607863
ep_refresh,ep_regression,0.1606324649059127,0.1033355039969666,False,0.160623642088056,0.102430395762225,False,-0.1675190994076443,-0.2066587619947227,-0.2322129914798885,-0.1132684652808491,-0.1745554979774533,-0.2145697135959327,0.23333333333333328,0.22440101466053464,0.24226565200613193,-0.2621666666666666,-0.272828902032685,-0.2515044313006482
ep_dispersion,ep_regression,-0.0106496025662841,0.0011882289340638,True,0.0152493337625625,0.0173653984370874,False,-0.177374620563475,-0.2112891942997797,-0.2334319707792894,-0.1103179517421003,-0.1583839487220727,-0.1897661691110908,0.22041666666666668,0.2114389178328022,0.22939441550053116,-0.24661111111111103,-0.25725679912087096,-0.2359654231013511
vtfs_cardinality,vtfs,0.0053929931935006,0.0104030161356923,False,0.0138819732115442,0.017665050213748,False,0.0472480220158238,-0.0376915463159946,-0.0931484684775772,-0.0338514839134034,-0.1664807688193278,-0.2530742384334057,-0.07124999999999995,-0.08135975655694051,-0.061140243443059385,0.09388888888888884,0.08099399891244176,0.10678377886533592
vtfs_pairrank,vtfs_cardinality,-0.0022564266960551,0.0034023510977398,True,0.0027217070409251,0.004687719070632,True,-0.0207571152617592,-0.0733742919515155,-0.1077279710360015,0.0085357435821832,-0.0587556643787834,-0.1026901279830291,-0.00624999999999995,-0.012697586626088024,0.00019758662608812365,0.008555555555555533,0.0008298140713042627,0.016281297039806804
random_k_search,vtfs,0.0039280784699964,0.0095238482543226,True,0.0143751289455846,0.0174256658112996,False,0.0300751879699248,-0.0641484270631313,-0.1256668899808865,-0.0640847216079414,-0.2107753134832925,-0.3065493902208645,-0.0394444444444444,-0.04952673155628866,-0.02936215733260014,0.053555555555555495,0.04042060844240371,0.06669050266870728
dl_jacobian,xgboost_shap,-0.000483125910057,0.003532899908833,True,0.0028249984172346,0.0044319501352366,True,0.0936813186813187,0.0644272730520308,0.0453273486794804,0.0978496013790131,0.0470158091979029,0.0138264992975621,0.03416666666666667,0.029575507989681508,0.03875782534365184,-0.04250000000000002,-0.04786784840353673,-0.037132151596463304
