candidate,comparator,scene,metric,mean,sd,se,ci_low,ci_high,n
vtfs_pairrank,random_k_search,linear_sparse,power,0.07599999999999998,0.11644567814906638,0.011644567814906638,0.05289465114866981,0.09910534885133016,100
vtfs_cardinality,random_k_search,linear_sparse,power,0.064,0.1096551066947747,0.01096551066947747,0.04224204784767348,0.08575795215232652,100
dl_jacobian,dl_score_only,linear_sparse,power,0.0,0.0,0.0,0.0,0.0,100
dl_jacobian,dl_jacobian_lossrank,linear_sparse,power,0.0,0.0,0.0,0.0,0.0,100
dl_jacobian,deep_lasso,linear_sparse,rmse,-0.0013962633152251236,0.004844821295241845,0.0004844821295241845,-0.0023575809693300357,-0.0004349456611202115,100
dl_jacobian_lossrank,deep_lasso,linear_sparse,rmse,-0.0009624350075084953,0.004689154980632133,0.00046891549806321326,-0.00189286508759066,-3.200492742633069e-05,100
dl_score_only,deep_lasso,linear_sparse,rmse,-0.0002527056127006055,0.0035717171597472674,0.00035717171597472676,-0.0009614117861371029,0.0004560005607358919,100
tabm_budget_gate,tabm,linear_sparse,rmse,0.001575645363730349,0.005636462138157093,0.0005636462138157093,0.0004572489916235313,0.0026940417358371667,100
ep_refresh,ep_regression,linear_sparse,rmse,0.021386066348797965,0.0317881382632922,0.0031788138263292203,0.01507861006890535,0.02769352262869058,100
ep_dispersion,ep_regression,linear_sparse,rmse,0.01800958377414302,0.033081726364657386,0.0033081726364657385,0.011445451550350531,0.024573715997935508,100
vtfs_cardinality,vtfs,linear_sparse,rmse,-0.06054928703969622,0.07182096237164619,0.0071820962371646185,-0.07480012414084498,-0.04629844993854746,100
vtfs_pairrank,vtfs_cardinality,linear_sparse,rmse,-0.0031548153218311646,0.028199809005380858,0.0028199809005380857,-0.008750269227609554,0.0024406385839472254,100
random_k_search,vtfs,linear_sparse,rmse,-0.04108049232509892,0.0752485087507407,0.00752485087507407,-0.05601142898899584,-0.026149555661202008,100
dl_jacobian,xgboost_shap,linear_sparse,rmse,-0.0018613811199861307,0.005050843211697465,0.0005050843211697466,-0.002863577991992398,-0.0008591842479798637,100
dl_jacobian_lossrank,xgboost_shap,linear_sparse,rmse,-0.0014275528122695024,0.004952041337443909,0.0004952041337443908,-0.0024101452489022957,-0.0004449603756367091,100
dl_score_only,xgboost_shap,linear_sparse,rmse,-0.0007178234174616127,0.005107398058545352,0.0005107398058545352,-0.0017312419980484348,0.00029559516312520947,100
tabm_budget_gate,xgboost_shap,linear_sparse,rmse,-0.0006186197163260954,0.005066347836905472,0.0005066347836905472,-0.0016238930423488139,0.0003866536096966231,100
ep_regression,xgboost_shap,linear_sparse,rmse,-0.0023082205837955273,0.005153871819281663,0.0005153871819281663,-0.003330860566767684,-0.0012855806008233704,100
ep_refresh,xgboost_shap,linear_sparse,rmse,0.01907784576500244,0.031730493699030804,0.0031730493699030802,0.012781827417266804,0.025373864112738075,100
