candidate,comparator,metric,mean,sd,se,ci_low,ci_high,n,bonf_low,bonf_high
dl_jacobian,deep_lasso,complementary_J,0.0154945054945055,0.12667011367562378,0.023126692873960925,-0.031804892295818545,0.06279390328482955,30,-0.0626866011750138,0.0936756121640248
dl_jacobian,deep_lasso,reference_J,0.03880952380952382,0.07334055750111529,0.013390092574455188,0.011423709565347068,0.06619533805370058,30,-0.0064564492192832265,0.08407549683833088
dl_jacobian_lossrank,deep_lasso,complementary_J,-0.023260073260073254,0.13038386712732797,0.023804728386797945,-0.07194620937967022,0.025426062859523715,30,-0.10373331772221739,0.05721317120207089
dl_jacobian_lossrank,deep_lasso,reference_J,-0.05084249084249085,0.0840245923073992,0.015340721530645866,-0.08221778924867115,-0.01946719243631055,30,-0.10270267651241027,0.0010176948274285696
dl_score_only,deep_lasso,complementary_J,0.01036630036630037,0.09829788820039559,0.01794665690749252,-0.026338734318088964,0.04707133505068971,30,-0.05030339874254719,0.07103599947514792
dl_score_only,deep_lasso,reference_J,-0.008296703296703305,0.053661465713983135,0.00979719841344621,-0.028334223901738988,0.011740817308332376,30,-0.041416692324036185,0.024823285730629578
tabm_budget_gate,tabm,complementary_J,-0.044763341233929464,0.12763063246359077,0.023302058809653272,-0.09242140263415183,0.0028947201662929065,30,-0.12353728246908613,0.03401060000122721
tabm_budget_gate,tabm,reference_J,0.05661710838181427,0.07725579123801475,0.014104913186323547,0.02776932183343691,0.08546489493019163,30,0.00893464343128613,0.10429957333234241
ep_refresh,ep_regression,complementary_J,-0.11326846528084919,0.16412968792826013,0.02996584414486381,-0.17455549797745337,-0.051981432584245015,30,-0.2145697135959327,-0.011967216965765679
ep_refresh,ep_regression,reference_J,-0.16751909940764434,0.10481794146954208,0.019137050324708135,-0.2066587619947227,-0.128379436820566,30,-0.2322129914798885,-0.1028252073354002
ep_dispersion,ep_regression,complementary_J,-0.11031795174210036,0.12872310401023346,0.023501515912829524,-0.15838394872207273,-0.062251954762128005,30,-0.18976616911109084,-0.0308697343731099
ep_dispersion,ep_regression,reference_J,-0.17737462056347508,0.09082489653423974,0.016582281538291964,-0.2112891942997797,-0.14346004682717048,30,-0.2334319707792894,-0.12131727034766077
vtfs_cardinality,vtfs,complementary_J,-0.03385148391340343,0.3551877482716477,0.06484811395928267,-0.16648076881932788,0.09877780099252104,30,-0.2530742384334057,0.18537127060659886
vtfs_cardinality,vtfs,reference_J,0.047248022015823885,0.22747234169545555,0.04153057758504131,-0.03769154631599464,0.1321875903476424,30,-0.09314846847757723,0.18764451250922498
vtfs_pairrank,vtfs_cardinality,complementary_J,0.008535743582183213,0.18020970020789823,0.03290163929503643,-0.058755664378783434,0.07582715154314987,30,-0.10269012798302919,0.11976161514739563
vtfs_pairrank,vtfs_cardinality,reference_J,-0.02075711526175922,0.14091138712013945,0.02572678177834777,-0.07337429195151558,0.03186006142799715,30,-0.10772797103600151,0.06621374051248308
random_k_search,vtfs,complementary_J,-0.06408472160794142,0.39284461993290754,0.07172328664393236,-0.21077531348329254,0.08260587026740969,30,-0.3065493902208645,0.17837994700498166
random_k_search,vtfs,reference_J,0.03007518796992481,0.2523354753917611,0.04606994397695243,-0.0641484270631313,0.12429880300298092,30,-0.12566688998088657,0.1858172659207362
dl_jacobian,xgboost_shap,complementary_J,0.09784960137901313,0.13613539569126412,0.02485480903166565,0.04701580919790291,0.14868339356012336,30,0.013826499297562134,0.18187270346046414
dl_jacobian,xgboost_shap,reference_J,0.09368131868131874,0.07834377303830782,0.014303550577715412,0.06442727305203082,0.12293536431060666,30,0.04532734867948048,0.14203528868315698
dl_jacobian_lossrank,xgboost_shap,complementary_J,0.05909502262443438,0.1426642805094865,0.026046814861763457,0.005823304786013124,0.11236674046285564,30,-0.028957723274291226,0.14714776852316
dl_jacobian_lossrank,xgboost_shap,reference_J,0.004029304029304026,0.08157767474497245,0.014893977548880303,-0.026432300342924958,0.03449090840153301,30,-0.046320638084274286,0.054379246142882344
dl_score_only,xgboost_shap,complementary_J,0.09272139625080802,0.10730930836347642,0.019591909606984606,0.052651441976618626,0.1327913505249974,30,0.02648982638515497,0.1589529661164611
dl_score_only,xgboost_shap,reference_J,0.04657509157509158,0.08057375217167376,0.014710687202418861,0.01648835805256231,0.07666182509762084,30,-0.003155227049460793,0.09630541019964395
tabm_budget_gate,xgboost_shap,complementary_J,-0.008011204481792718,0.12706538611259705,0.023198859417324358,-0.05545819942577391,0.03943579046218847,30,-0.08643627427459194,0.07041386531100652
tabm_budget_gate,xgboost_shap,reference_J,0.038956043956043955,0.06294909730161571,0.01149288018889417,0.015450464720237894,0.062461623191850016,30,0.00010370579922866496,0.07780838211285925
ep_regression,xgboost_shap,complementary_J,-0.15557698923024002,0.11913337842578897,0.02175067957186797,-0.20006212382715466,-0.11109185463332538,30,-0.2291064043096171,-0.08204757415086296
ep_regression,xgboost_shap,reference_J,-0.14102348631760397,0.07157080944450059,0.013066982263885587,-0.16774846577692507,-0.11429850685828287,30,-0.1851971664797078,-0.09684980615550014
ep_refresh,xgboost_shap,complementary_J,-0.26884545451108915,0.14424700082916392,0.02633577873553316,-0.32270816982964967,-0.2149827391925286,30,-0.35787505929586255,-0.17981584972631576
ep_refresh,xgboost_shap,reference_J,-0.30854258572524823,0.09376681871160385,0.017119400584614308,-0.34355569125644536,-0.2735294801940511,30,-0.3664156975669731,-0.25066947388352334
ep_dispersion,xgboost_shap,complementary_J,-0.26589494097234034,0.14451202105853975,0.02638416458814127,-0.31985661647091485,-0.21193326547376584,30,-0.3550881168965182,-0.1767017650481625
ep_dispersion,xgboost_shap,reference_J,-0.318398106881079,0.09360846483265427,0.017090489254091266,-0.3533520821020969,-0.2834441316600611,30,-0.37617348231804,-0.260622731444118
vtfs_cardinality,xgboost_shap,complementary_J,-0.2556823431126837,0.21740134840343586,0.03969187418420052,-0.33686134074601237,-0.17450334547935498,30,-0.38986299170001626,-0.12150169452535106
vtfs_cardinality,xgboost_shap,reference_J,-0.3141352438411261,0.09165932217878577,0.016734626120984846,-0.3483613972337726,-0.27990909044847967,30,-0.3707076036233729,-0.25756288405887934
vtfs_pairrank,xgboost_shap,complementary_J,-0.24714659953050047,0.18033266276498422,0.0329240890837846,-0.3144839224648745,-0.17980927659612644,30,-0.35844836388930834,-0.1358448351716926
vtfs_pairrank,xgboost_shap,reference_J,-0.3348923591028854,0.11804489257791562,0.021551950154399514,-0.3789710464044298,-0.290813671801341,30,-0.40774995803154224,-0.26203476017422855
random_k_search,xgboost_shap,complementary_J,-0.2859155808072218,0.25651260174165874,0.04683257941941515,-0.3816989604533436,-0.19013220116109994,30,-0.44423579144661424,-0.12759537016782935
random_k_search,xgboost_shap,reference_J,-0.33130807788702527,0.21306070743105296,0.03889938519266543,-0.4108662535438026,-0.25174990223024796,30,-0.46280967215737057,-0.19980648361667996
ep_dispersion,ep_refresh,complementary_J,0.00295051353874883,0.14298406912568254,0.026105200008004766,-0.0504406153314254,0.056341642408923066,30,-0.08529960668284621,0.09120063376034386
ep_dispersion,ep_refresh,reference_J,-0.009855521155830759,0.09561528978924283,0.017456883686653893,-0.045558857131038126,0.025847814819376612,30,-0.06886951390705327,0.04915847159539176
vtfs_pairrank,random_k_search,complementary_J,0.03876898127672121,0.2780065773237849,0.0507568245116804,-0.06504038075509531,0.14257834330853775,30,-0.13281736411993111,0.21035532667337353
vtfs_pairrank,random_k_search,reference_J,-0.0035842812158601504,0.19133508140050454,0.03493284670838116,-0.07502997478791913,0.06786141235619884,30,-0.12167676550067257,0.11450820306895228
vtfs_cardinality,random_k_search,complementary_J,0.030233237694538,0.31394700361296174,0.057318618579991674,-0.08699650007135928,0.1474629754604353,30,-0.1635356274767283,0.22400210286580433
vtfs_cardinality,random_k_search,reference_J,0.017172834045899074,0.23197855195074887,0.04235329525360307,-0.06944938084876826,0.1037950489405664,30,-0.12600490053437907,0.1603505686261772
dl_jacobian,dl_score_only,complementary_J,0.005128205128205128,0.127640431596923,0.023303847878443296,-0.04253351532853841,0.052789925584948674,30,-0.07365178415621974,0.08390819441262999
dl_jacobian,dl_score_only,reference_J,0.04710622710622713,0.08312403221395706,0.015176302504790126,0.016067203365457573,0.0781452508469967,30,-0.004198130652240263,0.09841058486469453
dl_jacobian,dl_jacobian_lossrank,complementary_J,0.03875457875457875,0.0744309862356168,0.013589176712867948,0.01096159172924177,0.06654756577991573,30,-0.0071844095793687085,0.08469356708852621
dl_jacobian,dl_jacobian_lossrank,reference_J,0.08965201465201465,0.0679590033026442,0.012407559698142105,0.06427570577084332,0.11502832353318598,30,0.0477075501513825,0.1315964791526468
