model,n_test,rmse_log,mae_log,r2_log,wape_raw
XGBoost-K=4,3508,2.3883330393165885,1.9179954566847703,0.29095839393513334,0.6667506393137411
XGBoost-K=8,3508,2.389335968840082,1.921115538891904,0.29036277510143005,0.6652772505565429
XGBoost-K=10,3508,2.385337534516986,1.9223938809228756,0.2927358726638929,0.6686329849486207
XGBoost-K=14,3508,2.383787559745296,1.9150918186978878,0.29365472408310533,0.6720312613546673
XGBoost,3508,2.3876636934103077,1.9140285741080416,0.2913557653105201,0.6723624359979888
Naive-current-GMV,3508,2.8953836758115243,1.981393653300068,-0.042063513631773,0.7922690837650077
