scene,method,rule,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,size_mean,size_sd,size_se,size_ci_low,size_ci_high,size_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n
global_null,deep_lasso,top12,1.0,0.0,0.0,1.0,1.0,100,12.0,0.0,0.0,12.0,12.0,100,1.0185455913828099,0.030957731887572205,0.0030957731887572204,1.0124029057436517,1.024688277021968,100.0,,,,,,
global_null,deep_lasso,top8,1.0,0.0,0.0,1.0,1.0,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,,,,,,
global_null,lasso_pair_q20,native,0.03,0.1714466079977653,0.01714466079977653,-0.0040187265867829974,0.064018726586783,100,0.18,1.0577276959538684,0.10577276959538684,-0.029876122439188774,0.3898761224391888,100,0.9991969386012893,0.030155044201802147,0.003015504420180215,0.9932135236134184,1.0051803535891604,100.0,,,,,,
global_null,lasso_pair_q20,native10,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,,,,,,,,,,,,
global_null,lasso_pair_q20,top12,1.0,0.0,0.0,1.0,1.0,100,12.0,0.0,0.0,12.0,12.0,100,1.0159066137229538,0.031593315074892284,0.003159331507489228,1.0096378145903582,1.0221754128555494,100.0,,,,,,
global_null,lasso_pair_q20,top8,1.0,0.0,0.0,1.0,1.0,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,,,,,,
global_null,linear_orbit_student,native,0.01,0.09999999999999999,0.009999999999999998,-0.009842169515086823,0.029842169515086822,100,0.05,0.5000000000000001,0.05000000000000001,-0.04921084757543415,0.14921084757543415,100,0.9989197319147464,0.030067429074362287,0.0030067429074362288,0.9929537016689829,1.0048857621605098,100.0,,,,,,
global_null,linear_orbit_student,native10,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,,,,,,,,,,,,
global_null,linear_orbit_student,top12,1.0,0.0,0.0,1.0,1.0,100,12.0,0.0,0.0,12.0,12.0,100,1.0152582615554682,0.030253059577991584,0.0030253059577991584,1.0092553981905028,1.0212611249204335,100.0,,,,,,
global_null,linear_orbit_student,top8,1.0,0.0,0.0,1.0,1.0,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,,,,,,
