method,fraction,group,run,half,J,set,native_size
xgb_sko_scale,0.5,2,half_02_B,B,0.4117647058823529,"[0, 25, 22, 16, 20, 1, 27, 7, 8, 15, 5, 26]",0.0
xgb_sko_quad_scale,0.5,2,half_02_B,B,0.4117647058823529,"[0, 22, 23, 16, 19, 7, 21, 2, 20, 5, 24, 27]",6.0
tabm_sko_ridge,0.5,2,half_02_B,B,0.3333333333333333,"[0, 16, 20, 22, 25, 15, 26, 18, 2, 5, 7, 23]",0.0
tabm_sko_quad,0.5,2,half_02_B,B,0.5,"[0, 16, 18, 22, 15, 20, 25, 26, 2, 5, 23, 10]",0.0
tabm_sko_scale,0.5,2,half_02_B,B,0.5,"[0, 16, 15, 25, 20, 7, 22, 2, 5, 26, 18, 23]",6.0
tabm_sko_quad_scale,0.5,2,half_02_B,B,0.3333333333333333,"[0, 16, 15, 18, 25, 5, 2, 22, 7, 27, 19, 26]",0.0
xgb_sko_ridge,0.5,3,half_03_A,A,0.5,"[0, 17, 25, 16, 23, 22, 20, 27, 9, 24, 28, 26]",0.0
xgb_sko_quad,0.5,3,half_03_A,A,0.7142857142857143,"[0, 17, 24, 23, 16, 9, 26, 1, 25, 20, 15, 27]",0.0
xgb_sko_scale,0.5,3,half_03_A,A,0.5,"[0, 16, 17, 22, 25, 20, 28, 27, 9, 26, 24, 1]",0.0
xgb_sko_quad_scale,0.5,3,half_03_A,A,0.6,"[0, 16, 15, 24, 9, 23, 2, 1, 26, 20, 25, 27]",0.0
tabm_sko_ridge,0.5,3,half_03_A,A,0.4117647058823529,"[0, 16, 20, 27, 26, 25, 7, 15, 14, 1, 6, 13]",0.0
tabm_sko_quad,0.5,3,half_03_A,A,0.3333333333333333,"[0, 16, 15, 20, 27, 26, 7, 1, 14, 25, 24, 13]",0.0
tabm_sko_scale,0.5,3,half_03_A,A,0.4117647058823529,"[16, 0, 15, 20, 27, 26, 1, 7, 28, 25, 14, 8]",0.0
tabm_sko_quad_scale,0.5,3,half_03_A,A,0.2631578947368421,"[0, 16, 15, 20, 27, 26, 1, 7, 25, 17, 10, 24]",5.0
xgb_sko_ridge,0.5,3,half_03_B,B,0.4117647058823529,"[0, 16, 21, 22, 27, 2, 23, 8, 28, 26, 11, 1]",0.0
xgb_sko_quad,0.5,3,half_03_B,B,0.4117647058823529,"[0, 21, 16, 2, 8, 22, 28, 26, 27, 9, 19, 20]",0.0
