method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
clustered_between_seller,0.1,0.05,avg_price,平均商品价格,0.1130215847995506,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_freight,平均运费,0.03702680394197646,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_product_weight_g,平均商品重量,-0.00224128546115875,0.125,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_length_cm,平均商品长度,-0.0032896758377816597,0.0,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_height_cm,平均商品高度,-0.0049600193137043416,0.0,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_width_cm,平均商品宽度,0.005234933019468329,0.8,0.125,3.875,False
clustered_between_seller,0.1,0.05,avg_product_photos_qty,平均商品图片数,-0.002188835270282561,0.525,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_name_length,平均商品标题长度,0.016663207879152847,1.0,0.125,3.875,False
clustered_between_seller,0.1,0.05,avg_product_description_length,平均商品描述长度,0.007326918681731062,0.825,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_payment_installments,平均支付分期期数,0.004552219363263716,0.775,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_payment_sequential,平均支付序列数,0.04332764761619322,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,credit_card_ratio,信用卡支付占比,0.004637824608109712,0.75,0.075,2.325,False
clustered_between_seller,0.1,0.05,boleto_ratio,Boleto支付占比,-0.0038099520326580266,0.0,0.0,0.0,False
clustered_between_seller,0.1,0.05,voucher_ratio,代金券支付占比,0.025668447549685836,0.95,0.15,4.65,False
clustered_between_seller,0.1,0.05,debit_card_ratio,借记卡支付占比,0.034338989819432376,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_review_score,平均评价得分,-0.0054729883783350645,0.0,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.11166511539322044,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_approval_days,平均下单至审核天数,0.05097070392096794,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_ship_days,平均审核至承运天数,0.0026182104574740067,0.6,0.1,3.1,False
clustered_between_seller,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.03612410948856317,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,item_count,成交件数,0.17507153626229693,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,order_count,成交订单数,0.19065711112114556,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,category_count,活跃品类数,0.04565431632309902,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,unique_customer_count,独立顾客数,0.13936105194244924,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,buyer_state_diversity,买家州数量,0.1289068336150019,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,dominant_customer_state_share,第一大买家州占比,-0.006223034778369827,0.0,0.0,0.0,False
clustered_between_seller,0.1,0.05,interstate_ratio,跨州交易占比,0.03655591637305114,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,avg_distance_km,平均卖家-买家距离,0.05718326749724946,1.0,0.15,4.65,False
clustered_between_seller,0.1,0.05,seller_state_frequency,卖家所在州频率,0.0035765311628661372,0.825,0.075,2.325,False
