repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km
0,0.0,0.048699797960094535,0.005347395862908681,0.002506501053194598,0.0,-0.002270762253532202,0.012350383170338161,0.004753629740784298,0.011624496528741549,0.0,-0.009147879913357054,0.0,-0.010529117338353565,0.0,-0.003944621164452022,0.0,0.02457622268459634,-0.008140882602597512,0.05171180812832135,0.016439384174247777,-0.010016156812134382,0.06529615720059764,0.012249320570831737,0.0,0.03871658396304051,0.012715935371416546,0.0,0.0
1,0.0,0.05765173781882827,0.0016808176931297795,-0.006428299367310799,0.0,-0.01608045741289855,0.009980172504908586,0.004617713251106624,0.010709391546005429,0.0,0.005423302122245466,0.0,-0.009815575353564674,0.0,0.0,-0.006333716477787293,0.03179730833467903,-0.0038464694216803347,0.046985597735481804,0.027507953658477854,-0.05480542121621643,0.0410473970358042,0.013096338349171953,0.0,0.05074089093575215,-0.014933555680394561,-0.0011364522318522633,0.0
2,0.0,0.0566277983156401,0.005600672308925923,-0.006213565737527363,0.0,0.0,-0.011907557057300141,-0.011719046968795482,0.010456430156300232,-0.0023993479010778872,0.006065390783539597,0.0,-0.012288275903407952,0.0,0.0,-0.00014728738913013094,0.03336046723100537,0.0,0.050804870975367185,0.027496802273807446,0.0,0.08845607067311564,0.008617358727917569,0.0,0.06631051974412983,0.02010172126067517,0.0,0.0
3,0.0,0.05767633129483916,0.008422226487099675,0.003325123651755837,0.0,0.00027456247347177975,0.012160128593844454,0.005224966743812815,0.0021274677417613495,0.0,-0.0034316981496399774,0.0,0.010285973475269248,0.0,0.0,0.0,0.03313124827933928,0.0,0.0514987763930025,0.02732827362097814,0.0,0.0,-0.0026753558853044295,-0.08255525756661375,0.052258366166137236,0.013415139243097491,0.0,-0.003304194294721906
4,0.0,0.056016518175600646,0.007075947454195747,0.004439292790790671,-0.004549716709729981,0.0,0.013171237940398142,0.0048391619150413906,0.011513138490210462,0.0,0.0010999761579200203,-0.009448850491331384,0.0,-0.002384675976719946,0.0,-0.006933458966504731,0.031887162941440755,-0.0053786990656475775,0.05181062364703789,0.028481775292504976,0.0,0.08660561261483089,0.013036728694728513,0.0,0.06815503907907254,0.01901645728589556,0.0,0.0
5,0.0,0.055735494518682566,0.0089090884560134,0.004257802137566254,0.0,1.238778597259481e-05,0.009621605541705493,0.004231865410581406,0.012198160363499747,0.0,0.005548665297190064,0.0,-0.011686325718347608,0.0,-0.00027567196244605895,0.0,0.034218238439114236,0.0,0.05180229173498846,0.027950591118648224,-0.0002544185653530306,0.08366852693533453,0.004080142580259148,0.0,0.06723978558289335,0.016709026420741027,0.0,0.0
6,-0.0023779243496040215,0.05720741782061573,0.006678233465701498,0.000730291899948905,0.0,-0.004916538465541773,0.011894788340910307,0.005461772855767272,0.001697084179110766,0.0,0.0048058532548529865,-0.003551259820883722,-0.0007918017921211828,0.0,0.0,0.0,0.03388281995825698,0.0,0.052130930902558034,0.027652853405119044,0.0,0.08096336107622064,0.007909711365840531,0.0,0.04678564932669616,0.0015232718521240862,0.0,0.0
7,0.0,0.05413145391553398,0.007941895286663022,0.0032170114333786646,0.0,0.0,0.01170230971645624,0.0048246387707258495,0.011311802971858412,0.0,0.00552390781668237,0.0,-0.007194755131250904,0.0,-0.000900882149989752,0.0,0.0328339230611622,-0.00773577787942958,0.05148270631226733,0.027371329460393296,0.0,0.06814162753783762,0.012426797754786624,0.0,0.06789493241710269,0.018771212400218514,0.0,0.0
8,0.0,0.05547336561311005,0.003415246594884785,0.0017181256828686067,-0.004361584205363993,-0.010490407092609223,0.012291535942572622,0.00465423772758942,0.011925081732807949,-0.000603302613898267,-0.009290755096932429,-0.0037907963623705666,-0.014779339906484081,0.0,0.0,0.0,0.03333088809745238,-0.010969654838668248,0.047727247572683144,0.028355410564954827,0.0,-0.07228757999596097,0.01275584631286194,0.0,0.03263964464263554,0.011241271516329808,0.0,-0.0033313762553098965
9,0.0,0.05553144786048503,0.006688360421794268,0.00446022974742024,-0.003718403458472931,0.0,0.0013709855646863688,0.002426475403814957,0.001568371785616314,-0.007504374888074731,0.0033380393143857445,0.0,0.007409286300596729,-0.0018561173969390441,0.0,0.0,0.034890412388472763,0.0,0.05176378959607351,0.028440618776268897,-0.002758621851071168,0.0,0.012818763089904067,-0.09046474218331911,0.057290454900220944,0.0006345892008610896,0.0,-0.0009574310738127965
10,0.0,0.05553763367607008,-0.0018620287027861294,-0.011308450009699142,-0.008641530132651488,0.0,0.013825563080284741,0.004536392404345901,0.00850345218088389,-0.0029525796748920896,0.004956954246899052,0.0,0.009415995679867596,0.0,0.0,0.0,0.028971378091691403,0.0,0.03825803686783528,0.029030526698507107,0.0,0.08831567363397307,0.013303266349181601,0.0,0.06318076264550516,0.0036328993330927185,0.0,-0.0017420620997270688
11,0.0,0.05621188123892932,0.0058005612136436836,0.0014931042240378756,0.0,-0.008344582728384922,0.012337746796187916,0.004939214657975275,0.0037464812370218365,0.0,-0.012463615099911679,0.0,0.010408188488803061,0.0,0.0,0.0,0.03484579353065022,0.0,0.048287453448505234,0.016902462217926392,-0.029383933377170764,-0.06319904101550533,0.0129688443646934,0.0,0.06184537557372937,0.021350344421404904,0.0,0.0
12,0.0,0.056032069005508556,0.010461151549498364,0.00450194290135502,-0.0015754685071938878,-0.0023067198256819144,0.013260808197988293,0.004663015668474729,0.011644855755784524,0.0,0.0043559881093023734,-0.0073798407185922356,0.0,0.0,-0.007000354170504756,0.0,0.03432500372245002,-0.005573309779895471,0.04670345108905624,0.027493706584708316,0.0,0.0824551651200469,0.01326480255490407,0.0,0.05518717421137648,0.015595830845428309,0.0,0.0
13,0.0,0.05599200272141461,0.010326690800746918,-0.0018669245011401518,0.0,0.001409346497385204,0.012831810540690792,0.0010618306511358607,0.009980924521995688,0.0,-0.009698853547471183,0.0,-0.004016412413407827,-0.00037284384022366883,0.0,0.0,0.03282122627539758,-0.01166375973631327,0.05126465100605913,0.027183057558921198,0.0,-0.032733460226633086,0.011224029474586793,-0.04711583868463309,0.04342092412415518,0.013828577914691444,0.0,0.0
14,0.0,0.05605036681269402,0.004630592926497653,0.003461735415106992,0.0,0.0,0.011899066747222718,0.004612143275383032,0.01161577024995739,0.0,0.005547380371759092,-0.0017066239211847914,-0.009519539908200102,0.0,-0.0002175704966925622,0.0,0.0337003881267245,0.0,0.05201482360082713,0.02735558266635059,-0.021850171627854402,-0.013247518973175863,0.008334494069990987,0.0,0.06501870379570802,0.018213730248329067,0.0,0.0
15,0.0,0.05819996818580832,0.007555970754536566,-0.007096319476222097,0.0,0.0,0.012695155675438618,-0.0039046844251496996,0.010107648325911787,-0.012000974750556793,0.003071594012486943,0.0,0.005682032067930809,0.0,0.0,-0.0039798229469427,0.03311998366886697,0.0,0.051418280312090135,0.026236125406993577,0.0,0.0,0.008725843586445924,-0.07702138670275287,0.0268535402208968,0.011368273098373016,-0.0001436304579573543,-0.0033675639484556453
16,0.0,0.05576622011977029,0.006969393058637425,0.0040001094748180095,0.0,0.0,0.000909215695610489,0.006194173222666189,-0.0009428824166577005,0.0,0.004433803559774279,0.0,0.010343161645532103,-0.0011916759978325068,0.0,0.0,0.03276844895732259,0.0,0.04835163769036107,0.0280474381799354,0.0,0.07926894895945025,0.013245373574067828,0.0,0.0484350628538317,0.01479286943523488,0.0,-0.0011688584195825213
17,0.0,0.055385814023767764,0.00865697906738848,0.004000390920149916,-0.0012041957840905227,0.0,0.013994091980417818,-0.004779315235764119,0.012286810009381043,0.0,0.003132480407669709,0.0,0.0033465273947398326,0.0,0.0,0.0,0.03142091930696175,-0.011419272357273268,0.0475812619488872,0.02794444784449356,-0.013945579302854791,0.0,0.01260022051116622,-0.0710643378695409,0.049039578771718814,0.014852512845738375,0.0,0.0
18,-0.009481094432437203,0.05511168675345082,0.011791262739471637,0.004209136511398896,0.0,0.0003837409381877499,0.013087577664361031,0.005153710358977246,0.0007963859012793343,0.0,0.003083079982863469,-0.011874075288503039,0.0,0.0,0.0,0.0,0.032433438157104685,0.0,0.05116174888597165,0.0256834647666894,0.0,0.0,0.013096689702670576,-0.09299911449756913,0.05774740785430625,0.0008445167956040809,0.0,-0.0021131653702088937
19,0.0,0.05673310842523387,0.005148827599834218,-0.010374236215803053,0.0,0.0,0.01085254102087177,0.00509224559798782,0.008103815140259662,0.0,0.0057997639536870585,0.0,-0.015987708726476674,0.0,0.0,0.0,0.03019002116116476,-0.00025877408029903806,0.050268368210455494,0.02836026396073345,0.0,0.03582379356063703,0.013359609308378125,-0.05153388587203036,0.06734107953863223,0.018708621143319917,0.0,0.0
20,0.0,0.05645219113715367,0.008348160628574557,0.004178609352877847,0.0,0.0,0.011682488436343586,0.00046719867882679886,-0.002793580506018188,0.0,0.005076472475535634,0.0,0.010570322177979364,0.0,-0.004994764565713678,0.0,0.03266376604678852,0.0,0.051758703254221876,0.026997902489233973,-0.014688481983796107,0.05620955739170242,0.012787624559020404,0.0,0.02327116215617602,0.009891915813370554,0.0,0.0
21,0.0,0.05461732706494727,0.010534094626398746,0.00428187209339643,-0.0017629330968185338,0.0,0.006655107819863261,0.004106259012046598,0.012506096689388206,-0.005115163034764285,0.003508877046078207,-0.010141489504724559,0.0,0.0,-0.005518177838338087,-0.005150850456703662,0.03258775102908056,0.0,0.052052025396996895,0.028212683230217733,-0.012698791119471392,-0.07720067945542557,0.013217433290826811,0.0,0.06591829813525352,0.0201532816891554,0.0,0.0
22,0.0,0.05804800208826819,6.243027285068146e-05,-0.006496213383700964,-0.01405896711231389,0.0,0.013037611202587746,0.0028719622881541403,0.011351085331926263,0.0,0.005427911947731265,0.0,0.010266013893592364,0.0,0.0,0.0,0.03362351513725364,0.0,0.052008908894905406,0.027859812931975397,0.0,0.0,0.012544853275716687,-0.08471459712486323,0.04327027228891433,-0.0014922840449102734,0.0,0.0
23,-0.003941733300718227,0.056238607464165966,0.007445887285717866,-0.005395900291142518,-0.008004661780860208,0.0014957720507424194,0.013116079732351469,-0.005460089179807063,0.008858246222628896,0.0,0.005746532903387908,0.0,0.009859767795492119,0.0,0.0,0.0,0.02626295470840252,-0.001741459846364387,0.05003239461364019,0.0237570817701206,0.0,0.0,0.012292120867161214,-0.09182257654501004,0.06191238357848093,0.012778956140014279,-0.0053599401590705845,0.0
24,0.0,0.055111529515138674,0.01178464253983023,-0.005097398528626722,0.0,0.0026189297341154415,0.009324499191746523,6.335250715994167e-05,0.008653535614592714,0.0,0.0039690683880513845,-0.007678479895647432,0.0033300058261931977,0.0,0.0,0.0,0.0339064595823345,0.0,0.05207902815511852,0.027346363827662288,-0.027006192636634882,0.05816095974123206,0.013146803978045818,0.0,0.05753041088228987,0.017989910293585754,0.0,0.0
25,0.0,0.057549502888164406,0.005125033358381855,0.004543694118817914,-0.00944907059294475,0.0,0.012441250796231445,-0.008710105459759603,0.005148433689736304,-0.006511846515791245,0.00396551354412591,-0.009199271073033557,0.004361553742002997,0.0,0.0,0.0,0.03292598487062605,0.0,0.0505022921580974,0.027639333241410508,-0.022814927990136413,0.0,0.011477621389986618,-0.058660604121492044,0.043436739699943216,0.01545677833242332,0.0,0.0
26,0.0,0.058721641171989636,0.010714965148964695,0.004474925501447877,0.0,4.962660703917817e-05,0.014179771888103258,-0.0003564903396548855,0.003543196068591206,-0.002281154122137051,0.003187495842730219,-0.01028073170688165,-0.0020427532887623973,0.0,0.0,0.0,0.02991811035064979,0.0,0.05084808787212545,0.025575251894855894,0.0,-0.004450011541411036,0.006450849125337855,-0.05397516482956839,0.06518236707359916,0.018425612659249743,0.0,-0.008216144611917341
27,0.0,0.05369606086253603,0.0069590454569269005,0.00509318025250018,-0.006927765857588627,0.0,0.014535938391340925,0.0006277549844263559,-0.0004074860240375136,-0.003986223212174642,0.005227526034631952,0.0,0.005132922557685596,0.0,-0.0019673316606372408,0.0,0.028661721281104433,-0.0060060352913582065,0.050184155890407464,0.024927061593140037,-0.030635482090434926,-0.0602949818623467,0.012783779961325991,0.0,0.06485490985145023,0.021755887135391193,0.0,0.0
28,0.0,0.05692195282915947,0.0035683926539476886,-0.0075211696951757575,0.0,-0.009421665825897908,0.013003107580647863,0.004596673630366307,0.011609800630825524,0.0,0.005744918464707585,0.0,-0.011090253943046639,0.0,-0.0014238380848780891,0.0,0.0340937881496888,0.0,0.05213292438719495,0.027713723857505198,0.0,0.08735540858355949,0.01133140780114309,0.0,0.06541801663803716,0.012028675181126224,0.0,0.0
29,0.0,0.0577814274212898,0.0038730029197175165,-0.00383481081753688,-0.004708286889573353,-0.003696857551270132,0.013203055216841078,0.00442703263898912,0.011460736196613933,0.0,0.005158719941096005,0.0,0.0024460207422433585,0.0,0.0,-0.009575250527857881,0.03555378346601447,-0.012714764838211389,0.051201727228807926,0.026909942985416473,0.0,0.06738401817726762,0.013197973377825639,-0.016501792505653014,0.05563593341894599,0.012011388286922742,0.0,0.0
