epoch,train_loss,train_worst_swap_mmd,train_marginal_mmd,train_covariance,train_symmetry,train_reconstructability,train_mask_fraction,validation_mean_marginal_ks,validation_max_marginal_ks,validation_covariance_relative_error,validation_cross_covariance_asymmetry,validation_mean_real_knockoff_correlation,validation_score,adversary_mean_probability
21,0.11170176513817,0.004732991427021182,0.006002919707933198,0.008237299306885056,0.00472276395632197,0.002821088841934081,0.8001402175944784,0.2061615540124813,0.5262261580381471,0.1689603334411533,0.19954856804553797,0.49025445167549514,0.4846417198009085,0.5493332147598267
23,0.1090376265347004,0.00460957560647765,0.005911682671664849,0.007907834086243225,0.004728547525187226,0.0028077741026999834,0.7875175074390743,0.2062055023292608,0.5146457765667575,0.16261682720762177,0.16038382761278283,0.5108350523717897,0.45984929571506367,0.5332187414169312
25,0.10499485954642296,0.004350768290865032,0.005863102416143469,0.007824139456953044,0.004627851263174544,0.002715358027236779,0.6732117689174154,0.21244616331194513,0.5194141689373297,0.17182881395187347,0.15377402390223494,0.5126150793108429,0.473777068525779,0.5258291363716125
27,0.10509295097511748,0.004352300554392455,0.005757420293419906,0.00755226767986365,0.004983822820181756,0.0028193353159029198,0.6998597240966299,0.20950162608772088,0.5200953678474114,0.17245132183758619,0.20692734414070812,0.5002429303094352,0.4856595503050964,0.5429766178131104
29,0.10643963629136914,0.0043700923282734075,0.005854241853660863,0.008056412056169433,0.004843069893388968,0.0027566650431886637,0.722300112247467,0.20738111980311155,0.48569482288828336,0.165251397986306,0.16930735531948013,0.5172897814309232,0.4745759768800808,0.5241495966911316
31,0.10208097699543704,0.0041739658007155294,0.005597821791129915,0.007531110187182608,0.0046662285863219395,0.00280079641379416,0.6605890432129735,0.2044475696580821,0.49795640326975477,0.1631738502462788,0.15975205671806103,0.5111957748156367,0.45869322307902816,0.5366606116294861
33,0.10165697757316672,0.004123435426584404,0.005653348923458353,0.007621613331139088,0.004704097802143382,0.0027549483297068787,0.6746142791665118,0.20646919222993762,0.5170299727520435,0.1758853820383676,0.18504952307732483,0.5060395564847869,0.48091889229175455,0.5283687114715576
35,0.10054103463240292,0.004015095243432924,0.00551883910742143,0.007651674044925881,0.004635067778113095,0.0028348020050148275,0.6178120646787726,0.2113804166300431,0.542574931880109,0.1753967515233167,0.17393421583936486,0.502372023010592,0.4761162990836343,0.544233500957489
37,0.10156222740593164,0.004072017755116458,0.005597161645393657,0.007636261871084571,0.004801984927009629,0.0028381017163274405,0.6178120556085006,0.21606091236705635,0.5248637602179836,0.16900106395722905,0.1727103453547759,0.5088523072916761,0.48026945629334944,0.5551599264144897
39,0.09805335039677827,0.0040846132703692365,0.005483743208258048,0.00751444289420286,0.004625445024272346,0.0022661761411101274,0.6647966063540914,0.20678781752658879,0.5153269754768393,0.16916217305136957,0.1741702106820559,0.5047220088223852,0.46775710474137144,0.5367772579193115
41,0.1040586983056172,0.004237507586367428,0.005574212844847985,0.0077614696777385216,0.004940264807690097,0.0028304964298908803,0.6998597176178641,0.2101718379186077,0.4989782016348774,0.15037522832137934,0.1650003106010828,0.49468164632070893,0.44836557521981946,0.5387660264968872
43,0.10429916547044464,0.004268291548056447,0.005675588774940242,0.00800185721448582,0.004774374659578113,0.0026798301664909914,0.6928471119507499,0.21013887668102313,0.49727520435967304,0.1784092004290521,0.16980702753714585,0.4980713438936238,0.47538024698502435,0.5280937552452087
45,0.0993853927306507,0.004065482365979772,0.005358088599598926,0.00751524494515489,0.004707695506310657,0.0025910388415112443,0.6598877647648687,0.2110727784125868,0.5017029972752044,0.14887089815802468,0.1853754177168105,0.5093443872612033,0.46197577269022005,0.5291985273361206
47,0.09862546574162401,0.0038750396393563437,0.005375711763601588,0.007726039747586069,0.004885715786772577,0.00271094574228577,0.5967741906642914,0.21045750197767424,0.4928474114441417,0.16349763689928207,0.160522247516322,0.5048462541429855,0.4590625167781027,0.5280552506446838
49,0.10284464433789253,0.004143889284814181,0.005528786037441181,0.008072915952652693,0.004833626424205368,0.0026711213842803695,0.6423562246820201,0.21391843192405732,0.5510899182561307,0.18631889879383004,0.17948944079090315,0.5088456104657904,0.4988276615791293,0.5350954532623291
51,0.09999684957058533,0.004004114930032064,0.005538252374643217,0.007649849664986781,0.004812125040663649,0.0026944709622868054,0.5939691338850104,0.2100839412850488,0.5241825613079019,0.16108219506348706,0.1899084183203754,0.5138351805181068,0.4799555260268304,0.5298318266868591
53,0.096468819062347,0.00382598998207275,0.0053943067222185755,0.007664270881239487,0.0047373960361532545,0.002473314745736349,0.5806451439857483,0.2134789487562626,0.5306539509536785,0.17571944851395616,0.16005095882640225,0.5110997736419529,0.48032365032537283,0.5434451103210449
55,0.09711979783099631,0.003852961463448794,0.005401684598916251,0.007532239658758044,0.0047497418152330365,0.002612080374408675,0.5722299891969432,0.2077656675749319,0.5010217983651226,0.16516500173935078,0.1755836161067006,0.5034047696202856,0.4641272469879185,0.5455126762390137
57,0.09696955266206161,0.0037814064670111175,0.00542851231749291,0.007856954526885049,0.004942139013386939,0.00249316686835221,0.5483870506286621,0.21184187395622744,0.5143051771117166,0.16809263568358496,0.16096304720260005,0.5060543672762797,0.46647040051739214,0.5262977480888367
59,0.09841985304070555,0.0038536417389126577,0.005361475738818231,0.007956767323143456,0.00474184522729205,0.00263017359311166,0.5799438810866812,0.21038059242331017,0.510899182561308,0.17177584634598714,0.18106945114851988,0.5070391049370641,0.4797302692806213,0.5441359281539917
61,0.0968112652392491,0.0038648892659693956,0.005342019023373723,0.007802946695491024,0.004852236866060159,0.0023464740623477037,0.6037868196549623,0.2099411092555155,0.5051089918256131,0.17269073362905735,0.17515082921947772,0.5040521467598468,0.47425940425415847,0.5369135737419128
63,0.09716919275081676,0.0037763854741807218,0.005325674575389079,0.00793599156136422,0.004741440284187379,0.002588784380350262,0.5806451439857483,0.20900720752395183,0.4822888283378747,0.15795829947067677,0.15973058684073296,0.5041078961066854,0.45093869652168045,0.5316984057426453
65,0.09949351539430411,0.003850170689553994,0.005475459853187203,0.00788458922634954,0.005053164746166895,0.002768952751268997,0.5687236747016078,0.21090797222466381,0.5200953678474114,0.16429782926949105,0.1746044039008258,0.5067885480640338,0.46929655150860156,0.5289115905761719
67,0.09989502653479576,0.003999962537225498,0.005435631023314984,0.007966575749299449,0.004829670626508153,0.0025195591101098967,0.6416549630787062,0.2114463391052123,0.5323569482288828,0.1619760766109116,0.15414910917403266,0.5027793590786799,0.4532763293818201,0.5459113717079163
69,0.09817339884846107,0.003852430366627548,0.005341972406629635,0.007866426563376317,0.004978193957156137,0.0025729410421184225,0.6171107875264209,0.21429199261668275,0.49693460490463215,0.15766410231074257,0.1613844923230582,0.5068341195082774,0.4594824605972318,0.5367430448532104
