epoch,train_loss,train_worst_swap_mmd,train_marginal_mmd,train_covariance,train_symmetry,train_reconstructability,train_mask_fraction,validation_mean_marginal_ks,validation_max_marginal_ks,validation_covariance_relative_error,validation_cross_covariance_asymmetry,validation_mean_real_knockoff_correlation,validation_score,adversary_mean_probability
1,0.39395787048598996,0.008766022105903729,0.05189614125486949,0.041347074929786766,0.00781489047727993,0.015031566347359963,0.9670406528141188,0.24107849169376813,0.5858310626702997,0.484444745609767,0.39076498897022754,0.5143475242920867,0.9352532560807357,0.6038258671760559
3,0.14004767378387245,0.005365748606298281,0.009474032011854908,0.013342246352492468,0.004931158411478543,0.002804833094832366,0.9929873710093291,0.23387096774193547,0.5459809264305178,0.2981215598708988,0.22743483273399004,0.5088195975860093,0.6545295415658385,0.5785496830940247
5,0.12491019329299098,0.005118766121323342,0.007670833385023086,0.010211943932201551,0.004755846250032925,0.002841829810716698,0.9747545408165973,0.2189065658785269,0.5262261580381471,0.25922562905327207,0.21917505850772942,0.5011359810286196,0.5888557052142832,0.5683714747428894
7,0.12046366946204849,0.004978888293566263,0.007201121077346413,0.00967862242427857,0.0047180671244859695,0.002760471950750798,0.9453015275623488,0.22262019864639182,0.5694822888283378,0.23619877973876627,0.1721945658089808,0.5044582980870252,0.5493745593766737,0.5662282109260559
9,0.11692788079380989,0.005009775130969027,0.0070104773419544745,0.008838468200891562,0.004569982310109164,0.002584896693208619,0.8772790872532389,0.21388547068647268,0.5119209809264306,0.23457093211372287,0.16981442909073372,0.5067596349245895,0.5401232522701519,0.5774520039558411
11,0.11354944903565489,0.004773783715158377,0.0065250576109341955,0.008582851788757936,0.004718151009317649,0.002730135051736041,0.7671809053939321,0.2234771908235915,0.577316076294278,0.20249271938906863,0.19333318009083172,0.5058996424832516,0.5285361427413275,0.5610520243644714
13,0.1159346615490706,0.004931616951185076,0.0064286681944909305,0.008514916827983183,0.0046193479236377325,0.00292769693971976,0.9193548093671384,0.21535773929858484,0.5275885558583107,0.19477722974794898,0.18612996780094251,0.5071297112011657,0.5103296641481707,0.5592693090438843
15,0.11483113354314929,0.0048495195299872885,0.00629519221737333,0.008575270175123993,0.004789464555316321,0.0028568208242928527,0.8962131622044937,0.21578623538718472,0.529291553133515,0.2101695884324457,0.24447814926828274,0.5017628780947514,0.5499577765485232,0.5612524747848511
17,0.11028137009428896,0.004786036068411625,0.006066337835205638,0.007979635523794137,0.004785967560525498,0.002526314539389442,0.856942487799603,0.215841170783159,0.5602861035422343,0.19583433916940302,0.17969567233919542,0.5081189615314289,0.5096423076535886,0.5470956563949585
19,0.10595230693402498,0.004410684255518667,0.005935990413569886,0.00772428158265741,0.004615770926213135,0.002804721882769271,0.7328190557334734,0.21052342445284347,0.5272479564032697,0.16278036173733426,0.18586352967158457,0.5007059489144549,0.4669414999404249,0.5431109070777893
