method,group,k,complementary_jaccard
deep_lasso,1,8,0.7777777777777778
deep_lasso,2,8,0.6
deep_lasso,3,8,0.6
deep_lasso,4,8,0.6
deep_lasso,5,8,0.7777777777777778
deep_lasso,6,8,0.7777777777777778
deep_lasso,7,8,0.45454545454545453
deep_lasso,8,8,0.6
deep_lasso,9,8,0.7777777777777778
deep_lasso,10,8,0.7777777777777778
deep_lasso,11,8,0.7777777777777778
deep_lasso,12,8,0.6
deep_lasso,13,8,0.7777777777777778
deep_lasso,14,8,0.6
deep_lasso,15,8,0.7777777777777778
deep_lasso,16,8,0.7777777777777778
deep_lasso,17,8,0.6
deep_lasso,18,8,0.7777777777777778
deep_lasso,19,8,0.6
deep_lasso,20,8,0.6
deep_lasso,21,8,0.7777777777777778
deep_lasso,22,8,0.6
deep_lasso,23,8,0.6
deep_lasso,24,8,0.7777777777777778
deep_lasso,25,8,0.6
deep_lasso,26,8,0.6
deep_lasso,27,8,0.7777777777777778
deep_lasso,28,8,0.6
deep_lasso,29,8,0.6
deep_lasso,0,10,0.6666666666666666
deep_lasso,1,10,1.0
deep_lasso,2,10,0.8181818181818182
deep_lasso,3,10,1.0
deep_lasso,4,10,0.8181818181818182
deep_lasso,5,10,0.8181818181818182
deep_lasso,6,10,1.0
deep_lasso,7,10,0.6666666666666666
deep_lasso,8,10,0.5384615384615384
deep_lasso,9,10,1.0
deep_lasso,10,10,1.0
deep_lasso,11,10,1.0
deep_lasso,12,10,0.6666666666666666
deep_lasso,13,10,1.0
deep_lasso,14,10,1.0
deep_lasso,15,10,1.0
deep_lasso,16,10,0.6666666666666666
deep_lasso,17,10,0.8181818181818182
deep_lasso,18,10,0.6666666666666666
deep_lasso,19,10,1.0
deep_lasso,20,10,0.6666666666666666
deep_lasso,21,10,0.8181818181818182
deep_lasso,22,10,0.6666666666666666
deep_lasso,23,10,0.6666666666666666
deep_lasso,24,10,1.0
deep_lasso,25,10,1.0
deep_lasso,26,10,0.8181818181818182
deep_lasso,27,10,1.0
deep_lasso,28,10,0.6666666666666666
deep_lasso,29,10,0.6666666666666666
deep_lasso,0,12,0.6
deep_lasso,1,12,0.8461538461538461
deep_lasso,2,12,0.8461538461538461
deep_lasso,3,12,0.8461538461538461
deep_lasso,4,12,0.6
deep_lasso,5,12,0.7142857142857143
deep_lasso,6,12,0.8461538461538461
deep_lasso,7,12,0.8461538461538461
deep_lasso,8,12,0.5
deep_lasso,9,12,0.8461538461538461
deep_lasso,10,12,0.7142857142857143
deep_lasso,11,12,0.8461538461538461
deep_lasso,12,12,0.5
deep_lasso,13,12,0.7142857142857143
deep_lasso,14,12,0.8461538461538461
deep_lasso,15,12,0.7142857142857143
deep_lasso,16,12,0.7142857142857143
deep_lasso,17,12,0.7142857142857143
deep_lasso,18,12,0.7142857142857143
deep_lasso,19,12,0.8461538461538461
deep_lasso,20,12,0.6
deep_lasso,21,12,0.8461538461538461
deep_lasso,22,12,0.6
deep_lasso,23,12,0.8461538461538461
deep_lasso,24,12,0.8461538461538461
deep_lasso,25,12,0.8461538461538461
deep_lasso,26,12,0.7142857142857143
deep_lasso,27,12,0.7142857142857143
deep_lasso,28,12,0.6
deep_lasso,29,12,0.7142857142857143
deep_lasso,0,14,0.6470588235294118
deep_lasso,1,14,0.6470588235294118
deep_lasso,2,14,0.75
deep_lasso,3,14,0.75
deep_lasso,4,14,0.6470588235294118
deep_lasso,5,14,0.6470588235294118
deep_lasso,6,14,0.75
deep_lasso,7,14,0.75
deep_lasso,8,14,0.6470588235294118
deep_lasso,9,14,0.75
deep_lasso,10,14,0.75
deep_lasso,11,14,0.8666666666666667
deep_lasso,12,14,0.5555555555555556
deep_lasso,13,14,0.6470588235294118
deep_lasso,14,14,0.75
deep_lasso,15,14,0.75
deep_lasso,16,14,0.75
deep_lasso,17,14,0.6470588235294118
deep_lasso,18,14,0.6470588235294118
deep_lasso,19,14,0.75
deep_lasso,20,14,0.75
deep_lasso,21,14,0.75
deep_lasso,22,14,0.75
deep_lasso,23,14,0.75
deep_lasso,24,14,0.75
deep_lasso,25,14,0.75
deep_lasso,26,14,0.6470588235294118
deep_lasso,27,14,0.75
deep_lasso,28,14,0.6470588235294118
deep_lasso,29,14,0.6470588235294118
elastic_net,0,4,0.6
elastic_net,1,4,0.6
elastic_net,2,4,0.3333333333333333
elastic_net,3,4,0.6
elastic_net,4,4,0.6
elastic_net,5,4,0.3333333333333333
elastic_net,6,4,0.3333333333333333
elastic_net,7,4,0.3333333333333333
elastic_net,8,4,0.6
elastic_net,9,4,1.0
elastic_net,10,4,0.6
elastic_net,11,4,0.3333333333333333
elastic_net,12,4,0.3333333333333333
elastic_net,13,4,0.3333333333333333
elastic_net,14,4,0.3333333333333333
elastic_net,15,4,0.6
elastic_net,16,4,0.3333333333333333
elastic_net,17,4,0.6
elastic_net,18,4,0.3333333333333333
elastic_net,19,4,0.3333333333333333
elastic_net,20,4,0.3333333333333333
elastic_net,21,4,0.6
elastic_net,22,4,0.3333333333333333
elastic_net,23,4,0.3333333333333333
elastic_net,24,4,0.3333333333333333
elastic_net,25,4,0.3333333333333333
elastic_net,26,4,0.6
elastic_net,27,4,0.6
elastic_net,28,4,0.3333333333333333
elastic_net,29,4,0.3333333333333333
elastic_net,0,8,0.6
elastic_net,1,8,0.45454545454545453
elastic_net,2,8,0.6
elastic_net,3,8,0.7777777777777778
elastic_net,4,8,0.7777777777777778
elastic_net,5,8,0.7777777777777778
elastic_net,6,8,0.45454545454545453
elastic_net,7,8,0.6
elastic_net,8,8,0.6
elastic_net,9,8,0.6
elastic_net,10,8,0.6
elastic_net,11,8,0.3333333333333333
elastic_net,12,8,0.45454545454545453
elastic_net,13,8,0.6
elastic_net,14,8,0.45454545454545453
elastic_net,15,8,0.45454545454545453
elastic_net,16,8,0.6
elastic_net,17,8,0.45454545454545453
elastic_net,18,8,0.45454545454545453
elastic_net,19,8,0.45454545454545453
elastic_net,20,8,0.3333333333333333
elastic_net,21,8,0.6
elastic_net,22,8,0.6
elastic_net,23,8,0.45454545454545453
elastic_net,24,8,0.3333333333333333
elastic_net,25,8,0.6
elastic_net,26,8,0.45454545454545453
elastic_net,27,8,0.6
elastic_net,28,8,0.45454545454545453
elastic_net,29,8,0.45454545454545453
elastic_net,0,10,0.42857142857142855
elastic_net,1,10,0.5384615384615384
elastic_net,2,10,0.5384615384615384
elastic_net,3,10,0.8181818181818182
elastic_net,4,10,0.6666666666666666
elastic_net,5,10,0.5384615384615384
elastic_net,6,10,0.5384615384615384
elastic_net,7,10,0.5384615384615384
elastic_net,8,10,0.6666666666666666
elastic_net,9,10,0.6666666666666666
elastic_net,10,10,0.6666666666666666
elastic_net,11,10,0.5384615384615384
elastic_net,12,10,0.5384615384615384
elastic_net,13,10,0.6666666666666666
elastic_net,14,10,0.3333333333333333
elastic_net,15,10,0.5384615384615384
elastic_net,16,10,0.5384615384615384
elastic_net,17,10,0.42857142857142855
elastic_net,18,10,0.6666666666666666
elastic_net,19,10,0.5384615384615384
elastic_net,20,10,0.5384615384615384
elastic_net,21,10,0.5384615384615384
elastic_net,22,10,0.6666666666666666
elastic_net,23,10,0.42857142857142855
elastic_net,24,10,0.42857142857142855
elastic_net,25,10,0.6666666666666666
elastic_net,26,10,0.42857142857142855
elastic_net,27,10,0.5384615384615384
elastic_net,28,10,0.5384615384615384
elastic_net,29,10,0.42857142857142855
elastic_net,0,12,0.6
elastic_net,1,12,0.4117647058823529
elastic_net,2,12,0.6
elastic_net,3,12,0.6
elastic_net,4,12,0.7142857142857143
elastic_net,5,12,0.7142857142857143
elastic_net,6,12,0.5
elastic_net,7,12,0.5
elastic_net,8,12,0.6
elastic_net,9,12,0.7142857142857143
elastic_net,10,12,0.7142857142857143
elastic_net,11,12,0.4117647058823529
elastic_net,12,12,0.5
elastic_net,13,12,0.7142857142857143
elastic_net,14,12,0.4117647058823529
elastic_net,15,12,0.5
elastic_net,16,12,0.5
elastic_net,17,12,0.4117647058823529
elastic_net,18,12,0.5
elastic_net,19,12,0.5
elastic_net,20,12,0.4117647058823529
elastic_net,21,12,0.5
elastic_net,22,12,0.5
elastic_net,23,12,0.5
elastic_net,24,12,0.5
elastic_net,25,12,0.6
elastic_net,26,12,0.5
elastic_net,27,12,0.4117647058823529
elastic_net,28,12,0.4117647058823529
elastic_net,29,12,0.5
elastic_net,0,14,0.5555555555555556
elastic_net,1,14,0.47368421052631576
elastic_net,2,14,0.47368421052631576
elastic_net,3,14,0.6470588235294118
elastic_net,4,14,0.5555555555555556
elastic_net,5,14,0.5555555555555556
elastic_net,6,14,0.47368421052631576
elastic_net,7,14,0.47368421052631576
elastic_net,8,14,0.75
elastic_net,9,14,0.6470588235294118
elastic_net,10,14,0.5555555555555556
elastic_net,11,14,0.47368421052631576
elastic_net,12,14,0.4
elastic_net,13,14,0.5555555555555556
elastic_net,14,14,0.47368421052631576
elastic_net,15,14,0.47368421052631576
elastic_net,16,14,0.47368421052631576
elastic_net,17,14,0.4
elastic_net,18,14,0.5555555555555556
elastic_net,19,14,0.5555555555555556
elastic_net,20,14,0.4
elastic_net,21,14,0.4
elastic_net,22,14,0.4
elastic_net,23,14,0.47368421052631576
elastic_net,24,14,0.4
elastic_net,25,14,0.5555555555555556
elastic_net,26,14,0.47368421052631576
elastic_net,27,14,0.3333333333333333
elastic_net,28,14,0.4
elastic_net,29,14,0.4
shadow_trees,0,4,1.0
shadow_trees,1,4,1.0
shadow_trees,2,4,1.0
shadow_trees,3,4,1.0
shadow_trees,4,4,1.0
shadow_trees,5,4,1.0
shadow_trees,6,4,0.6
shadow_trees,7,4,1.0
shadow_trees,8,4,1.0
shadow_trees,9,4,1.0
shadow_trees,10,4,0.6
shadow_trees,11,4,0.6
shadow_trees,12,4,1.0
shadow_trees,13,4,0.6
shadow_trees,14,4,1.0
shadow_trees,15,4,0.6
shadow_trees,16,4,0.6
shadow_trees,17,4,1.0
shadow_trees,18,4,1.0
shadow_trees,19,4,1.0
shadow_trees,20,4,0.6
shadow_trees,21,4,0.6
shadow_trees,22,4,1.0
shadow_trees,23,4,1.0
shadow_trees,24,4,1.0
shadow_trees,25,4,1.0
shadow_trees,26,4,1.0
shadow_trees,27,4,1.0
shadow_trees,28,4,1.0
shadow_trees,29,4,1.0
shadow_trees,0,8,1.0
shadow_trees,1,8,1.0
shadow_trees,2,8,1.0
shadow_trees,3,8,1.0
shadow_trees,4,8,1.0
shadow_trees,5,8,1.0
shadow_trees,6,8,1.0
shadow_trees,7,8,1.0
shadow_trees,8,8,1.0
shadow_trees,9,8,1.0
shadow_trees,10,8,1.0
shadow_trees,11,8,1.0
shadow_trees,12,8,1.0
shadow_trees,13,8,1.0
shadow_trees,14,8,1.0
shadow_trees,15,8,1.0
shadow_trees,16,8,1.0
shadow_trees,17,8,1.0
shadow_trees,18,8,1.0
shadow_trees,19,8,1.0
shadow_trees,20,8,1.0
shadow_trees,21,8,1.0
shadow_trees,22,8,1.0
shadow_trees,23,8,1.0
shadow_trees,24,8,1.0
shadow_trees,25,8,1.0
shadow_trees,26,8,1.0
shadow_trees,27,8,1.0
shadow_trees,28,8,1.0
shadow_trees,29,8,1.0
shadow_trees,0,10,1.0
shadow_trees,1,10,0.8181818181818182
shadow_trees,2,10,1.0
shadow_trees,3,10,1.0
shadow_trees,4,10,0.8181818181818182
shadow_trees,5,10,1.0
shadow_trees,6,10,0.8181818181818182
shadow_trees,7,10,0.8181818181818182
shadow_trees,8,10,0.8181818181818182
shadow_trees,9,10,1.0
shadow_trees,10,10,0.8181818181818182
shadow_trees,11,10,1.0
shadow_trees,12,10,0.8181818181818182
shadow_trees,13,10,0.8181818181818182
shadow_trees,14,10,0.8181818181818182
shadow_trees,15,10,1.0
shadow_trees,16,10,0.8181818181818182
shadow_trees,17,10,0.8181818181818182
shadow_trees,18,10,0.8181818181818182
shadow_trees,19,10,0.8181818181818182
shadow_trees,20,10,0.8181818181818182
shadow_trees,21,10,0.8181818181818182
shadow_trees,22,10,0.8181818181818182
shadow_trees,23,10,0.8181818181818182
shadow_trees,24,10,1.0
shadow_trees,25,10,0.8181818181818182
shadow_trees,26,10,0.8181818181818182
shadow_trees,27,10,1.0
shadow_trees,28,10,1.0
shadow_trees,29,10,0.8181818181818182
shadow_trees,0,12,1.0
shadow_trees,1,12,0.8461538461538461
shadow_trees,2,12,1.0
shadow_trees,3,12,1.0
shadow_trees,4,12,0.8461538461538461
shadow_trees,5,12,0.8461538461538461
shadow_trees,6,12,0.8461538461538461
shadow_trees,7,12,0.8461538461538461
shadow_trees,8,12,0.8461538461538461
shadow_trees,9,12,0.8461538461538461
shadow_trees,10,12,1.0
shadow_trees,11,12,0.8461538461538461
shadow_trees,12,12,0.7142857142857143
shadow_trees,13,12,1.0
shadow_trees,14,12,0.8461538461538461
shadow_trees,15,12,0.8461538461538461
shadow_trees,16,12,0.8461538461538461
shadow_trees,17,12,0.8461538461538461
shadow_trees,18,12,0.8461538461538461
shadow_trees,19,12,0.8461538461538461
shadow_trees,20,12,0.8461538461538461
shadow_trees,21,12,0.8461538461538461
shadow_trees,22,12,0.8461538461538461
shadow_trees,23,12,0.8461538461538461
shadow_trees,24,12,0.8461538461538461
shadow_trees,25,12,0.8461538461538461
shadow_trees,26,12,0.8461538461538461
shadow_trees,27,12,1.0
shadow_trees,28,12,1.0
shadow_trees,29,12,1.0
shadow_trees,0,14,0.8666666666666667
shadow_trees,1,14,0.8666666666666667
shadow_trees,2,14,0.8666666666666667
shadow_trees,3,14,0.8666666666666667
shadow_trees,4,14,0.8666666666666667
shadow_trees,5,14,1.0
shadow_trees,6,14,0.75
shadow_trees,7,14,1.0
shadow_trees,8,14,0.8666666666666667
shadow_trees,9,14,1.0
shadow_trees,10,14,1.0
shadow_trees,11,14,0.8666666666666667
shadow_trees,12,14,0.6470588235294118
shadow_trees,13,14,0.8666666666666667
shadow_trees,14,14,0.8666666666666667
shadow_trees,15,14,0.8666666666666667
shadow_trees,16,14,1.0
shadow_trees,17,14,0.75
shadow_trees,18,14,0.75
shadow_trees,19,14,1.0
shadow_trees,20,14,0.8666666666666667
shadow_trees,21,14,0.8666666666666667
shadow_trees,22,14,0.8666666666666667
shadow_trees,23,14,0.8666666666666667
shadow_trees,24,14,0.8666666666666667
shadow_trees,25,14,0.8666666666666667
shadow_trees,26,14,0.8666666666666667
shadow_trees,27,14,0.8666666666666667
shadow_trees,28,14,0.8666666666666667
shadow_trees,29,14,0.8666666666666667
stability_selection,0,4,0.6
stability_selection,1,4,0.6
stability_selection,2,4,0.3333333333333333
stability_selection,3,4,0.3333333333333333
stability_selection,4,4,0.6
stability_selection,5,4,0.6
stability_selection,6,4,0.3333333333333333
stability_selection,7,4,0.6
stability_selection,8,4,0.3333333333333333
stability_selection,9,4,1.0
stability_selection,10,4,0.6
stability_selection,11,4,0.3333333333333333
stability_selection,12,4,0.6
stability_selection,13,4,0.6
stability_selection,14,4,0.3333333333333333
stability_selection,15,4,0.6
stability_selection,16,4,1.0
stability_selection,17,4,0.3333333333333333
stability_selection,18,4,0.3333333333333333
stability_selection,19,4,0.3333333333333333
stability_selection,20,4,0.6
stability_selection,21,4,1.0
stability_selection,22,4,0.6
stability_selection,23,4,0.3333333333333333
stability_selection,24,4,0.3333333333333333
