method,fraction,k,metric,mean,sd,se,ci_low,ci_high,n,nogueira
copula_mvr,0.5,4,reference_jaccard,0.8333333333333335,0.1493279966205689,0.027263437405380266,0.7775733430054202,0.8890933236612467,30,0.8302102950408036
copula_mvr,0.5,8,reference_jaccard,0.811851851851852,0.08101807151856252,0.01479180844542784,0.7815992067585141,0.84210449694519,30,0.8091531564726111
copula_mvr,0.5,10,reference_jaccard,0.7689588189588189,0.07152920875450801,0.013059387051780015,0.7422493734524344,0.7956682644652034,30,0.7487974172719937
copula_mvr,0.5,12,reference_jaccard,0.7354578754578757,0.05989380059153387,0.010935061879566454,0.713093162763231,0.7578225881525203,30,0.6797527009614431
copula_mvr,0.5,14,reference_jaccard,0.6965468409586058,0.0499280582201704,0.009115574579872854,0.6779033976227784,0.7151902842944331,30,0.5920239282153539
copula_mvr,0.7,4,reference_jaccard,0.8800000000000001,0.1880649383926509,0.042052598643027746,0.7919828994897667,0.9680171005102335,20,0.8610136452241716
copula_mvr,0.7,8,reference_jaccard,0.8466666666666667,0.12190815575893932,0.027259492328862076,0.7896118935114008,0.9037214398219325,20,0.8341819221967963
copula_mvr,0.7,10,reference_jaccard,0.7893939393939393,0.08311919710836774,0.01858601749695142,0.7504929576971672,0.8282949210907115,20,0.80265664160401
copula_mvr,0.7,12,reference_jaccard,0.7508241758241757,0.099418270582891,0.02223060112288119,0.7042949929300301,0.7973533587183214,20,0.7230609418282549
copula_mvr,0.7,14,reference_jaccard,0.7534313725490196,0.07973789242191741,0.017829934783797265,0.7161128901580013,0.7907498549400379,20,0.7038478549314462
copula_mvr,0.8,4,reference_jaccard,0.8600000000000001,0.19574419397183718,0.04376973239219325,0.7683888972481271,0.9516111027518731,20,0.8398635477582846
copula_mvr,0.8,8,reference_jaccard,0.857777777777778,0.1253766255951006,0.028035065762018495,0.7990997107709558,0.9164558447846002,20,0.8634439359267734
copula_mvr,0.8,10,reference_jaccard,0.8136363636363637,0.08415931094462921,0.018818594021173293,0.7742485936799045,0.8530241335928229,20,0.8282957393483709
copula_mvr,0.8,12,reference_jaccard,0.8076923076923077,0.07807124602210047,0.01745726131935267,0.7711538398268116,0.8442307755578038,20,0.8082179132040628
copula_mvr,0.8,14,reference_jaccard,0.7769117647058824,0.0951644970087298,0.02127942843560952,0.7323734091260925,0.8214501202856723,20,0.7250995134896063
deep_lasso,0.5,4,reference_jaccard,0.6133333333333334,0.05074162634049249,0.009264111117062017,0.5943860986687071,0.6322805679979597,30,0.953944339820046
deep_lasso,0.5,8,reference_jaccard,0.754949494949495,0.0843696995543169,0.015403729205277642,0.723445331379476,0.7864536585195141,30,0.8008720216163104
