method,run,group,fraction,half,k,reference_jaccard,features,native_count,seconds
copula_mvr,half_04_A,4,0.5,A,12,0.6,"[0, 20, 21, 23, 27, 2, 16, 25, 24, 7, 10, 12]",0.0,0.7423952082172036
copula_mvr,half_04_A,4,0.5,A,14,0.5555555555555556,"[0, 20, 21, 23, 27, 2, 16, 25, 24, 7, 10, 12, 18, 1]",0.0,0.7423952082172036
copula_mvr,half_04_B,4,0.5,B,4,1.0,"[0, 21, 23, 20]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,8,0.7777777777777778,"[0, 21, 23, 20, 27, 17, 24, 16]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,10,0.8181818181818182,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,12,0.7142857142857143,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25, 7, 13]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,14,0.75,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25, 7, 13, 19, 2]",0.0,0.7170521658845246
copula_mvr,half_05_A,5,0.5,A,4,1.0,"[0, 21, 20, 23]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,8,1.0,"[0, 21, 20, 23, 24, 16, 2, 27]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,10,0.8181818181818182,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,12,0.7142857142857143,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25, 26, 9]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,14,0.6470588235294118,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25, 26, 9, 8, 10]",12.0,0.6957772918976843
copula_mvr,half_05_B,5,0.5,B,4,1.0,"[23, 0, 20, 21]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,8,0.7777777777777778,"[23, 0, 20, 21, 24, 27, 16, 7]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,10,0.6666666666666666,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,12,0.6,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12, 28, 25]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,14,0.5555555555555556,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12, 28, 25, 18, 13]",0.0,0.7317920830100775
copula_mvr,half_06_A,6,0.5,A,4,0.6,"[21, 0, 20, 24]",0.0,0.6580563329625875
copula_mvr,half_06_A,6,0.5,A,8,0.7777777777777778,"[21, 0, 20, 24, 27, 23, 16, 17]",0.0,0.6580563329625875
copula_mvr,half_06_A,6,0.5,A,10,0.8181818181818182,"[21, 0, 20, 24, 27, 23, 16, 17, 2, 25]",0.0,0.6580563329625875
copula_mvr,half_06_A,6,0.5,A,12,0.7142857142857143,"[21, 0, 20, 24, 27, 23, 16, 17, 2, 25, 12, 22]",0.0,0.6580563329625875
copula_mvr,half_06_A,6,0.5,A,14,0.6470588235294118,"[21, 0, 20, 24, 27, 23, 16, 17, 2, 25, 12, 22, 6, 28]",0.0,0.6580563329625875
copula_mvr,half_06_B,6,0.5,B,4,1.0,"[0, 23, 20, 21]",12.0,0.7239136251155287
copula_mvr,half_06_B,6,0.5,B,8,0.7777777777777778,"[0, 23, 20, 21, 27, 16, 26, 24]",12.0,0.7239136251155287
copula_mvr,half_06_B,6,0.5,B,10,0.6666666666666666,"[0, 23, 20, 21, 27, 16, 26, 24, 7, 2]",12.0,0.7239136251155287
copula_mvr,half_06_B,6,0.5,B,12,0.7142857142857143,"[0, 23, 20, 21, 27, 16, 26, 24, 7, 2, 25, 9]",12.0,0.7239136251155287
copula_mvr,half_06_B,6,0.5,B,14,0.75,"[0, 23, 20, 21, 27, 16, 26, 24, 7, 2, 25, 9, 17, 8]",12.0,0.7239136251155287
copula_mvr,half_07_A,7,0.5,A,4,1.0,"[0, 23, 20, 21]",0.0,0.673805708065629
copula_mvr,half_07_A,7,0.5,A,8,0.7777777777777778,"[0, 23, 20, 21, 24, 27, 16, 22]",0.0,0.673805708065629
copula_mvr,half_07_A,7,0.5,A,10,0.8181818181818182,"[0, 23, 20, 21, 24, 27, 16, 22, 17, 9]",0.0,0.673805708065629
copula_mvr,half_07_A,7,0.5,A,12,0.8461538461538461,"[0, 23, 20, 21, 24, 27, 16, 22, 17, 9, 2, 7]",0.0,0.673805708065629
copula_mvr,half_07_A,7,0.5,A,14,0.75,"[0, 23, 20, 21, 24, 27, 16, 22, 17, 9, 2, 7, 6, 25]",0.0,0.673805708065629
copula_mvr,half_07_B,7,0.5,B,4,0.6,"[21, 23, 0, 24]",11.0,0.6817311248742044
copula_mvr,half_07_B,7,0.5,B,8,1.0,"[21, 23, 0, 24, 20, 2, 16, 27]",11.0,0.6817311248742044
copula_mvr,half_07_B,7,0.5,B,10,0.6666666666666666,"[21, 23, 0, 24, 20, 2, 16, 27, 26, 25]",11.0,0.6817311248742044
copula_mvr,half_07_B,7,0.5,B,12,0.8461538461538461,"[21, 23, 0, 24, 20, 2, 16, 27, 26, 25, 17, 7]",11.0,0.6817311248742044
copula_mvr,half_07_B,7,0.5,B,14,0.75,"[21, 23, 0, 24, 20, 2, 16, 27, 26, 25, 17, 7, 3, 28]",11.0,0.6817311248742044
copula_mvr,half_08_A,8,0.5,A,4,1.0,"[0, 20, 23, 21]",13.0,0.6931909590493888
copula_mvr,half_08_A,8,0.5,A,8,1.0,"[0, 20, 23, 21, 24, 27, 16, 2]",13.0,0.6931909590493888
copula_mvr,half_08_A,8,0.5,A,10,0.6666666666666666,"[0, 20, 23, 21, 24, 27, 16, 2, 10, 28]",13.0,0.6931909590493888
copula_mvr,half_08_A,8,0.5,A,12,0.6,"[0, 20, 23, 21, 24, 27, 16, 2, 10, 28, 17, 29]",13.0,0.6931909590493888
copula_mvr,half_08_A,8,0.5,A,14,0.5555555555555556,"[0, 20, 23, 21, 24, 27, 16, 2, 10, 28, 17, 29, 18, 30]",13.0,0.6931909590493888
copula_mvr,half_08_B,8,0.5,B,4,1.0,"[21, 0, 23, 20]",12.0,0.6859148750081658
copula_mvr,half_08_B,8,0.5,B,8,0.7777777777777778,"[21, 0, 23, 20, 27, 16, 17, 24]",12.0,0.6859148750081658
copula_mvr,half_08_B,8,0.5,B,10,0.6666666666666666,"[21, 0, 23, 20, 27, 16, 17, 24, 25, 7]",12.0,0.6859148750081658
copula_mvr,half_08_B,8,0.5,B,12,0.8461538461538461,"[21, 0, 23, 20, 27, 16, 17, 24, 25, 7, 22, 2]",12.0,0.6859148750081658
copula_mvr,half_08_B,8,0.5,B,14,0.75,"[21, 0, 23, 20, 27, 16, 17, 24, 25, 7, 22, 2, 3, 9]",12.0,0.6859148750081658
copula_mvr,half_09_A,9,0.5,A,4,0.6,"[0, 23, 21, 24]",12.0,0.6510682909283787
copula_mvr,half_09_A,9,0.5,A,8,0.7777777777777778,"[0, 23, 21, 24, 20, 16, 27, 26]",12.0,0.6510682909283787
copula_mvr,half_09_A,9,0.5,A,10,0.6666666666666666,"[0, 23, 21, 24, 20, 16, 27, 26, 25, 2]",12.0,0.6510682909283787
copula_mvr,half_09_A,9,0.5,A,12,0.7142857142857143,"[0, 23, 21, 24, 20, 16, 27, 26, 25, 2, 13, 7]",12.0,0.6510682909283787
copula_mvr,half_09_A,9,0.5,A,14,0.75,"[0, 23, 21, 24, 20, 16, 27, 26, 25, 2, 13, 7, 17, 28]",12.0,0.6510682909283787
copula_mvr,half_09_B,9,0.5,B,4,0.6,"[23, 0, 21, 24]",11.0,0.6936556249856949
copula_mvr,half_09_B,9,0.5,B,8,0.7777777777777778,"[23, 0, 21, 24, 27, 16, 20, 17]",11.0,0.6936556249856949
