candidate,comparator,metric,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p
tabm_orbit_student,lasso_pair_q20,reference,-0.03204973217357118,0.08969838519326288,0.016376609647379158,-0.06554365966202744,0.0014441953148850717,30,0.0600306873503072,0.1800920620509216
tabm_orbit_student,linear_orbit_student,reference,-0.07970956803774139,0.11674764992656163,0.021315107133498053,-0.12330385697240584,-0.03611527910307693,30,0.0008074038489151994,0.004037019244575997
tabm_orbit_student,tabm_midpoint,reference,-0.06850041771094402,0.060607542684275116,0.011065372761044896,-0.09113164608308083,-0.0458691893388072,30,9.456652473037942e-07,6.61965673112656e-06
tabm_orbit_student,tabm_orbit,reference,-0.06625377546430178,0.0628238319242261,0.01147000996460394,-0.08971257983946723,-0.042794971089136324,30,2.9475582829818535e-06,1.7685349697891122e-05
tabm_orbit_student,xgb_orbit_student,reference,-0.013801169590643276,0.07992896145917054,0.01459296506304958,-0.04364713430419921,0.016044795122912663,30,0.35209449492512834,0.6240242982700095
tabm_orbit_student,xgb_shap,reference,-0.44325289089994974,0.0973060767487412,0.017765577739204837,-0.47958757710178435,-0.4069182046981151,30,3.794685304429064e-21,3.4152167739861577e-20
xgb_orbit_student,lasso_pair_q20,reference,-0.018248562582927893,0.09713991437388107,0.01773524077889833,-0.05452120273429145,0.01802407756843567,30,0.31201214913500475,0.6240242982700095
xgb_orbit_student,linear_orbit_student,reference,-0.06590839844709813,0.11131005236706945,0.020322342186175082,-0.10747225508382734,-0.024344541810368922,30,0.002971353545895204,0.011885414183580816
xgb_orbit_student,xgb_orbit,reference,-0.09126369846184088,0.07846390396532478,0.014325483383909144,-0.12056260171649136,-0.061964795207190386,30,5.790831522983304e-07,4.632665218386643e-06
xgb_orbit_student,xgb_shap,reference,-0.4294517213093064,0.087528067114651,0.01598036559117349,-0.46213523870849194,-0.3967682039101209,30,4.801002985951524e-22,4.801002985951524e-21
tabm_orbit_student,lasso_pair_q20,complementary,-0.012768507722068091,0.1361143392808657,0.02485096467468055,-0.06359443731031744,0.03805742186618127,30,0.6112824947675601,1.0
tabm_orbit_student,linear_orbit_student,complementary,-0.04732057416267942,0.16783768117285328,0.03064282799257729,-0.10999219429187226,0.015351045966513412,30,0.13336834835308906,0.5334733934123562
tabm_orbit_student,tabm_midpoint,complementary,-0.03905744754041967,0.07534813275065518,0.01375662399114254,-0.06719290270277829,-0.01092199237806105,30,0.008179781131197262,0.05725846791838084
tabm_orbit_student,tabm_orbit,complementary,-0.03296900897520093,0.0687070929304633,0.012544141552872826,-0.05862465911424499,-0.007313358836156865,30,0.013579646674481343,0.08147788004688805
tabm_orbit_student,xgb_orbit_student,complementary,0.0018916721393501554,0.12387577073634237,0.022616517986877686,-0.04436430084923955,0.048147645127939856,30,0.9339164351441251,1.0
tabm_orbit_student,xgb_shap,complementary,-0.3528051755605935,0.15110400367677168,0.027587690447703803,-0.4092283378222185,-0.29638201329896846,30,1.9011780295837074e-13,1.9011780295837073e-12
xgb_orbit_student,lasso_pair_q20,complementary,-0.014660179861418248,0.14221924651007273,0.02596556314165157,-0.06776571927339241,0.038445359550555905,30,0.5766867783041163,1.0
xgb_orbit_student,linear_orbit_student,complementary,-0.049212246302029576,0.15899810679874488,0.029028949898096026,-0.10858311511360069,0.01015862250954154,30,0.10073489950190626,0.5036744975095313
xgb_orbit_student,xgb_orbit,complementary,-0.0721435942798172,0.1259349137157375,0.02299246433985872,-0.1191684638933754,-0.025118724666259,30,0.0038887167444448226,0.03110973395555858
xgb_orbit_student,xgb_shap,complementary,-0.3546968476999437,0.15632095711075175,0.02854017147345211,-0.41306805238899813,-0.29632564301088926,30,3.8491561252882094e-13,3.4642405127593887e-12
