method,fraction,mean,sd,se,ci_low,ci_high,n,nogueira
deep_lasso,0.5,0.8394139194139195,0.059142254125802055,0.010797848895468254,0.817329838781638,0.861498000046201,30,0.8011993259986123
deep_lasso,0.7,0.8494505494505497,0.08044486988137851,0.01798801974958878,0.8118011914234894,0.8870999074776099,20,0.8210987996306556
deep_lasso,0.8,0.8184615384615386,0.11735089610125364,0.026240458090291817,0.7635396284798659,0.8733834484432113,20,0.833264081255771
lasso_pair_q20,0.5,0.35694702442380455,0.05879951100828618,0.010735272849837225,0.33499092617493503,0.37890312267267406,30,0.20671771235999603
lasso_pair_q20,0.7,0.36473168214654283,0.08467402561468648,0.018933687720299738,0.3251030183093011,0.40436034598378456,20,0.2686518928901199
lasso_pair_q20,0.8,0.4060990712074304,0.09876620361933558,0.02208479451724201,0.3598750650461791,0.45232307736868166,20,0.34092797783933504
linear_orbit_student,0.5,0.4046068602879748,0.08309489025267966,0.015170981934936267,0.3735787183343834,0.43563500224156626,30,0.23521657250470818
linear_orbit_student,0.7,0.45686274509803926,0.10218281770473943,0.022848772652026637,0.40903971432364183,0.5046857758724367,20,0.3523776546629732
linear_orbit_student,0.8,0.4878424001179419,0.12977326636274053,0.02901818452492747,0.4271066418920111,0.5485781583438727,20,0.41535087719298247
tabm_midpoint,0.5,0.39339770996117746,0.0757516158970222,0.013830289598088666,0.3651115917158869,0.421683828206468,30,0.20087967092873427
tabm_midpoint,0.7,0.3723168214654282,0.08447091648249525,0.01888827113765668,0.33278321562812746,0.41185042730272897,20,0.22929362880886417
tabm_midpoint,0.8,0.4069246646026832,0.10389164718507736,0.023230878540025764,0.3583018770133725,0.45554745219199383,20,0.2199907663896583
tabm_naive,0.5,0.37397636247481447,0.08374206661634696,0.015289139632624517,0.3427065608954649,0.405246164054164,30,0.19473436415898526
tabm_naive,0.7,0.3587925696594428,0.10000232393028907,0.022361199421608028,0.31199004138459707,0.4055950979342885,20,0.23000923361034153
tabm_naive,0.8,0.3708462332301342,0.10209992195339274,0.022830236598520928,0.32306199886159803,0.4186304675986704,20,0.21927516158818083
tabm_orbit,0.5,0.3911510677145352,0.08054531853645626,0.014705495954618696,0.36107495148588653,0.4212271839431839,30,0.1992665279016752
tabm_orbit,0.7,0.3758255933952528,0.0810877336267586,0.01813176845308278,0.33787536587398964,0.41377582091651594,20,0.22786241920590933
tabm_orbit,0.8,0.40251289989680084,0.10157889008979223,0.022713730331975514,0.3549725159466335,0.4500532838469682,20,0.21855955678670358
tabm_orbit_student,0.5,0.32489729225023345,0.07654897524820757,0.013975866832449302,0.29631343513000885,0.35348114937045805,30,0.12483149965308749
tabm_orbit_student,0.7,0.2836458794043934,0.10012512930798993,0.022388659538862196,0.2367858764435978,0.33050588236518896,20,0.09905355493998147
tabm_orbit_student,0.8,0.29816968892820284,0.10813616339857555,0.024179981218523963,0.24756040660269216,0.3487789712537135,20,0.14628347183748847
tabm_pfi,0.5,0.728791208791209,0.0639686867752407,0.011679030906927245,0.7049049085889774,0.7526775089934405,30,0.6840544157002676
tabm_pfi,0.7,0.8239560439560438,0.10480277359221354,0.02343461259827093,0.7749068360821239,0.8730052518299638,20,0.7659972299168974
tabm_pfi,0.8,0.8428571428571429,0.08594532194390787,0.019217958221468236,0.8026334940229968,0.883080791691289,20,0.7910433979686057
xgb_midpoint,0.5,0.43083763329893365,0.06075195981252862,0.011091739600656417,0.408152478684854,0.4535227879130133,30,0.2269204083655466
xgb_midpoint,0.7,0.4909236326109391,0.11859836471963542,0.026519400553341756,0.435417889344307,0.5464293758775711,20,0.2779547553093259
xgb_midpoint,0.8,0.4663231608432847,0.10745471156490151,0.024027603956175255,0.4160328077932147,0.5166135138933546,20,0.3158818097876267
xgb_naive,0.5,0.4237340901272789,0.06397675440949242,0.011680503848682368,0.3998447774209086,0.4476234028336492,30,0.2187778768956289
xgb_naive,0.7,0.47740159221583367,0.11887888402044908,0.026582126575903763,0.42176456187514194,0.5330386225565253,20,0.28296398891966756
xgb_naive,0.8,0.46186274509803915,0.10341010693111267,0.02312320286584901,0.4134653252848551,0.5102601649112232,20,0.31301939058171746
xgb_orbit,0.5,0.42996216030271744,0.06440163152563753,0.011758075442242508,0.40591419587381045,0.45401012473162444,30,0.23529338883932982
xgb_orbit,0.7,0.47794043933362823,0.1254010821230327,0.028040534407913473,0.41925092631940275,0.5366299523478537,20,0.26650507848568783
xgb_orbit,0.8,0.46502063983488134,0.09566702902253832,0.021391798009984093,0.4202470920329418,0.5097941876368208,20,0.3459372114496768
xgb_orbit_student,0.5,0.3386984618408767,0.0703159806995928,0.012837882927421622,0.3124420431354846,0.3649548805462688,30,0.10163296659728427
xgb_orbit_student,0.7,0.39160990712074306,0.08077127934789116,0.018061007125150953,0.3538077847609631,0.42941202948052304,20,0.1691828254847647
xgb_orbit_student,0.8,0.39119711042311667,0.07740487080632685,0.01730825529125358,0.3549705157586838,0.4274237050875495,20,0.22571560480147745
xgb_pfi,0.5,0.7853479853479856,0.04335832076111815,0.007916110112136325,0.7691577222962579,0.8015382483997132,30,0.766631975418773
xgb_pfi,0.7,0.8362637362637362,0.09061069203174103,0.020261166687127147,0.7938566270172037,0.8786708455102686,20,0.8253924284395199
xgb_pfi,0.8,0.823076923076923,0.09789345954243368,0.021889643008950715,0.7772613737167795,0.8688924724370666,20,0.8361265004616805
xgb_shap,0.5,0.7681501831501834,0.04832030817418377,0.008822040924200573,0.7501070835479006,0.7861932827524661,30,0.7438943403707008
xgb_shap,0.7,0.847032967032967,0.12344487673225925,0.02760311358474138,0.7892589863235399,0.9048069477423942,20,0.8168051708217913
xgb_shap,0.8,0.8219780219780219,0.0858343244522314,0.01919313842779618,0.7818063215690569,0.862149722386987,20,0.8454293628808864
