scene,method,rule,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,size_mean,size_sd,size_se,size_ci_low,size_ci_high,size_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n,nonempty_fraction,null_fdr_cp_low,null_fdr_cp_high
linear_sparse,xgb_orbit_student,native10,0.031153846153846153,0.12438300298943536,0.012438300298943536,0.006473559852726872,0.055834132454965435,100,0.06,0.23868325657594203,0.023868325657594204,0.012640063626071951,0.10735993637392804,100.0,0.63,2.5212430796467564,0.25212430796467566,0.129730674249095,1.130269325750905,100,,,,,,,0.06,,
linear_sparse,xgb_orbit_student,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7476145505786543,0.03260743860114287,0.0032607438601142866,0.7411445273368877,0.7540845738204209,100.0,1.0,,
linear_sparse,xgb_orbit_student,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,xgb_pfi,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7490193791943426,0.032993554694615186,0.0032993554694615186,0.7424727421427841,0.755566016245901,100.0,1.0,,
linear_sparse,xgb_pfi,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,xgb_shap,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7494955763648989,0.03233555972138301,0.003233555972138301,0.74307949979133,0.7559116529384678,100.0,1.0,,
linear_sparse,xgb_shap,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
misspecified_t,deep_lasso,top12,0.4425,0.102367458309578,0.0102367458309578,0.4221880753939277,0.4628119246060723,100,0.669,0.12284094997149358,0.012284094997149358,0.6446256904727132,0.6933743095272868,100.0,12.0,0.0,0.0,12.0,12.0,100,1.0059558115343112,0.19495365351188484,0.019495365351188485,0.967272777128628,1.0446388459399945,100.0,1.0,,
misspecified_t,deep_lasso,top8,0.30125,0.1580090379079819,0.01580090379079819,0.26989757884914045,0.3326024211508596,100,0.5589999999999999,0.1264072303263855,0.012640723032638551,0.5339180630793123,0.5840819369206875,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
misspecified_t,lasso_pair_q20,native,0.1545580808080808,0.286466034310139,0.0286466034310139,0.09771700467711623,0.21139915693904537,100,0.079,0.18218372345220385,0.018218372345220384,0.04285079676371672,0.11514920323628328,100.0,2.12,4.34213558219241,0.43421355821924096,1.2584260972064798,2.9815739027935204,100,1.2047056502413567,0.24975515777784246,0.024975515777784247,1.1551488084624046,1.2542624920203087,100.0,0.24,,
misspecified_t,lasso_pair_q20,native10,0.005454545454545454,0.05454545454545456,0.005454545454545456,-0.005368456099138272,0.01627754700822918,100,0.005,0.049999999999999996,0.004999999999999999,-0.004921084757543412,0.014921084757543411,100.0,0.11,1.1000000000000003,0.11000000000000003,-0.10826386466595515,0.32826386466595514,100,,,,,,,0.01,,
misspecified_t,lasso_pair_q20,top12,0.6566666666666667,0.10276753975761943,0.010276753975761943,0.6362753572214757,0.6770579761118578,100,0.41200000000000003,0.12332104770914334,0.012332104770914334,0.3875304286657707,0.43646957133422937,100.0,12.0,0.0,0.0,12.0,12.0,100,1.1060125407806607,0.20927973006653322,0.020927973006653323,1.064486901980143,1.1475381795811783,100.0,1.0,,
misspecified_t,lasso_pair_q20,top8,0.635,0.1406604192207372,0.014066041922073719,0.6070899211775895,0.6629100788224105,100,0.29200000000000004,0.11252833537658977,0.011252833537658977,0.2696719369420717,0.3143280630579284,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
misspecified_t,linear_orbit_student,native,0.07548809523809523,0.2076031038680681,0.02076031038680681,0.03429513545001138,0.11668105502617908,100,0.037000000000000005,0.10215357818184118,0.010215357818184117,0.016730513851432326,0.05726948614856768,100.0,1.0,2.8709622502610936,0.2870962250261094,0.43033880358904253,1.5696611964109575,100,1.216803064294497,0.2498250445450283,0.02498250445450283,1.1672323554647313,1.2663737731242626,100.0,0.13,,
misspecified_t,linear_orbit_student,native10,0.006,0.059999999999999984,0.005999999999999998,-0.005905301709052093,0.017905301709052093,100,0.004,0.03999999999999999,0.003999999999999998,-0.003936867806034727,0.011936867806034727,100.0,0.1,1.0000000000000002,0.10000000000000002,-0.0984216951508683,0.2984216951508683,100,,,,,,,0.01,,
misspecified_t,linear_orbit_student,top12,0.6366666666666667,0.117565083343435,0.0117565083343435,0.6133392035391092,0.6599941297942242,100,0.43599999999999994,0.14107810001212204,0.014107810001212204,0.40800704424693096,0.4639929557530689,100.0,12.0,0.0,0.0,12.0,12.0,100,1.1060438273078355,0.20625569213027536,0.020625569213027536,1.0651182232408307,1.1469694313748402,100.0,1.0,,
misspecified_t,linear_orbit_student,top8,0.6125,0.15539539012701528,0.015539539012701529,0.5816661832723672,0.6433338167276329,100,0.30999999999999994,0.1243163121016122,0.01243163121016122,0.28533294661789366,0.3346670533821062,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
misspecified_t,tabm_midpoint,native,0.1390487567987568,0.19176001687650782,0.01917600168765078,0.10099940918796102,0.1770981044095526,100,0.371,0.28223315814332584,0.028223315814332583,0.3149988183334182,0.4270011816665818,100.0,5.02,4.26870216597717,0.426870216597717,4.172996880132627,5.867003119867372,100,1.065507381895416,0.22129014085329238,0.02212901408532924,1.0215986170271312,1.1094161467637007,100.0,0.67,,
