scene,rule,metric,candidate,comparator,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p_within_scene_rule_metric
global_null,top12,rmse,tabm_orbit_student,linear_orbit_student,0.0007252085747841885,0.009110342992925057,0.0009110342992925057,-0.001082481125277836,0.002532898274846213,100,0.4279205544084843,1.0
global_null,top12,rmse,tabm_orbit_student,tabm_midpoint,-0.00025052708152903283,0.006148623790015803,0.0006148623790015803,-0.001470547436788925,0.0009694932737308593,100,0.6845555458516488,1.0
global_null,top12,rmse,tabm_orbit_student,tabm_orbit,-0.0006392572200140201,0.004168314364765415,0.00041683143647654154,-0.0014663412221924885,0.00018782678216444832,100,0.1283150315019967,1.0
global_null,top12,rmse,tabm_orbit_student,xgb_orbit_student,-0.001509529720809527,0.010126394064137727,0.0010126394064137727,-0.003518825996781425,0.000499766555162371,100,0.1392227199806062,1.0
global_null,top12,rmse,tabm_orbit_student,xgb_shap,-0.0019527540995080972,0.010335689015653182,0.0010335689015653182,-0.004003579034546211,9.807083553001628e-05,100,0.06177368370546538,0.5559631533491884
global_null,top12,rmse,xgb_orbit_student,lasso_pair_q20,0.0015863861281080927,0.01080898605443047,0.001080898605443047,-0.0005583512076740966,0.003731123463890282,100,0.14536788052027252,1.0
global_null,top12,rmse,xgb_orbit_student,linear_orbit_student,0.0022347382955937157,0.01067611407254006,0.001067611407254006,0.00011636564369627749,0.0043531109474911536,100,0.03888621829256532,0.3888621829256532
global_null,top12,rmse,xgb_orbit_student,xgb_orbit,-0.00027606908201161185,0.0041067362755765405,0.000410673627557654,-0.0010909346553490723,0.0005387964913258485,100,0.50300015338465,1.0
global_null,top12,rmse,xgb_orbit_student,xgb_shap,-0.0004432243786985701,0.010463531750619386,0.0010463531750619386,-0.002519416085921401,0.0016329673285242607,100,0.6727839780244732,1.0
global_null,top8,FDP,tabm_orbit_student,lasso_pair_q20,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_orbit_student,linear_orbit_student,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_orbit_student,tabm_midpoint,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_orbit_student,tabm_orbit,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_orbit_student,xgb_orbit_student,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_orbit_student,xgb_shap,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,xgb_orbit_student,lasso_pair_q20,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,xgb_orbit_student,linear_orbit_student,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,xgb_orbit_student,xgb_orbit,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,xgb_orbit_student,xgb_shap,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
high_correlation,native,FDP,tabm_orbit_student,lasso_pair_q20,0.022316747007149487,0.21242617149690707,0.021242617149690706,-0.019833214035675867,0.06446670804997484,100,0.29601620795221356,1.0
high_correlation,native,FDP,tabm_orbit_student,linear_orbit_student,0.0025967004128768867,0.1982261364686907,0.019822613646869068,-0.03673566560844807,0.04192906643420184,100,0.8960436123822405,1.0
high_correlation,native,FDP,tabm_orbit_student,tabm_midpoint,0.015510186193235732,0.14476741260246867,0.014476741260246867,-0.013214809217951273,0.04423518160442273,100,0.2866005830171312,1.0
high_correlation,native,FDP,tabm_orbit_student,tabm_orbit,0.008672063531583658,0.14588628605690543,0.014588628605690542,-0.020274940647091996,0.03761906771025931,100,0.5535739806324588,1.0
high_correlation,native,FDP,tabm_orbit_student,xgb_orbit_student,0.025812379341791106,0.25725158449223606,0.025725158449223608,-0.02523191613340519,0.07685667481698741,100,0.31811869508193935,1.0
high_correlation,native,FDP,xgb_orbit_student,lasso_pair_q20,-0.0034956323346416224,0.24047257694590884,0.024047257694590884,-0.05121060868954646,0.04421934402026321,100,0.8847181600743885,1.0
high_correlation,native,FDP,xgb_orbit_student,linear_orbit_student,-0.023215678928914216,0.235974710311286,0.0235974710311286,-0.07003818096161467,0.023606823103786232,100,0.32760198735304435,1.0
high_correlation,native,FDP,xgb_orbit_student,xgb_orbit,-0.02646463087136462,0.17869517162506496,0.017869517162506496,-0.061921629740485346,0.008992367997756105,100,0.14178414384356713,1.0
high_correlation,native,power,tabm_orbit_student,lasso_pair_q20,-0.18899999999999997,0.32377040125260487,0.032377040125260485,-0.25324307185621864,-0.12475692814378131,100,6.731804331545097e-08,1.3463608663090194e-07
