method,fraction,group,run,native_size
tabm_sko_scale,0.5,7,half_07_A,0.0
tabm_sko_quad_scale,0.5,7,half_07_A,0.0
xgb_sko_ridge,0.5,7,half_07_B,0.0
xgb_sko_quad,0.5,7,half_07_B,0.0
xgb_sko_scale,0.5,7,half_07_B,0.0
xgb_sko_quad_scale,0.5,7,half_07_B,0.0
tabm_sko_ridge,0.5,7,half_07_B,0.0
tabm_sko_quad,0.5,7,half_07_B,0.0
tabm_sko_scale,0.5,7,half_07_B,0.0
tabm_sko_quad_scale,0.5,7,half_07_B,0.0
xgb_sko_ridge,0.5,8,half_08_A,0.0
xgb_sko_quad,0.5,8,half_08_A,0.0
xgb_sko_scale,0.5,8,half_08_A,0.0
xgb_sko_quad_scale,0.5,8,half_08_A,0.0
tabm_sko_ridge,0.5,8,half_08_A,0.0
tabm_sko_quad,0.5,8,half_08_A,0.0
tabm_sko_scale,0.5,8,half_08_A,5.0
tabm_sko_quad_scale,0.5,8,half_08_A,0.0
xgb_sko_ridge,0.5,8,half_08_B,6.0
xgb_sko_quad,0.5,8,half_08_B,6.0
xgb_sko_scale,0.5,8,half_08_B,0.0
xgb_sko_quad_scale,0.5,8,half_08_B,0.0
tabm_sko_ridge,0.5,8,half_08_B,0.0
tabm_sko_quad,0.5,8,half_08_B,0.0
tabm_sko_scale,0.5,8,half_08_B,0.0
tabm_sko_quad_scale,0.5,8,half_08_B,10.0
xgb_sko_ridge,0.5,9,half_09_A,5.0
xgb_sko_quad,0.5,9,half_09_A,0.0
xgb_sko_scale,0.5,9,half_09_A,0.0
xgb_sko_quad_scale,0.5,9,half_09_A,5.0
tabm_sko_ridge,0.5,9,half_09_A,5.0
tabm_sko_quad,0.5,9,half_09_A,7.0
tabm_sko_scale,0.5,9,half_09_A,0.0
tabm_sko_quad_scale,0.5,9,half_09_A,0.0
xgb_sko_ridge,0.5,9,half_09_B,0.0
xgb_sko_quad,0.5,9,half_09_B,0.0
xgb_sko_scale,0.5,9,half_09_B,0.0
xgb_sko_quad_scale,0.5,9,half_09_B,13.0
tabm_sko_ridge,0.5,9,half_09_B,0.0
tabm_sko_quad,0.5,9,half_09_B,11.0
tabm_sko_scale,0.5,9,half_09_B,9.0
tabm_sko_quad_scale,0.5,9,half_09_B,0.0
xgb_sko_ridge,0.5,10,half_10_A,0.0
xgb_sko_quad,0.5,10,half_10_A,0.0
xgb_sko_scale,0.5,10,half_10_A,0.0
xgb_sko_quad_scale,0.5,10,half_10_A,8.0
tabm_sko_ridge,0.5,10,half_10_A,0.0
tabm_sko_quad,0.5,10,half_10_A,0.0
tabm_sko_scale,0.5,10,half_10_A,0.0
tabm_sko_quad_scale,0.5,10,half_10_A,0.0
xgb_sko_ridge,0.5,10,half_10_B,0.0
xgb_sko_quad,0.5,10,half_10_B,0.0
xgb_sko_scale,0.5,10,half_10_B,0.0
xgb_sko_quad_scale,0.5,10,half_10_B,0.0
tabm_sko_ridge,0.5,10,half_10_B,0.0
tabm_sko_quad,0.5,10,half_10_B,0.0
tabm_sko_scale,0.5,10,half_10_B,0.0
tabm_sko_quad_scale,0.5,10,half_10_B,6.0
xgb_sko_ridge,0.5,11,half_11_A,0.0
xgb_sko_quad,0.5,11,half_11_A,7.0
