method,scene,rep,rule,FDP,power,size,false_count,rmse,theory_regime,nominal_invalid_control
tabm_sko_quad_scale,nonlinear_weak,42,native,0.0,0.0,0,0,1.811944997444927,,
tabm_sko_quad_scale,nonlinear_weak,42,native10,0.0,0.0,0,0,,,
xgb_sko_ridge,misspecified_t,24,top12,0.3333333333333333,0.8,12,4,1.4442728597367867,,
xgb_sko_ridge,misspecified_t,24,top8,0.25,0.6,8,2,,,
xgb_sko_ridge,misspecified_t,24,native,0.0,0.6,6,0,1.608442543796868,,
xgb_sko_ridge,misspecified_t,24,native10,0.0,0.0,0,0,,,
xgb_sko_quad,misspecified_t,24,top12,0.3333333333333333,0.8,12,4,1.4471713680485412,,
xgb_sko_quad,misspecified_t,24,top8,0.0,0.8,8,0,,,
xgb_sko_quad,misspecified_t,24,native,0.0,0.7,7,0,1.4613649230643804,,
xgb_sko_quad,misspecified_t,24,native10,0.0,0.0,0,0,,,
xgb_sko_scale,misspecified_t,24,top12,0.4166666666666667,0.7,12,5,1.4900246661783991,,
xgb_sko_scale,misspecified_t,24,top8,0.125,0.7,8,1,,,
xgb_sko_scale,misspecified_t,24,native,0.3,0.7,10,3,1.4814073296166643,,
xgb_sko_scale,misspecified_t,24,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,misspecified_t,24,top12,0.3333333333333333,0.8,12,4,1.449550055526454,,
xgb_sko_quad_scale,misspecified_t,24,top8,0.0,0.8,8,0,,,
xgb_sko_quad_scale,misspecified_t,24,native,0.0,0.7,7,0,1.4613649230643804,,
xgb_sko_quad_scale,misspecified_t,24,native10,0.0,0.0,0,0,,,
tabm_sko_ridge,misspecified_t,24,top12,0.5833333333333334,0.5,12,7,1.5875964368367321,,
tabm_sko_ridge,misspecified_t,24,top8,0.375,0.5,8,3,,,
tabm_sko_ridge,misspecified_t,24,native,0.0,0.0,0,0,1.719073785223606,,
tabm_sko_ridge,misspecified_t,24,native10,0.0,0.0,0,0,,,
tabm_sko_quad,misspecified_t,24,top12,0.3333333333333333,0.8,12,4,1.4394983900489153,,
tabm_sko_quad,misspecified_t,24,top8,0.125,0.7,8,1,,,
tabm_sko_quad,misspecified_t,24,native,0.0,0.6,6,0,1.4464345917703765,,
tabm_sko_quad,misspecified_t,24,native10,0.0,0.0,0,0,,,
tabm_sko_scale,misspecified_t,24,top12,0.5833333333333334,0.5,12,7,1.6511198658386421,,
tabm_sko_scale,misspecified_t,24,top8,0.375,0.5,8,3,,,
tabm_sko_scale,misspecified_t,24,native,0.0,0.0,0,0,1.719073785223606,,
tabm_sko_scale,misspecified_t,24,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,misspecified_t,24,top12,0.3333333333333333,0.8,12,4,1.4400226357564712,,
tabm_sko_quad_scale,misspecified_t,24,top8,0.125,0.7,8,1,,,
tabm_sko_quad_scale,misspecified_t,24,native,0.0,0.5,5,0,1.4399338485072626,,
tabm_sko_quad_scale,misspecified_t,24,native10,0.0,0.0,0,0,,,
xgb_sko_ridge,mixed_copula,81,top12,0.4166666666666667,0.7,12,5,1.0228297149232513,,
xgb_sko_ridge,mixed_copula,81,top8,0.125,0.7,8,1,,,
xgb_sko_ridge,mixed_copula,81,native,0.0,0.0,0,0,1.2678869208047299,,
xgb_sko_ridge,mixed_copula,81,native10,0.0,0.0,0,0,,,
xgb_sko_quad,mixed_copula,81,top12,0.25,0.9,12,3,0.9071238642392292,,
xgb_sko_quad,mixed_copula,81,top8,0.0,0.8,8,0,,,
xgb_sko_quad,mixed_copula,81,native,0.0,0.9,9,0,0.9060302135937741,,
xgb_sko_quad,mixed_copula,81,native10,0.0,0.0,0,0,,,
xgb_sko_scale,mixed_copula,81,top12,0.25,0.9,12,3,0.9096691745380197,,
xgb_sko_scale,mixed_copula,81,top8,0.0,0.8,8,0,,,
xgb_sko_scale,mixed_copula,81,native,0.18181818181818182,0.9,11,2,0.8939038620684233,,
xgb_sko_scale,mixed_copula,81,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,mixed_copula,81,top12,0.16666666666666666,1.0,12,2,0.8858067723093984,,
xgb_sko_quad_scale,mixed_copula,81,top8,0.0,0.8,8,0,,,
xgb_sko_quad_scale,mixed_copula,81,native,0.1,0.9,10,1,0.9047955540510223,,
xgb_sko_quad_scale,mixed_copula,81,native10,0.1,0.9,10,1,,,
tabm_sko_ridge,mixed_copula,81,top12,0.4166666666666667,0.7,12,5,1.041920710484615,,
tabm_sko_ridge,mixed_copula,81,top8,0.375,0.5,8,3,,,
tabm_sko_ridge,mixed_copula,81,native,0.0,0.0,0,0,1.2678869208047299,,
tabm_sko_ridge,mixed_copula,81,native10,0.0,0.0,0,0,,,
tabm_sko_quad,mixed_copula,81,top12,0.25,0.9,12,3,0.9001927484789543,,
tabm_sko_quad,mixed_copula,81,top8,0.0,0.8,8,0,,,
tabm_sko_quad,mixed_copula,81,native,0.0,0.9,9,0,0.8935269512734365,,
tabm_sko_quad,mixed_copula,81,native10,0.0,0.0,0,0,,,
tabm_sko_scale,mixed_copula,81,top12,0.4166666666666667,0.7,12,5,1.0741203112131337,,
tabm_sko_scale,mixed_copula,81,top8,0.125,0.7,8,1,,,
tabm_sko_scale,mixed_copula,81,native,0.0,0.0,0,0,1.2678869208047299,,
tabm_sko_scale,mixed_copula,81,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,mixed_copula,81,top12,0.25,0.9,12,3,0.8968929409375385,,
tabm_sko_quad_scale,mixed_copula,81,top8,0.0,0.8,8,0,,,
tabm_sko_quad_scale,mixed_copula,81,native,0.0,0.9,9,0,0.8935269512734365,,
tabm_sko_quad_scale,mixed_copula,81,native10,0.0,0.0,0,0,,,
xgb_sko_ridge,high_correlation,93,top12,0.16666666666666666,1.0,12,2,0.8931348445581885,,
xgb_sko_ridge,high_correlation,93,top8,0.0,0.8,8,0,,,
xgb_sko_ridge,high_correlation,93,native,0.0,1.0,10,0,0.8943698469808394,,
xgb_sko_ridge,high_correlation,93,native10,0.0,1.0,10,0,,,
