scene,rule,metric,candidate,comparator,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p
global_null,top12,rmse,xgb_sko_quad_scale,xgb_sko_ridge,-0.0005622620914464916,0.008453184373238111,0.0008453184373238111,-0.0022395572642072274,0.0011150330813142445,100,0.5075022686943773,1.0
global_null,top12,rmse,xgb_sko_quad_scale,xgb_sko_quad,0.0002853724502028787,0.00766791485760612,0.000766791485760612,-0.0012361082141158564,0.001806853114521614,100,0.7105659532083861,1.0
global_null,top12,rmse,xgb_sko_quad_scale,xgb_sko_scale,0.00038506325777822205,0.008521786152930283,0.0008521786152930283,-0.001305843996399401,0.0020759705119558452,100,0.6523601008319186,1.0
global_null,top12,rmse,tabm_sko_quad_scale,tabm_sko_ridge,0.00019142061575876278,0.00826992880911101,0.000826992880911101,-0.001449512677322045,0.0018323539088395708,100,0.8174306420000792,1.0
global_null,top12,rmse,tabm_sko_quad_scale,tabm_sko_quad,-0.0001864498085564381,0.006835904840644566,0.0006835904840644567,-0.0015428416349271591,0.0011699420178142828,100,0.7856129405199914,1.0
global_null,top12,rmse,tabm_sko_quad_scale,tabm_sko_scale,3.556209943118782e-05,0.008134068419994213,0.0008134068419994213,-0.0015784135449372087,0.0016495377437995842,100,0.9652157042665731,1.0
global_null,top12,rmse,tabm_sko_quad_scale,tabm_orbit,-0.0001893115757791086,0.010154613050651117,0.0010154613050651117,-0.002204207110890433,0.0018255839593322156,100,0.8524897315529334,1.0
global_null,top12,rmse,tabm_sko_quad_scale,tabm_orbit_student,0.0004499456442349126,0.010208848814210036,0.0010208848814210036,-0.0015757114430195742,0.0024756027314893994,100,0.6603615679288046,1.0
global_null,top12,rmse,tabm_sko_quad_scale,xgb_shap,-0.0015028084552731824,0.010191110393336316,0.0010191110393336317,-0.003524945854988606,0.0005193289444422413,100,0.14348595916194942,1.0
global_null,top8,FDP,xgb_sko_quad_scale,xgb_sko_ridge,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,xgb_sko_quad_scale,xgb_sko_quad,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,xgb_sko_quad_scale,xgb_sko_scale,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_sko_quad_scale,tabm_sko_ridge,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_sko_quad_scale,tabm_sko_quad,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_sko_quad_scale,tabm_sko_scale,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_sko_quad_scale,tabm_orbit,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_sko_quad_scale,tabm_orbit_student,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
global_null,top8,FDP,tabm_sko_quad_scale,xgb_shap,0.0,0.0,0.0,0.0,0.0,100,1.0,1.0
high_correlation,native,FDP,xgb_sko_quad_scale,xgb_sko_ridge,0.0067316694743165305,0.15989580338586268,0.015989580338586266,-0.024995126881016284,0.038458465829649346,100,0.6746650905604836,1.0
high_correlation,native,FDP,xgb_sko_quad_scale,xgb_sko_quad,-0.0033481526643291343,0.17235286394950952,0.017235286394950953,-0.03754670009329779,0.03085039476463952,100,0.8463691915207652,1.0
high_correlation,native,FDP,xgb_sko_quad_scale,xgb_sko_scale,0.004838778868190636,0.1622759901258872,0.01622759901258872,-0.027360298174873465,0.03703785591125473,100,0.766189126189315,1.0
high_correlation,native,FDP,tabm_sko_quad_scale,tabm_sko_ridge,-0.019865759784877427,0.12140920012872189,0.012140920012872189,-0.043955979081329435,0.004224459511574585,100,0.104959514265437,0.5326323218713098
high_correlation,native,FDP,tabm_sko_quad_scale,tabm_sko_quad,-0.008086432902609372,0.0905240607232587,0.00905240607232587,-0.026048370483258497,0.009875504678039755,100,0.37386771454914247,1.0
high_correlation,native,FDP,tabm_sko_quad_scale,tabm_sko_scale,-0.02657313356578063,0.10854174436487347,0.010854174436487347,-0.04811017047729103,-0.005036096654270232,100,0.016117056827681043,0.12893645462144834
high_correlation,native,FDP,tabm_sko_quad_scale,tabm_orbit,-0.03431363731441129,0.19346919338385998,0.019346919338385997,-0.07270212262510793,0.004074847996285352,100,0.07920472289822726,0.5326323218713098
high_correlation,native,FDP,tabm_sko_quad_scale,tabm_orbit_student,-0.04298570084599495,0.2397946252988278,0.02397946252988278,-0.09056615688585565,0.004594755193865742,100,0.0760903316959014,0.5326323218713098
high_correlation,native,power,xgb_sko_quad_scale,xgb_sko_ridge,0.009999999999999997,0.2564323999762428,0.02564323999762428,-0.04088175149489157,0.06088175149489156,100,0.6973991774120936,1.0
high_correlation,native,power,xgb_sko_quad_scale,xgb_sko_quad,-0.01499999999999999,0.26718699236468996,0.026718699236468996,-0.06801569594726387,0.03801569594726389,100,0.5757904091396696,1.0
high_correlation,native,power,xgb_sko_quad_scale,xgb_sko_scale,-0.03299999999999999,0.20795055744920318,0.02079505574492032,-0.07426190211663891,0.00826190211663893,100,0.11572070100037361,0.46288280400149445
high_correlation,native,power,tabm_sko_quad_scale,tabm_sko_ridge,-0.033,0.16333333333333333,0.01633333333333333,-0.06540887687464181,-0.0005911231253581881,100,0.046042124507727177,0.27625274704636305
high_correlation,native,power,tabm_sko_quad_scale,tabm_sko_quad,0.007999999999999998,0.11071849826738918,0.011071849826738919,-0.013968952110773836,0.029968952110773835,100,0.4716579013505551,1.0
high_correlation,native,power,tabm_sko_quad_scale,tabm_sko_scale,-0.03899999999999999,0.19740488055944025,0.019740488055944024,-0.07816941103165881,0.00016941103165882265,100,0.0509798942391109,0.27625274704636305
high_correlation,native,power,tabm_sko_quad_scale,tabm_orbit,-0.087,0.29700695499117746,0.029700695499117746,-0.14593262348094707,-0.028067376519052924,100,0.004217915420399872,0.029525407942799106
high_correlation,native,power,tabm_sko_quad_scale,tabm_orbit_student,0.18000000000000005,0.36954790834972473,0.036954790834972474,0.10667367758578995,0.25332632241421016,100,4.219491175639036e-06,3.375592940511229e-05
high_correlation,native,rmse,xgb_sko_quad_scale,xgb_sko_ridge,-0.003645673132383388,0.16837818255268272,0.016837818255268273,-0.03705555754090905,0.02976421127614227,100,0.8290303431185886,1.0
high_correlation,native,rmse,xgb_sko_quad_scale,xgb_sko_quad,0.020517627102008888,0.18253290982691858,0.018253290982691857,-0.015700862286668876,0.05673611649068665,100,0.26370963091288985,0.7911288927386695
high_correlation,native,rmse,xgb_sko_quad_scale,xgb_sko_scale,0.023095667450294864,0.13063630981185265,0.013063630981185265,-0.0028254105908269433,0.04901674549141667,100,0.08015229197484905,0.4809137518490943
high_correlation,native,rmse,tabm_sko_quad_scale,tabm_sko_ridge,0.014681104379863537,0.10798656845534566,0.010798656845534566,-0.006745773586571427,0.0361079823462985,100,0.17706707288921125,0.708268291556845
high_correlation,native,rmse,tabm_sko_quad_scale,tabm_sko_quad,-0.005286037962854665,0.08032388691626467,0.008032388691626468,-0.02122403976588655,0.01065196384017722,100,0.5120074580002365,1.0
high_correlation,native,rmse,tabm_sko_quad_scale,tabm_sko_scale,0.01955638284531713,0.12507843543733815,0.012507843543733816,-0.005261892340977941,0.044374658031612196,100,0.12111915619014359,0.605595780950718
high_correlation,native,rmse,tabm_sko_quad_scale,tabm_orbit,0.04827769841044022,0.16671484287472876,0.016671484287472876,0.015197856680425885,0.08135754014045454,100,0.004653955934198742,0.0325776915393912
high_correlation,native,rmse,tabm_sko_quad_scale,tabm_orbit_student,-0.0756484766493344,0.20343935445241126,0.020343935445241126,-0.11601525822018019,-0.03528169507848861,100,0.00033239184019479435,0.002659134721558355
high_correlation,native10,FDP,xgb_sko_quad_scale,xgb_sko_ridge,-0.01047369297369297,0.11224543419963409,0.01122454341996341,-0.03274562230052961,0.01179823635314367,100,0.35303524284761323,1.0
high_correlation,native10,FDP,xgb_sko_quad_scale,xgb_sko_quad,-0.00627039627039627,0.1033103891886796,0.01033103891886796,-0.02676941881991001,0.014228626279117473,100,0.5452753568345488,1.0
high_correlation,native10,FDP,xgb_sko_quad_scale,xgb_sko_scale,-0.019273643023643025,0.11066165095026867,0.011066165095026868,-0.04123131539338903,0.002684029346102977,100,0.08467170613163318,0.5927019429214322
high_correlation,native10,FDP,tabm_sko_quad_scale,tabm_sko_ridge,-0.007723628796384212,0.1061451213816586,0.01061451213816586,-0.028785123712927584,0.01333786612015916,100,0.4685464809091211,1.0
high_correlation,native10,FDP,tabm_sko_quad_scale,tabm_sko_quad,-0.0051573426573426565,0.08722270410037411,0.008722270410037411,-0.022464219460581476,0.012149534145896161,100,0.5556775407973924,1.0
high_correlation,native10,FDP,tabm_sko_quad_scale,tabm_sko_scale,-0.005653013653013651,0.08665188489383002,0.008665188489383002,-0.022846627541665318,0.011540600235638014,100,0.5156666524949325,1.0
high_correlation,native10,FDP,tabm_sko_quad_scale,tabm_orbit,-0.029099470790647248,0.14838845492149036,0.014838845492149037,-0.05854295955698757,0.0003440179756930735,100,0.05268465805887681,0.42147726447101447
high_correlation,native10,FDP,tabm_sko_quad_scale,tabm_orbit_student,0.0064931734931734965,0.14785147849352392,0.014785147849352392,-0.022843767500073664,0.03583011448642066,100,0.661496392012749,1.0
high_correlation,native10,power,xgb_sko_quad_scale,xgb_sko_ridge,0.012000000000000002,0.46172272933859215,0.04617227293385921,-0.079615806645049,0.10361580664504899,100,0.7954835485023771,1.0
high_correlation,native10,power,xgb_sko_quad_scale,xgb_sko_quad,0.023000000000000007,0.39819161926962454,0.03981916192696246,-0.056009856090348045,0.10200985609034806,100,0.564837932280385,1.0
high_correlation,native10,power,xgb_sko_quad_scale,xgb_sko_scale,-0.021,0.41226033747934787,0.041226033747934786,-0.10280139500612123,0.06080139500612122,100,0.6116146502061205,1.0
high_correlation,native10,power,tabm_sko_quad_scale,tabm_sko_ridge,-0.066,0.45665007711517247,0.04566500771151725,-0.15660928239196725,0.024609282391967233,100,0.15152943741028338,0.9091766244617003
high_correlation,native10,power,tabm_sko_quad_scale,tabm_sko_quad,-0.034999999999999996,0.36580477213006846,0.03658047721300685,-0.10758360298032527,0.03758360298032528,100,0.3410016478190333,1.0
high_correlation,native10,power,tabm_sko_quad_scale,tabm_sko_scale,-0.006999999999999994,0.43140714089143356,0.043140714089143356,-0.0926005361958677,0.07860053619586771,100,0.8714320554263477,1.0
high_correlation,native10,power,tabm_sko_quad_scale,tabm_orbit,-0.13699999999999998,0.508643472206399,0.050864347220639906,-0.23792589998261723,-0.03607410001738273,100,0.008307035417882493,0.05814924792517745
high_correlation,native10,power,tabm_sko_quad_scale,tabm_orbit_student,0.21099999999999997,0.4911119109642008,0.04911119109642008,0.11355274211770096,0.308447257882299,100,4.0628932750410057e-05,0.00032503146200328045
high_correlation,top12,FDP,xgb_sko_quad_scale,xgb_sko_ridge,0.009166666666666668,0.07574452749583155,0.007574452749583155,-0.005862690877457779,0.024196024210791117,100,0.22908052433462786,0.9163220973385114
high_correlation,top12,FDP,xgb_sko_quad_scale,xgb_sko_quad,-0.006666666666666665,0.056407607481776624,0.005640760748177662,-0.017859159762605582,0.004525826429272251,100,0.2400869146782734,0.9163220973385114
high_correlation,top12,FDP,xgb_sko_quad_scale,xgb_sko_scale,0.00666666666666667,0.07554515674132066,0.007554515674132066,-0.008323131394384219,0.02165646472771756,100,0.3796580634967882,0.9163220973385114
high_correlation,top12,FDP,tabm_sko_quad_scale,tabm_sko_ridge,0.014999999999999998,0.054767132778448115,0.005476713277844812,0.0041330126755476405,0.025866987324452355,100,0.007312375744493311,0.05118663021145318
high_correlation,top12,FDP,tabm_sko_quad_scale,tabm_sko_quad,0.011666666666666667,0.0459040623530889,0.00459040623530889,0.0025583048002556126,0.020775028533077722,100,0.01258845837320863,0.07553075023925178
high_correlation,top12,FDP,tabm_sko_quad_scale,tabm_sko_scale,0.01416666666666667,0.058092335263665223,0.005809233526366522,0.002639887028377655,0.025693446304955684,100,0.01652370346571571,0.08261851732857856
high_correlation,top12,FDP,tabm_sko_quad_scale,tabm_orbit,0.03250000000000003,0.07574452749583155,0.007574452749583155,0.017470642455875582,0.047529357544124476,100,4.150719576134208e-05,0.00033205756609073665
high_correlation,top12,FDP,tabm_sko_quad_scale,tabm_orbit_student,-0.05083333333333332,0.08775715778775775,0.008775715778775775,-0.06824625734320243,-0.03342040932346421,100,8.224643068289806e-08,7.402178761460825e-07
high_correlation,top12,FDP,tabm_sko_quad_scale,xgb_shap,0.007500000000000015,0.09482617448259403,0.009482617448259404,-0.011315570285508303,0.026315570285508336,100,0.43088087336503056,0.9163220973385114
high_correlation,top12,power,xgb_sko_quad_scale,xgb_sko_ridge,-0.011000000000000001,0.09089343299499786,0.009089343299499786,-0.029035229052949335,0.007035229052949335,100,0.22908052433462786,0.9163220973385114
high_correlation,top12,power,xgb_sko_quad_scale,xgb_sko_quad,0.007999999999999997,0.06768912897813195,0.0067689128978131955,-0.005430991715126706,0.021430991715126697,100,0.24008691467827356,0.9163220973385114
high_correlation,top12,power,xgb_sko_quad_scale,xgb_sko_scale,-0.008000000000000005,0.09065418808958481,0.00906541880895848,-0.025987757673261072,0.009987757673261063,100,0.3796580634967882,0.9163220973385114
high_correlation,top12,power,tabm_sko_quad_scale,tabm_sko_ridge,-0.01799999999999999,0.06572055933413774,0.0065720559334137745,-0.03104038478934282,-0.004959615210657162,100,0.007312375744493345,0.051186630211453414
high_correlation,top12,power,tabm_sko_quad_scale,tabm_sko_quad,-0.013999999999999997,0.05508487482370668,0.005508487482370668,-0.024930034239693262,-0.0030699657603067317,100,0.012588458373208638,0.07553075023925182
high_correlation,top12,power,tabm_sko_quad_scale,tabm_sko_scale,-0.016999999999999998,0.06971080231639827,0.006971080231639827,-0.030832135565946817,-0.0031678644340531782,100,0.016523703465715734,0.08261851732857867
high_correlation,top12,power,tabm_sko_quad_scale,tabm_orbit,-0.03899999999999999,0.09089343299499783,0.009089343299499782,-0.05703522905294932,-0.020964770947050664,100,4.150719576134247e-05,0.00033205756609073974
high_correlation,top12,power,tabm_sko_quad_scale,tabm_orbit_student,0.061,0.1053085893453093,0.01053085893453093,0.040104491188157065,0.08189550881184293,100,8.224643068289806e-08,7.402178761460825e-07
high_correlation,top12,power,tabm_sko_quad_scale,xgb_shap,-0.009000000000000006,0.11379140937911282,0.011379140937911283,-0.031578684342609985,0.01357868434260997,100,0.430880873365031,0.9163220973385114
high_correlation,top12,rmse,xgb_sko_quad_scale,xgb_sko_ridge,-0.00011529787630758958,0.014249778817650773,0.0014249778817650772,-0.002942763144830791,0.0027121673922156117,100,0.9356752473008859,1.0
high_correlation,top12,rmse,xgb_sko_quad_scale,xgb_sko_quad,-0.0010354452547746873,0.010395308855948792,0.0010395308855948792,-0.0030981000595888797,0.0010272095500395051,100,0.3216446449601825,1.0
high_correlation,top12,rmse,xgb_sko_quad_scale,xgb_sko_scale,-0.0013455508491135016,0.01537560176222271,0.001537560176222271,-0.004396403814738409,0.001705302116511406,100,0.38362639915234065,1.0
high_correlation,top12,rmse,tabm_sko_quad_scale,tabm_sko_ridge,0.0007324470269338423,0.010513448599407477,0.0010513448599407476,-0.001353649266042111,0.0028185433199097954,100,0.48763800373032373,1.0
high_correlation,top12,rmse,tabm_sko_quad_scale,tabm_sko_quad,0.0010559107124290712,0.007798433432574009,0.0007798433432574009,-0.000491467668783468,0.0026032890936416105,100,0.17881802042706496,1.0
high_correlation,top12,rmse,tabm_sko_quad_scale,tabm_sko_scale,0.0007477283417446312,0.010760623871057133,0.0010760623871057134,-0.0013874128876314234,0.002882869571120686,100,0.488761609970606,1.0
high_correlation,top12,rmse,tabm_sko_quad_scale,tabm_orbit,0.002874373386758484,0.012338719438239082,0.0012338719438239082,0.0004261037598321162,0.005322643013684852,100,0.021860998250973356,0.1530269877568135
high_correlation,top12,rmse,tabm_sko_quad_scale,tabm_orbit_student,-0.009032678683060538,0.020653071805998922,0.0020653071805998924,-0.01313069620087945,-0.004934661165241627,100,3.0262968452851793e-05,0.0002723667160756661
high_correlation,top12,rmse,tabm_sko_quad_scale,xgb_shap,0.004524999657281628,0.01221519536830036,0.001221519536830036,0.0021012398857044355,0.00694875942885882,100,0.0003490072928224933,0.0027920583425799462
high_correlation,top8,FDP,xgb_sko_quad_scale,xgb_sko_ridge,0.0075,0.1078075820500337,0.01078075820500337,-0.013891363180484007,0.028891363180484006,100,0.488256690003796,1.0
high_correlation,top8,FDP,xgb_sko_quad_scale,xgb_sko_quad,0.0,0.08333333333333333,0.008333333333333333,-0.016535141262572356,0.016535141262572356,100,1.0,1.0
high_correlation,top8,FDP,xgb_sko_quad_scale,xgb_sko_scale,0.01875,0.09295750902884868,0.009295750902884868,0.00030521348149370117,0.0371947865185063,100,0.04639767666679667,0.27838606000078003
high_correlation,top8,FDP,tabm_sko_quad_scale,tabm_sko_ridge,0.0,0.05618332187193684,0.0056183321871936835,-0.01114798996503656,0.01114798996503656,100,1.0,1.0
high_correlation,top8,FDP,tabm_sko_quad_scale,tabm_sko_quad,0.005,0.046736960046021764,0.004673696004602176,-0.0042736268385300405,0.014273626838530042,100,0.28730305647814686,1.0
high_correlation,top8,FDP,tabm_sko_quad_scale,tabm_sko_scale,0.0025,0.05324092372973969,0.0053240923729739684,-0.008064154337853036,0.013064154337853037,100,0.6396994233271646,1.0
high_correlation,top8,FDP,tabm_sko_quad_scale,tabm_orbit,0.02125,0.08152391667418213,0.008152391667418213,0.005073886258170648,0.03742611374182936,100,0.010556867303158387,0.07389807112210871
