method,run,group,fraction,half,J,set
deep_lasso,half_01_B,1,0.5,B,0.7142857142857143,"[23, 21, 0, 16, 20, 19, 25, 15, 27, 8, 9, 18]"
xgb_naive,half_01_B,1,0.5,B,0.7142857142857143,"[16, 0, 19, 8, 15, 25, 17, 6, 20, 2, 18, 5]"
xgb_midpoint,half_01_B,1,0.5,B,0.5,"[16, 19, 0, 15, 8, 17, 20, 25, 5, 6, 22, 13]"
xgb_orbit,half_01_B,1,0.5,B,0.4117647058823529,"[16, 19, 0, 15, 8, 17, 20, 25, 6, 2, 7, 5]"
xgb_orbit_student,half_01_B,1,0.5,B,0.4117647058823529,"[16, 0, 19, 20, 6, 8, 15, 13, 11, 17, 25, 12]"
tabm_naive,half_01_B,1,0.5,B,0.6,"[16, 19, 0, 15, 8, 18, 20, 3, 27, 24, 25, 6]"
tabm_midpoint,half_01_B,1,0.5,B,0.6,"[16, 19, 0, 15, 8, 20, 27, 3, 22, 18, 6, 24]"
tabm_orbit,half_01_B,1,0.5,B,0.7142857142857143,"[16, 19, 0, 15, 8, 20, 18, 27, 22, 3, 24, 6]"
tabm_orbit_student,half_01_B,1,0.5,B,0.5,"[16, 0, 19, 20, 15, 8, 13, 18, 3, 27, 22, 24]"
lasso_pair_q20,half_02_A,2,0.5,A,0.5,"[0, 21, 20, 16, 27, 14, 26, 23, 2, 25, 28, 5]"
linear_orbit_student,half_02_A,2,0.5,A,0.7142857142857143,"[0, 21, 19, 2, 20, 16, 27, 15, 28, 25, 7, 26]"
xgb_shap,half_02_A,2,0.5,A,0.7142857142857143,"[21, 24, 0, 23, 19, 16, 15, 18, 20, 9, 27, 7]"
xgb_pfi,half_02_A,2,0.5,A,0.8461538461538461,"[21, 0, 24, 23, 19, 15, 16, 18, 20, 27, 2, 28]"
tabm_pfi,half_02_A,2,0.5,A,0.7142857142857143,"[23, 0, 19, 15, 16, 21, 20, 2, 27, 18, 25, 9]"
deep_lasso,half_02_A,2,0.5,A,0.8461538461538461,"[23, 0, 21, 20, 19, 25, 16, 27, 15, 24, 18, 2]"
xgb_naive,half_02_A,2,0.5,A,0.5,"[0, 19, 16, 18, 15, 27, 2, 17, 9, 28, 8, 11]"
xgb_midpoint,half_02_A,2,0.5,A,0.6,"[19, 16, 15, 0, 17, 8, 2, 27, 21, 20, 1, 18]"
xgb_orbit,half_02_A,2,0.5,A,0.6,"[19, 16, 0, 15, 18, 17, 27, 2, 8, 21, 9, 20]"
xgb_orbit_student,half_02_A,2,0.5,A,0.5,"[0, 19, 16, 15, 11, 17, 2, 12, 27, 23, 21, 18]"
tabm_naive,half_02_A,2,0.5,A,0.6,"[19, 16, 15, 0, 18, 2, 27, 23, 17, 8, 20, 21]"
tabm_midpoint,half_02_A,2,0.5,A,0.6,"[19, 16, 0, 15, 18, 2, 20, 17, 23, 3, 21, 13]"
tabm_orbit,half_02_A,2,0.5,A,0.5,"[19, 16, 15, 0, 18, 2, 20, 17, 27, 23, 21, 3]"
tabm_orbit_student,half_02_A,2,0.5,A,0.6,"[0, 19, 16, 15, 2, 21, 23, 20, 13, 17, 18, 3]"
lasso_pair_q20,half_02_B,2,0.5,B,0.5,"[20, 0, 16, 19, 14, 26, 15, 6, 25, 7, 9, 11]"
linear_orbit_student,half_02_B,2,0.5,B,0.6,"[0, 20, 16, 22, 11, 8, 28, 2, 26, 27, 1, 3]"
xgb_shap,half_02_B,2,0.5,B,0.8461538461538461,"[23, 0, 21, 16, 15, 25, 19, 20, 2, 24, 18, 7]"
xgb_pfi,half_02_B,2,0.5,B,0.7142857142857143,"[23, 21, 0, 16, 19, 15, 20, 2, 18, 25, 24, 7]"
tabm_pfi,half_02_B,2,0.5,B,0.8461538461538461,"[0, 23, 21, 15, 16, 20, 19, 2, 24, 25, 18, 26]"
deep_lasso,half_02_B,2,0.5,B,0.8461538461538461,"[23, 21, 0, 20, 25, 16, 15, 19, 24, 2, 18, 7]"
xgb_naive,half_02_B,2,0.5,B,0.4117647058823529,"[16, 0, 19, 15, 18, 28, 8, 27, 3, 20, 6, 22]"
xgb_midpoint,half_02_B,2,0.5,B,0.5,"[16, 19, 0, 15, 28, 8, 20, 17, 6, 18, 27, 21]"
xgb_orbit,half_02_B,2,0.5,B,0.5,"[16, 19, 0, 15, 28, 18, 8, 20, 6, 27, 17, 3]"
xgb_orbit_student,half_02_B,2,0.5,B,0.5,"[16, 19, 0, 28, 15, 14, 20, 8, 6, 18, 27, 21]"
tabm_naive,half_02_B,2,0.5,B,0.7142857142857143,"[16, 0, 19, 15, 20, 18, 27, 22, 8, 5, 3, 2]"
tabm_midpoint,half_02_B,2,0.5,B,0.5,"[16, 0, 19, 15, 20, 27, 18, 22, 5, 28, 14, 25]"
tabm_orbit,half_02_B,2,0.5,B,0.5,"[16, 0, 19, 15, 20, 27, 18, 22, 5, 8, 14, 2]"
tabm_orbit_student,half_02_B,2,0.5,B,0.5,"[16, 0, 19, 20, 27, 18, 15, 22, 5, 14, 11, 8]"
lasso_pair_q20,half_03_A,3,0.5,A,0.5,"[20, 0, 25, 16, 27, 18, 26, 7, 19, 6, 17, 8]"
linear_orbit_student,half_03_A,3,0.5,A,0.6,"[0, 16, 25, 20, 27, 23, 21, 8, 22, 7, 17, 26]"
xgb_shap,half_03_A,3,0.5,A,0.7142857142857143,"[23, 0, 21, 24, 16, 19, 15, 20, 18, 7, 25, 17]"
xgb_pfi,half_03_A,3,0.5,A,0.7142857142857143,"[23, 0, 21, 16, 19, 24, 15, 20, 2, 18, 9, 28]"
tabm_pfi,half_03_A,3,0.5,A,0.8461538461538461,"[23, 0, 16, 15, 19, 21, 20, 24, 27, 2, 25, 22]"
deep_lasso,half_03_A,3,0.5,A,0.8461538461538461,"[23, 0, 21, 20, 16, 24, 25, 19, 27, 15, 18, 2]"
xgb_naive,half_03_A,3,0.5,A,0.6,"[0, 16, 19, 15, 18, 17, 7, 25, 8, 9, 2, 24]"
xgb_midpoint,half_03_A,3,0.5,A,0.6,"[16, 19, 0, 15, 17, 25, 8, 20, 1, 24, 2, 21]"
xgb_orbit,half_03_A,3,0.5,A,0.5,"[16, 19, 0, 15, 17, 25, 24, 8, 2, 20, 21, 9]"
xgb_orbit_student,half_03_A,3,0.5,A,0.6,"[0, 16, 19, 15, 25, 17, 21, 11, 20, 24, 26, 8]"
tabm_naive,half_03_A,3,0.5,A,0.6,"[16, 19, 0, 15, 20, 18, 27, 17, 24, 22, 8, 7]"
tabm_midpoint,half_03_A,3,0.5,A,0.7142857142857143,"[16, 0, 19, 15, 20, 18, 27, 17, 25, 24, 22, 3]"
tabm_orbit,half_03_A,3,0.5,A,0.6,"[16, 0, 19, 15, 20, 27, 18, 24, 17, 25, 23, 8]"
tabm_orbit_student,half_03_A,3,0.5,A,0.5,"[0, 16, 24, 17, 15, 19, 11, 20, 25, 27, 3, 23]"
lasso_pair_q20,half_03_B,3,0.5,B,0.6,"[23, 0, 20, 25, 26, 16, 15, 22, 27, 13, 28, 17]"
linear_orbit_student,half_03_B,3,0.5,B,0.7142857142857143,"[0, 19, 25, 16, 21, 22, 3, 20, 26, 27, 23, 2]"
xgb_shap,half_03_B,3,0.5,B,0.8461538461538461,"[21, 23, 0, 16, 19, 24, 15, 25, 18, 20, 2, 7]"
xgb_pfi,half_03_B,3,0.5,B,0.8461538461538461,"[21, 0, 23, 16, 19, 20, 18, 2, 24, 25, 15, 1]"
tabm_pfi,half_03_B,3,0.5,B,0.8461538461538461,"[23, 0, 21, 15, 16, 19, 20, 2, 24, 25, 18, 8]"
deep_lasso,half_03_B,3,0.5,B,0.8461538461538461,"[23, 21, 0, 25, 20, 15, 19, 16, 27, 24, 9, 18]"
xgb_naive,half_03_B,3,0.5,B,0.6,"[16, 19, 0, 18, 27, 17, 21, 20, 24, 1, 6, 25]"
xgb_midpoint,half_03_B,3,0.5,B,0.4117647058823529,"[16, 19, 0, 15, 18, 27, 17, 21, 1, 6, 24, 25]"
xgb_orbit,half_03_B,3,0.5,B,0.5,"[16, 19, 0, 18, 15, 27, 17, 21, 1, 24, 6, 5]"
xgb_orbit_student,half_03_B,3,0.5,B,0.5,"[19, 0, 16, 12, 20, 27, 21, 18, 6, 11, 15, 24]"
tabm_naive,half_03_B,3,0.5,B,0.3333333333333333,"[15, 19, 16, 0, 27, 25, 5, 28, 24, 18, 23, 20]"
tabm_midpoint,half_03_B,3,0.5,B,0.4117647058823529,"[15, 16, 0, 19, 27, 5, 18, 25, 9, 20, 24, 23]"
tabm_orbit,half_03_B,3,0.5,B,0.4117647058823529,"[15, 0, 16, 19, 5, 27, 18, 25, 20, 9, 24, 23]"
tabm_orbit_student,half_03_B,3,0.5,B,0.3333333333333333,"[0, 16, 15, 5, 19, 25, 27, 21, 20, 12, 23, 24]"
lasso_pair_q20,half_04_A,4,0.5,A,0.6,"[20, 0, 23, 25, 16, 26, 2, 3, 6, 22, 8, 27]"
linear_orbit_student,half_04_A,4,0.5,A,0.7142857142857143,"[0, 21, 23, 20, 16, 19, 25, 8, 2, 27, 26, 18]"
xgb_shap,half_04_A,4,0.5,A,0.8461538461538461,"[21, 0, 24, 16, 23, 19, 25, 15, 20, 1, 18, 7]"
xgb_pfi,half_04_A,4,0.5,A,0.7142857142857143,"[21, 16, 0, 23, 19, 18, 24, 20, 15, 2, 25, 17]"
tabm_pfi,half_04_A,4,0.5,A,0.7142857142857143,"[0, 23, 16, 21, 19, 15, 20, 2, 17, 18, 25, 5]"
deep_lasso,half_04_A,4,0.5,A,0.8461538461538461,"[23, 0, 21, 20, 24, 25, 16, 27, 15, 19, 2, 7]"
xgb_naive,half_04_A,4,0.5,A,0.7142857142857143,"[16, 0, 19, 18, 7, 15, 17, 25, 21, 2, 20, 6]"
xgb_midpoint,half_04_A,4,0.5,A,0.4117647058823529,"[16, 19, 0, 15, 7, 17, 18, 21, 25, 20, 2, 6]"
xgb_orbit,half_04_A,4,0.5,A,0.5,"[16, 19, 0, 15, 18, 7, 17, 25, 21, 2, 20, 6]"
xgb_orbit_student,half_04_A,4,0.5,A,0.6,"[16, 0, 19, 7, 15, 20, 17, 21, 23, 18, 14, 25]"
tabm_naive,half_04_A,4,0.5,A,0.4117647058823529,"[19, 16, 0, 15, 18, 7, 17, 20, 23, 25, 27, 21]"
tabm_midpoint,half_04_A,4,0.5,A,0.4117647058823529,"[19, 16, 0, 15, 18, 20, 7, 27, 17, 23, 2, 26]"
tabm_orbit,half_04_A,4,0.5,A,0.5,"[19, 16, 0, 15, 18, 20, 7, 17, 27, 23, 26, 25]"
tabm_orbit_student,half_04_A,4,0.5,A,0.5,"[0, 16, 19, 18, 23, 20, 21, 25, 17, 15, 14, 7]"
lasso_pair_q20,half_04_B,4,0.5,B,0.4117647058823529,"[20, 0, 25, 27, 21, 5, 16, 26, 28, 14, 3, 4]"
linear_orbit_student,half_04_B,4,0.5,B,0.5,"[0, 25, 20, 16, 27, 21, 23, 26, 22, 7, 1, 3]"
xgb_shap,half_04_B,4,0.5,B,0.6,"[23, 21, 0, 16, 15, 19, 24, 20, 18, 27, 17, 25]"
xgb_pfi,half_04_B,4,0.5,B,0.8461538461538461,"[23, 21, 0, 16, 19, 20, 15, 18, 2, 24, 27, 9]"
tabm_pfi,half_04_B,4,0.5,B,0.7142857142857143,"[23, 0, 16, 15, 21, 19, 20, 2, 25, 1, 24, 27]"
deep_lasso,half_04_B,4,0.5,B,0.8461538461538461,"[23, 21, 0, 16, 15, 25, 20, 19, 27, 24, 18, 4]"
xgb_naive,half_04_B,4,0.5,B,0.4117647058823529,"[0, 16, 15, 19, 18, 17, 3, 27, 9, 22, 12, 25]"
xgb_midpoint,half_04_B,4,0.5,B,0.4117647058823529,"[16, 19, 0, 15, 17, 27, 3, 4, 25, 12, 22, 24]"
xgb_orbit,half_04_B,4,0.5,B,0.4117647058823529,"[16, 0, 19, 15, 18, 27, 17, 4, 3, 12, 25, 22]"
xgb_orbit_student,half_04_B,4,0.5,B,0.4117647058823529,"[0, 16, 19, 15, 25, 12, 20, 18, 27, 17, 3, 24]"
tabm_naive,half_04_B,4,0.5,B,0.5,"[16, 15, 0, 19, 20, 18, 1, 3, 25, 4, 22, 27]"
tabm_midpoint,half_04_B,4,0.5,B,0.5,"[16, 0, 15, 19, 18, 20, 3, 25, 27, 4, 1, 24]"
tabm_orbit,half_04_B,4,0.5,B,0.5,"[16, 0, 15, 19, 20, 3, 18, 27, 25, 4, 1, 24]"
