method,scenario,rule,repetitions,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,power_mean,power_sd,power_se,power_ci_low,power_ci_high,discoveries_mean,discoveries_sd,discoveries_se,discoveries_ci_low,discoveries_ci_high,FDP_gt_0.2_mean,FDP_gt_0.2_sd,FDP_gt_0.2_se,FDP_gt_0.2_ci_low,FDP_gt_0.2_ci_high,rmse_at_12_mean,rmse_at_12_sd,rmse_at_12_se,rmse_at_12_ci_low,rmse_at_12_ci_high
copula_mvr,linear_dense,native,100,0.053120098039215684,0.05342595353156855,0.005342595353156855,0.04251922977443033,0.06372096630400104,0.996,0.0159122171050628,0.0015912217105062802,0.9928426709084048,0.9991573290915952,15.83,0.9645745385422738,0.09645745385422738,15.638607484963076,16.021392515036926,0.0,0.0,0.0,0.0,0.0,1.0985173757025108,0.047295816346172345,0.004729581634617235,1.089132859649559,1.1079018917554626
copula_mvr,linear_dense,top10,100,0.0,0.0,0.0,0.0,0.0,0.6666666666666669,2.2316322462394835e-16,2.2316322462394835e-17,0.6666666666666669,0.6666666666666669,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0985173757025108,0.047295816346172345,0.004729581634617235,1.089132859649559,1.1079018917554626
copula_mvr,linear_dense,top12,100,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0985173757025108,0.047295816346172345,0.004729581634617235,1.089132859649559,1.1079018917554626
copula_mvr,linear_dense,top14,100,0.0,0.0,0.0,0.0,0.0,0.9333333333333336,2.2316322462394835e-16,2.2316322462394835e-17,0.9333333333333336,0.9333333333333336,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0985173757025108,0.047295816346172345,0.004729581634617235,1.089132859649559,1.1079018917554626
copula_mvr,linear_dense,top4,100,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,5.579080615598709e-17,5.579080615598709e-18,0.2666666666666666,0.2666666666666666,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0985173757025108,0.047295816346172345,0.004729581634617235,1.089132859649559,1.1079018917554626
copula_mvr,linear_dense,top8,100,0.0,0.0,0.0,0.0,0.0,0.5333333333333332,1.1158161231197418e-16,1.1158161231197418e-17,0.5333333333333332,0.5333333333333332,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0985173757025108,0.047295816346172345,0.004729581634617235,1.089132859649559,1.1079018917554626
copula_mvr,linear_medium,native,100,0.054931734931734935,0.07295234453461076,0.007295234453461076,0.04045640706394729,0.06940706279952258,0.98,0.14070529413628965,0.014070529413628966,0.9520810170207759,1.007918982979224,10.45,1.7487369179155585,0.17487369179155585,10.10301265637429,10.796987343625709,0.04,0.19694638556693236,0.019694638556693237,0.0009215643219727815,0.07907843567802722,1.0729210191492375,0.03965705862967109,0.003965705862967109,1.0650521983512409,1.0807898399472342
copula_mvr,linear_medium,top10,100,0.001,0.009999999999999995,0.0009999999999999996,-0.0009842169515086817,0.0029842169515086818,0.9990000000000001,0.009999999999999995,0.0009999999999999996,0.9970157830484915,1.0009842169515089,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0729210191492375,0.03965705862967109,0.003965705862967109,1.0650521983512409,1.0807898399472342
copula_mvr,linear_medium,top12,100,0.1666666666666667,5.579080615598709e-17,5.579080615598709e-18,0.1666666666666667,0.1666666666666667,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0729210191492375,0.03965705862967109,0.003965705862967109,1.0650521983512409,1.0807898399472342
copula_mvr,linear_medium,top14,100,0.2857142857142856,1.1158161231197418e-16,1.1158161231197418e-17,0.2857142857142856,0.2857142857142856,1.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0729210191492375,0.03965705862967109,0.003965705862967109,1.0650521983512409,1.0807898399472342
copula_mvr,linear_medium,top4,100,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,1.1158161231197418e-16,1.1158161231197418e-17,0.3999999999999999,0.3999999999999999,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0729210191492375,0.03965705862967109,0.003965705862967109,1.0650521983512409,1.0807898399472342
copula_mvr,linear_medium,top8,100,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0729210191492375,0.03965705862967109,0.003965705862967109,1.0650521983512409,1.0807898399472342
copula_mvr,linear_sparse,native,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638610765651279,0.03246934951467801,0.003246934951467801,0.6321681422801306,0.6450533890224275
copula_mvr,linear_sparse,top10,100,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,1.0,1.0,0.638610765651279,0.03246934951467801,0.003246934951467801,0.6321681422801306,0.6450533890224275
copula_mvr,linear_sparse,top12,100,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,1.0,1.0,0.638610765651279,0.03246934951467801,0.003246934951467801,0.6321681422801306,0.6450533890224275
copula_mvr,linear_sparse,top14,100,0.642857142857143,1.1158161231197418e-16,1.1158161231197418e-17,0.642857142857143,0.642857142857143,1.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,1.0,1.0,0.638610765651279,0.03246934951467801,0.003246934951467801,0.6321681422801306,0.6450533890224275
copula_mvr,linear_sparse,top4,100,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.638610765651279,0.03246934951467801,0.003246934951467801,0.6321681422801306,0.6450533890224275
copula_mvr,linear_sparse,top8,100,0.375,0.0,0.0,0.375,0.375,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,1.0,1.0,0.638610765651279,0.03246934951467801,0.003246934951467801,0.6321681422801306,0.6450533890224275
copula_mvr,linear_weak,native,100,0.029928904428904425,0.05723568237338142,0.005723568237338142,0.01857210330926141,0.041285705548547436,0.335,0.46955276378677396,0.0469552763786774,0.2418305446466531,0.42816945535334694,3.69,5.186803379050463,0.5186803379050463,2.6608256811145554,4.719174318885445,0.02,0.14070529413628968,0.014070529413628968,-0.007918982979224123,0.047918982979224124,1.8829342876816129,0.0691903561205918,0.00691903561205918,1.8692054199320727,1.896663155431153
copula_mvr,linear_weak,top10,100,0.06899999999999999,0.07479939501726933,0.007479939501726933,0.054158177244414005,0.08384182275558598,0.9310000000000003,0.07479939501726933,0.007479939501726933,0.9161581772444143,0.9458418227555863,10.0,0.0,0.0,10.0,10.0,0.02,0.14070529413628968,0.014070529413628968,-0.007918982979224123,0.047918982979224124,1.8829342876816129,0.0691903561205918,0.00691903561205918,1.8692054199320727,1.896663155431153
copula_mvr,linear_weak,top12,100,0.1866666666666667,0.04123513914535394,0.004123513914535394,0.17848472045766364,0.19484861287566976,0.9760000000000001,0.0494821669744247,0.00494821669744247,0.9661816645491964,0.9858183354508038,12.0,0.0,0.0,12.0,12.0,0.21,0.40936018074033237,0.040936018074033236,0.12877405901023742,0.29122594098976257,1.8829342876816129,0.0691903561205918,0.00691903561205918,1.8692054199320727,1.896663155431153
copula_mvr,linear_weak,top14,100,0.29428571428571415,0.02739271345377728,0.002739271345377728,0.2888504056474337,0.2997210229239946,0.9880000000000001,0.03834979883528818,0.0038349798835288183,0.9803905679064074,0.9956094320935928,14.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,1.0,1.0,1.8829342876816129,0.0691903561205918,0.00691903561205918,1.8692054199320727,1.896663155431153
copula_mvr,linear_weak,top4,100,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,1.1158161231197418e-16,1.1158161231197418e-17,0.3999999999999999,0.3999999999999999,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.8829342876816129,0.0691903561205918,0.00691903561205918,1.8692054199320727,1.896663155431153
copula_mvr,linear_weak,top8,100,0.01375,0.03930825471690252,0.003930825471690252,0.005950389465650089,0.021549610534349912,0.7889999999999998,0.03144660377352205,0.0031446603773522047,0.7827603115725199,0.7952396884274797,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.8829342876816129,0.0691903561205918,0.00691903561205918,1.8692054199320727,1.896663155431153
copula_mvr,nonlinear,native,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2415315593206728,0.10694803220833622,0.010694803220833621,1.220310749476845,1.2627523691645006
copula_mvr,nonlinear,top10,100,0.4760000000000001,0.131133365685319,0.0131133365685319,0.44998029528988037,0.5020197047101198,0.524,0.131133365685319,0.0131133365685319,0.4979802952898803,0.5500197047101197,10.0,0.0,0.0,10.0,10.0,0.95,0.21904291355759037,0.021904291355759036,0.9065371337811178,0.9934628662188821,1.2415315593206728,0.10694803220833622,0.010694803220833621,1.220310749476845,1.2627523691645006
copula_mvr,nonlinear,top12,100,0.5125,0.10618829494952499,0.010618829494952499,0.4914299385109348,0.533570061489065,0.5849999999999999,0.12742595393943001,0.012742595393943002,0.5597159262131217,0.610284073786878,12.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,1.0,1.0,1.2415315593206728,0.10694803220833622,0.010694803220833621,1.220310749476845,1.2627523691645006
copula_mvr,nonlinear,top14,100,0.5421428571428573,0.09029087880456109,0.009029087880456109,0.5242271879137946,0.5600585263719199,0.6409999999999999,0.12640723032638554,0.012640723032638555,0.6159180630793122,0.6660819369206876,14.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,1.0,1.0,1.2415315593206728,0.10694803220833622,0.010694803220833621,1.220310749476845,1.2627523691645006
copula_mvr,nonlinear,top4,100,0.24,0.21590776182472365,0.021590776182472366,0.1971592159025084,0.2828407840974916,0.30399999999999994,0.08636310472988948,0.008636310472988948,0.2868636863610033,0.3211363136389966,4.0,0.0,0.0,4.0,4.0,0.67,0.47258156262526074,0.04725815626252607,0.5762295652468497,0.7637704347531504,1.2415315593206728,0.10694803220833622,0.010694803220833621,1.220310749476845,1.2627523691645006
copula_mvr,nonlinear,top8,100,0.41875,0.15728821740147397,0.0157288217401474,0.38754060527594125,0.44995939472405877,0.4649999999999999,0.12583057392117916,0.012583057392117916,0.4400324842207529,0.4899675157792469,8.0,0.0,0.0,8.0,8.0,0.94,0.23868325657594203,0.023868325657594204,0.8926400636260718,0.987359936373928,1.2415315593206728,0.10694803220833622,0.010694803220833621,1.220310749476845,1.2627523691645006
copula_mvr,nonlinear_panel,native,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213599238950033,0.10345013049175313,0.010345013049175313,1.1930724886942807,1.2341259892057852
