method,batch,k,reference_jaccard
xgboost_shap,1,8,1.0
xgboost_shap,1,10,0.8181818181818182
xgboost_shap,1,12,0.8461538461538461
xgboost_shap,1,14,1.0
xgboost_shap,2,4,1.0
xgboost_shap,2,8,1.0
xgboost_shap,2,10,1.0
xgboost_shap,2,12,0.8461538461538461
xgboost_shap,2,14,1.0
xgboost_shap,3,4,1.0
xgboost_shap,3,8,1.0
xgboost_shap,3,10,0.8181818181818182
xgboost_shap,3,12,0.8461538461538461
xgboost_shap,3,14,1.0
xgboost_shap,4,4,0.6
xgboost_shap,4,8,1.0
xgboost_shap,4,10,0.8181818181818182
xgboost_shap,4,12,0.8461538461538461
xgboost_shap,4,14,1.0
xgboost_shap,5,4,1.0
xgboost_shap,5,8,0.7777777777777778
xgboost_shap,5,10,1.0
xgboost_shap,5,12,1.0
xgboost_shap,5,14,0.8666666666666667
xgboost_shap,6,4,1.0
xgboost_shap,6,8,1.0
xgboost_shap,6,10,1.0
xgboost_shap,6,12,1.0
xgboost_shap,6,14,0.8666666666666667
xgboost_shap,7,4,1.0
xgboost_shap,7,8,1.0
xgboost_shap,7,10,1.0
xgboost_shap,7,12,0.8461538461538461
xgboost_shap,7,14,1.0
xgboost_shap,8,4,1.0
xgboost_shap,8,8,0.7777777777777778
xgboost_shap,8,10,0.8181818181818182
xgboost_shap,8,12,0.8461538461538461
xgboost_shap,8,14,1.0
xgboost_shap,9,4,1.0
xgboost_shap,9,8,0.7777777777777778
xgboost_shap,9,10,1.0
xgboost_shap,9,12,0.8461538461538461
xgboost_shap,9,14,1.0
deep_lasso,0,4,1.0
deep_lasso,0,8,1.0
deep_lasso,0,10,1.0
deep_lasso,0,12,0.8461538461538461
deep_lasso,0,14,1.0
deep_lasso,1,4,1.0
deep_lasso,1,8,1.0
deep_lasso,1,10,1.0
deep_lasso,1,12,0.8461538461538461
deep_lasso,1,14,0.8666666666666667
deep_lasso,2,4,0.6
deep_lasso,2,8,1.0
deep_lasso,2,10,1.0
deep_lasso,2,12,0.8461538461538461
deep_lasso,2,14,0.8666666666666667
deep_lasso,3,4,0.6
deep_lasso,3,8,1.0
deep_lasso,3,10,1.0
deep_lasso,3,12,0.8461538461538461
deep_lasso,3,14,0.8666666666666667
deep_lasso,4,4,0.6
deep_lasso,4,8,1.0
deep_lasso,4,10,1.0
deep_lasso,4,12,0.8461538461538461
deep_lasso,4,14,0.8666666666666667
deep_lasso,5,4,0.6
deep_lasso,5,8,0.7777777777777778
deep_lasso,5,10,1.0
deep_lasso,5,12,1.0
deep_lasso,5,14,0.8666666666666667
deep_lasso,6,4,0.6
deep_lasso,6,8,0.7777777777777778
deep_lasso,6,10,1.0
deep_lasso,6,12,0.8461538461538461
deep_lasso,6,14,1.0
deep_lasso,7,4,0.6
deep_lasso,7,8,1.0
deep_lasso,7,10,1.0
deep_lasso,7,12,0.8461538461538461
deep_lasso,7,14,1.0
deep_lasso,8,4,0.6
deep_lasso,8,8,1.0
deep_lasso,8,10,1.0
deep_lasso,8,12,1.0
deep_lasso,8,14,0.8666666666666667
deep_lasso,9,4,1.0
deep_lasso,9,8,1.0
deep_lasso,9,10,1.0
deep_lasso,9,12,0.8461538461538461
deep_lasso,9,14,1.0
tabm,0,4,0.6
tabm,0,8,1.0
tabm,0,10,0.8181818181818182
tabm,0,12,1.0
tabm,0,14,0.8666666666666667
tabm,1,4,0.3333333333333333
tabm,1,8,0.7777777777777778
tabm,1,10,1.0
tabm,1,12,1.0
tabm,1,14,0.8666666666666667
tabm,2,4,0.6
tabm,2,8,1.0
tabm,2,10,1.0
tabm,2,12,1.0
tabm,2,14,0.8666666666666667
tabm,3,4,0.6
tabm,3,8,0.7777777777777778
tabm,3,10,0.8181818181818182
tabm,3,12,1.0
tabm,3,14,0.75
tabm,4,4,1.0
tabm,4,8,0.7777777777777778
tabm,4,10,1.0
tabm,4,12,1.0
tabm,4,14,0.8666666666666667
tabm,5,4,0.6
tabm,5,8,0.7777777777777778
tabm,5,10,1.0
tabm,5,12,1.0
tabm,5,14,0.8666666666666667
tabm,6,4,0.6
tabm,6,8,1.0
tabm,6,10,1.0
tabm,6,12,0.8461538461538461
tabm,6,14,0.8666666666666667
tabm,7,4,0.6
tabm,7,8,0.7777777777777778
tabm,7,10,1.0
tabm,7,12,0.8461538461538461
tabm,7,14,0.75
tabm,8,4,0.6
tabm,8,8,1.0
tabm,8,10,1.0
tabm,8,12,1.0
tabm,8,14,0.8666666666666667
tabm,9,4,0.6
tabm,9,8,1.0
tabm,9,10,1.0
tabm,9,12,1.0
tabm,9,14,0.8666666666666667
vtfs,0,4,0.14285714285714285
vtfs,0,8,0.14285714285714285
vtfs,0,10,0.25
vtfs,0,12,0.2631578947368421
vtfs,0,14,0.2727272727272727
vtfs,1,4,0.14285714285714285
vtfs,1,8,0.14285714285714285
vtfs,1,10,0.3333333333333333
vtfs,1,12,0.3333333333333333
vtfs,1,14,0.3333333333333333
vtfs,2,4,0.3333333333333333
vtfs,2,8,0.3333333333333333
vtfs,2,10,0.3333333333333333
vtfs,2,12,0.4117647058823529
vtfs,2,14,0.3333333333333333
vtfs,3,4,0.3333333333333333
vtfs,3,8,0.3333333333333333
vtfs,3,10,0.3333333333333333
vtfs,3,12,0.3333333333333333
vtfs,3,14,0.3333333333333333
vtfs,4,4,0.14285714285714285
vtfs,4,8,0.14285714285714285
vtfs,4,10,0.17647058823529413
vtfs,4,12,0.3333333333333333
vtfs,4,14,0.3333333333333333
vtfs,5,4,0.0
vtfs,5,8,0.06666666666666667
vtfs,5,10,0.17647058823529413
vtfs,5,12,0.3333333333333333
vtfs,5,14,0.2727272727272727
vtfs,6,4,0.3333333333333333
vtfs,6,8,0.3333333333333333
vtfs,6,10,0.3333333333333333
vtfs,6,12,0.2631578947368421
vtfs,6,14,0.3333333333333333
vtfs,7,4,0.14285714285714285
vtfs,7,8,0.14285714285714285
vtfs,7,10,0.17647058823529413
vtfs,7,12,0.2
vtfs,7,14,0.2727272727272727
vtfs,8,4,0.14285714285714285
vtfs,8,8,0.23076923076923078
vtfs,8,10,0.17647058823529413
vtfs,8,12,0.2
vtfs,8,14,0.21739130434782608
vtfs,9,4,0.14285714285714285
vtfs,9,8,0.06666666666666667
vtfs,9,10,0.25
vtfs,9,12,0.2631578947368421
vtfs,9,14,0.2727272727272727
